,biomass_human,biomass_macrophage_iABAM01410
Plasmax,0.03521796622920091,0.0
Blood_SMDB,0.020738788854730888,0.7245897803251059
Plasmax_open,11.046585842981033,0.0
Blood_SMDB_open,135.6866600113312,270.847315874166
Default,187.35362997658078,350.29586186392095
