ID,Plasmax,HPLM,RPMI-1640,Plasmax_open,HPLM_open,RPMI-1640_open
HMR_9061,1.609848484848485,1.3573232323232325,0.0,1000,1000,0
HMR_9066,0.20202020202020204,0.34722222222222227,3.62689393939394,1000,1000,1000
HMR_9062,0.1294191919191919,0.15782828282828285,1.1963383838383839,1000,1000,1000
HMR_9070,0.01893939393939394,0.06313131313131314,0.4734848484848485,1000,1000,1000
HMR_9065,0.10416666666666669,0.12626262626262627,0.0,1000,1000,0
HMR_9071,0.30934343434343436,0.25252525252525254,0.42929292929292934,1000,1000,1000
HMR_9063,2.051767676767677,1.7361111111111114,6.486742424242426,1000,1000,1000
HMR_9067,1.0416666666666667,0.946969696969697,0.4198232323232324,1000,1000,1000
HMR_9038,0.3787878787878788,0.34722222222222227,0.3061868686868687,1000,1000,1000
HMR_9039,0.441919191919192,0.220959595959596,1.2058080808080809,1000,1000,1000
