"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"PFKP",12,1,9,1,2,146,5,5,3,13,5,3,1,0,2,100,2,4,1,3,18,2
"PITRM1",6,0,8,0,1,44,0,1,0,0,0,1,0,0,1,59,2,1,1,0,1,3
"PITRM1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KLF6",426,7,286,18,175,489,26,27,39,79,64,35,9,10,19,1025,24,13,70,16,82,13
"LINC00702",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"AKR1E2",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AKR1C2",0,0,0,0,3,177,0,4,0,0,0,0,0,0,0,44,0,0,0,0,3,3
"AKR1C1",2,0,0,0,11,695,0,7,0,0,0,1,0,0,0,15,1,0,0,0,5,3
"AKR1C3",1,0,10,0,5,381,2,5,0,3,0,1,0,2,0,363,3,0,0,1,27,0
"AKR1C4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"NET1",22,0,34,0,6,101,1,0,1,0,0,4,0,0,0,278,1,2,1,1,6,48
"CALML3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-336A10.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASB13",6,0,5,0,0,57,0,0,0,0,0,1,0,0,0,21,1,0,1,0,1,1
"FAM208B",11,0,6,0,5,48,2,0,1,2,2,5,0,2,0,69,0,2,3,0,2,0
"GDI2",183,2,165,1,36,590,14,2,24,14,11,15,3,3,4,448,4,8,35,10,35,17
"RP11-318E3.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD16",2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0
"FBXO18",14,0,6,1,5,120,2,4,0,2,0,2,0,1,0,65,2,1,1,1,6,5
"RP11-536K7.3",7,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"IL15RA",14,1,6,0,0,208,0,0,2,2,1,0,0,0,0,18,0,0,1,0,5,0
"IL2RA",22,0,0,0,0,2,1,0,1,5,2,0,1,0,0,0,0,1,0,7,0,0
"RP11-536K7.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBM17",74,2,20,1,27,222,5,1,9,14,4,9,2,1,2,282,6,9,16,3,37,7
