"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"FBLN7",4,10,1,0,0,0,2,0,27,28,0,0,0,1,0,0,41,0,0,1,29,1,0,1,0,6,0,0,0,7,5,94,1,6,4
"ZC3H8",29,10,8,9,9,3,7,4,12,30,2,1,2,3,4,52,39,15,0,8,45,2,4,2,1,4,1,3,13,13,11,85,79,46,7
"ZC3H6",35,33,8,7,6,1,3,3,19,8,2,3,0,4,0,34,19,22,0,7,22,1,0,0,1,5,2,7,14,3,6,40,30,34,5
"RGPD8",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"TTL",28,18,0,3,3,1,0,2,4,4,0,0,0,0,1,1,6,2,0,0,1,0,0,1,0,2,2,1,7,3,3,11,30,33,2
"POLR1B",5,5,0,2,0,0,0,0,1,1,0,1,2,0,1,4,1,2,0,1,1,0,1,0,0,2,2,0,4,2,0,2,19,8,2
"CHCHD5",179,104,12,31,25,1,4,4,58,29,6,0,1,11,12,57,44,28,2,4,35,1,8,1,3,23,4,10,56,18,24,79,9,108,19
"AC012442.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC079922.3",6,14,4,3,1,0,0,0,4,1,1,0,0,1,0,0,1,4,0,0,8,0,0,0,1,2,0,1,4,2,6,2,10,15,1
"SLC20A1",195,32,9,19,10,2,6,1,16,4,3,2,1,0,3,17,13,24,0,2,10,1,3,2,9,4,3,10,19,7,10,25,60,58,2
"NT5DC4",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CKAP2L",9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31,1,17,1,0
"IL1A",9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0
"IL1B",234,0,0,68,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,99,1,0,0,1,1,3,0
"IL37",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"IL36G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IL36RN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1RN",161,1,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,5,10,0,0
"PSD4",27,2,9,8,14,2,1,0,4,6,5,2,0,0,2,33,15,16,0,5,12,2,4,1,0,0,0,0,11,6,18,36,41,3,0
"AC016683.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"PAX8",13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,23,3,0
"RP11-65I12.1",29,15,3,8,5,0,3,0,6,1,2,2,5,4,0,11,7,8,2,3,9,0,3,2,2,2,0,2,10,2,2,16,100,15,1
"AC016745.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-480C16.1",3,0,1,0,0,1,0,0,4,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,1,0
"CBWD2",8,15,2,2,1,1,0,0,3,0,0,0,0,0,0,10,2,1,0,1,1,0,2,0,0,0,1,0,2,3,1,4,14,9,1
"PGM5P4-AS1",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
"FAM138B",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RABL2A",8,9,0,0,3,0,0,0,6,2,1,0,0,0,0,5,6,6,0,1,5,0,1,0,0,2,0,0,1,2,1,7,12,9,1
"AC017074.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC35F5",49,50,1,6,4,0,2,1,23,2,0,1,0,0,0,5,2,2,1,2,2,0,0,0,2,6,0,0,12,0,3,6,50,26,3
"AC024704.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"AC104653.1",7,0,0,2,0,0,1,0,0,2,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,1,6,1,0,0,1,0,0
"RP11-141B14.1",6,2,2,0,3,1,0,0,0,2,2,0,0,0,0,2,2,3,0,1,3,0,1,0,0,1,1,0,4,1,1,3,4,0,0
"ACTR3",808,219,52,121,89,13,29,6,74,81,28,20,4,7,79,275,200,126,6,69,151,6,44,10,23,79,7,37,487,101,128,392,312,268,44
"LINC01191",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX18",252,163,27,36,32,9,21,9,95,26,6,4,3,5,15,147,125,68,5,27,118,5,7,8,8,36,9,18,101,40,28,162,482,184,20
"AC009404.2",0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,2,0,1
"CCDC93",29,18,2,5,2,1,3,0,8,7,0,2,0,1,1,14,11,4,1,2,10,0,1,0,0,0,0,0,8,3,7,17,38,23,0
"AC009303.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"INSIG2",72,39,1,3,5,0,0,0,24,7,1,1,1,1,1,13,13,6,1,7,11,1,1,3,0,24,3,1,17,6,4,17,41,33,7
"EN1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARCO",274,2,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,2,0,1
"STEAP3",33,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,6,0
"STEAP3-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2orf76",22,23,4,8,9,0,3,1,14,4,0,1,0,4,7,14,8,3,2,2,7,0,2,0,1,5,0,0,18,4,10,20,11,50,7
"DBI",1690,305,64,183,110,12,27,38,183,84,26,11,7,23,98,143,164,134,12,58,113,4,28,12,26,59,24,45,599,112,131,324,1918,452,58
"TMEM37",137,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23,11,1
"AC013275.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CFAP221",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TMEM177",1,8,1,3,1,0,0,0,10,1,0,1,0,1,1,3,4,0,1,1,1,0,1,0,0,0,1,0,4,6,3,7,57,7,0
"PTPN4",11,10,18,3,22,4,3,1,5,5,2,3,2,0,0,19,28,32,1,2,16,3,13,4,0,2,1,1,7,5,11,26,38,24,2
"EPB41L5",0,4,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,2,42,18,2
"TMEM185B",31,20,0,1,2,2,1,0,12,0,0,0,0,0,1,5,5,4,1,0,4,1,1,0,0,3,0,1,4,3,3,7,14,25,1
"RALB",87,36,5,10,7,1,4,1,19,6,3,2,1,4,36,37,19,10,1,4,11,0,1,0,1,12,0,4,3,5,6,47,118,185,11
"INHBB",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,57,0
"AC073257.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLI2",0,21,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"RP11-297J22.1",1,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
