"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RPF1",61,22,22,14,6,3,6,6,62,16,2,1,6,2,64,32,24,0,26,48,2,1,1,2,4,2,3,96,6,8,35,55,54,10
"GNG5",341,80,54,156,31,11,13,23,276,78,7,2,28,22,202,119,65,14,78,129,9,8,2,14,25,43,26,827,43,43,178,531,442,33
"CTBS",39,6,8,9,1,1,4,5,60,18,2,0,2,3,36,25,11,0,12,21,1,3,1,1,5,2,1,32,3,4,27,31,45,3
"LINC01555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SSX2IP",2,2,1,1,0,1,0,0,11,5,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,0,0,8,0,3,1,12,3,0
"LPAR3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCOLN2",12,0,3,5,1,1,0,0,1,4,0,0,0,0,27,2,11,0,6,3,0,0,0,1,0,1,1,62,1,2,1,13,2,0
"WDR63",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCOLN3",8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
"SYDE2",0,3,1,0,0,0,0,1,9,0,0,0,0,0,3,2,3,2,0,9,1,0,0,0,0,0,0,0,0,0,0,10,2,1
