"","ImmProt_T4.CM_01","ImmProt_T4.CM_02","ImmProt_T4.CM_03","ImmProt_T4.CM_04","ImmProt_T4.CM_01_activated","ImmProt_T4.CM_02_activated","ImmProt_T4.CM_03_activated","ImmProt_T4.CM_04_activated","ImmProt_T4.EM_01","ImmProt_T4.EM_02","ImmProt_T4.EM_03","ImmProt_T4.EM_04","ImmProt_T4.EM_01_activated","ImmProt_T4.EM_02_activated","ImmProt_T4.EM_03_activated","ImmProt_T4.EM_04_activated"
"2167",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8446",0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
"2173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51496",0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
"374462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403313",1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"23203",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"2171",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"145553",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"646480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"64419",0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
"54988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9562",0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
"123876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3705",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
"6296",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
"138429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10170",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9249",1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"220074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51099",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"154141",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253558",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"64748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23175",0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1
"1735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27284",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"6819",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84274",0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
"9890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84787",0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
"79813",0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1
"64900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9663",1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
"9757",0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
"196051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9869",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
"85465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23646",0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
"122618",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
