"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-410K21.2",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPAR1",6,114,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"KIAA0368",12,93,0,1,1,0,0,1,2,0,0,6,0,0,0,77,19
"ZNF483",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PTGR1",18,277,0,0,0,0,2,0,4,0,0,20,0,2,0,94,13
"DNAJC25",5,93,0,1,1,0,1,0,0,0,0,7,2,1,1,37,4
"DNAJC25-GNG10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GNG10",4,22,0,0,0,0,1,0,0,0,0,3,0,2,0,8,4
"C9orf84",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UGCG",32,445,0,7,2,0,2,1,4,2,0,31,3,8,6,107,42
"SUSD1",7,10,0,0,1,0,0,0,0,0,0,1,0,3,0,11,2
"PTBP3",45,256,0,3,2,1,8,2,0,4,1,14,0,12,4,412,39
"HSDL2",8,73,0,2,1,1,0,1,1,1,0,11,0,2,5,62,9
"C9orf147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KIAA1958",1,18,0,0,0,0,0,0,0,0,0,0,1,1,0,16,0
"INIP",18,78,0,0,0,1,2,1,2,1,0,8,3,3,3,64,6
"RP11-276E15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SNX30",10,71,0,3,0,0,0,0,0,0,0,0,0,2,0,19,1
"SLC46A2",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-408O19.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF883",1,62,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0
"ZFP37",0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"FAM225B",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM225A",0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC31A2",49,90,0,4,0,0,0,1,1,1,0,4,5,20,2,11,5
"FKBP15",35,86,0,0,2,0,1,0,0,1,0,5,0,6,2,40,9
"SLC31A1",27,109,0,1,0,0,1,0,1,1,0,10,3,5,0,51,5
"CDC26",50,466,2,4,5,1,13,0,13,7,5,39,14,9,15,225,52
"PRPF4",12,79,0,2,2,1,2,0,1,3,0,8,3,1,0,51,4
"RNF183",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
