"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-771K4.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"DENND5B",0,0,1,0,0,1,12,0,0,0,0,7,0,1,1,0,0,0,0,3,1,4,0,7,1
"METTL20",0,1,0,0,0,0,12,0,0,0,0,2,2,0,0,0,0,0,0,3,0,1,0,5,0
"AMN1",0,0,1,0,0,1,15,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,1,4,3
"RP11-467L13.7",0,0,2,0,0,0,1,1,0,0,0,0,4,0,0,3,0,0,0,36,0,0,2,9,0
"H3F3C",0,1,2,0,0,0,29,1,0,1,0,6,2,3,0,2,1,0,2,1,0,3,0,5,0
"RP11-428G5.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA1551",1,2,3,2,2,0,23,3,1,1,0,13,26,22,0,11,1,1,4,9,2,4,1,17,1
"RP11-50I19.2",0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"BICD1",0,0,0,0,0,0,18,0,0,2,0,2,3,1,1,2,0,0,0,1,0,1,0,10,2
"FGD4",4,1,6,0,0,2,26,0,0,0,0,0,0,1,0,0,0,0,0,24,2,1,0,14,3
"DNM1L",0,1,3,2,1,1,41,1,0,2,0,13,24,15,2,5,0,0,3,34,1,1,1,14,2
"RP11-278C7.4",0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"YARS2",0,2,1,0,1,1,28,2,1,2,0,6,9,5,0,2,0,1,1,14,0,1,2,6,2
"PKP2",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,104,0,2,0,0,0
"SYT10",0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-847H18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ALG10",0,0,3,0,0,0,3,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
"ALG10B",1,0,0,0,0,0,5,1,0,1,0,2,0,1,0,0,0,0,0,3,1,0,0,2,1
"CPNE8",1,0,1,0,0,0,81,0,0,6,0,1,0,0,0,0,0,0,0,45,1,0,0,47,1
"RP11-396F22.1",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0
"KIF21A",0,2,1,0,1,0,11,0,0,0,0,1,13,18,0,1,0,0,7,21,0,0,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SLC2A13",1,0,1,0,0,1,13,0,0,1,0,0,3,2,1,1,0,0,0,15,0,1,0,5,2
"AC079630.4",0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRK2",1,0,0,0,0,0,23,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,4,1
"CNTN1",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDZRN4",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GXYLT1",1,1,0,0,0,0,4,2,0,3,0,1,3,5,1,2,1,0,1,4,0,0,2,4,0
"YAF2",3,3,1,0,0,1,45,2,1,0,1,9,16,19,1,4,0,0,3,29,6,2,1,26,0
"PPHLN1",5,6,13,2,1,2,81,8,2,6,1,26,29,24,0,13,3,0,6,50,2,3,2,17,3
"ZCRB1",6,6,15,0,0,2,172,12,0,8,1,11,25,21,3,4,4,1,6,62,6,3,2,62,12
"PRICKLE1",0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
"RP11-328C8.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-25I15.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUS7L",0,1,2,0,0,2,39,2,0,4,1,6,7,4,1,3,1,0,2,19,2,2,0,13,1
"IRAK4",3,0,0,0,0,1,25,5,0,2,0,5,6,6,1,1,1,0,1,6,0,0,1,13,1
"TWF1",1,1,0,0,1,1,43,2,1,1,0,6,6,5,0,4,0,0,0,69,1,2,1,13,2
"TMEM117",0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,0,3,0,1,0,1,0
"NELL2",0,0,1,0,0,0,2,0,0,0,0,0,8,4,0,4,4,0,0,0,1,0,0,0,1
"ANO6",4,0,1,0,0,0,28,1,0,5,0,3,6,2,0,1,0,0,1,6,2,0,0,21,0
"RP11-352M15.2",0,2,3,0,0,3,21,0,0,3,0,1,14,4,0,4,1,0,1,13,0,1,0,19,2
"ARID2",1,1,1,0,0,1,20,1,1,3,1,3,14,7,1,4,0,0,3,17,0,3,1,14,1
"SCAF11",12,8,11,3,0,4,174,17,3,12,0,35,53,39,8,14,7,3,13,73,6,7,2,75,10
"SLC38A1",0,9,5,3,3,0,15,11,5,11,0,24,67,53,2,15,7,1,20,61,1,8,5,1,5
"SLC38A2",16,3,15,3,4,6,299,10,1,19,0,23,65,47,2,9,6,2,10,130,9,17,3,91,11
"RP11-96H19.1",0,0,0,0,0,0,4,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0
"RP11-446N19.1",0,1,2,0,0,0,5,1,0,0,0,1,7,1,0,0,0,0,1,4,0,2,0,0,0
"SLC38A4",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMIGO2",0,0,0,0,0,1,21,0,0,0,0,2,1,0,0,1,1,0,2,1,0,0,0,4,7
"PCED1B",0,1,0,0,0,0,2,0,0,0,0,0,4,1,0,2,0,0,0,2,0,0,0,0,2
"RP11-493L12.4",1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
"RP1-90J4.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPAP3",0,0,1,0,0,0,11,0,0,0,0,2,1,3,0,2,1,0,1,11,0,1,0,6,1
"RP1-197B17.3",0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"ENDOU",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP1-197B17.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAPGEF3",0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,27,0
"SLC48A1",4,0,2,0,0,2,30,1,0,1,0,1,3,2,0,0,0,1,2,11,3,1,0,10,2
"HDAC7",1,2,0,0,0,1,78,0,0,4,0,4,9,5,0,2,1,1,1,13,3,4,0,61,0
"RP5-1057I20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"VDR",2,0,19,0,0,0,13,2,0,0,0,1,1,0,0,0,0,0,1,39,0,1,0,0,0
"RP11-89H19.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM106C",7,1,3,0,0,2,162,5,1,2,0,4,10,4,0,2,1,0,1,165,4,2,1,12,5
"COL2A1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP1-228P16.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SENP1",0,0,2,0,0,0,9,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,4,0
"PFKM",1,0,0,0,0,1,38,0,0,0,0,0,1,0,0,0,0,0,1,9,5,0,1,5,3
"ASB8",1,3,1,0,1,1,45,1,0,3,0,8,12,14,0,1,0,1,0,16,2,4,1,13,2
"CCDC184",0,1,0,0,0,0,15,2,1,0,0,3,17,5,0,3,0,0,1,0,0,0,0,3,0
"RP11-370I10.12",0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
"ZNF641",0,0,0,0,0,0,9,1,0,0,0,2,1,0,0,2,0,0,2,3,1,1,1,0,2
"RP11-370I10.11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf54",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KANSL2",1,0,1,0,1,0,17,4,0,4,0,6,16,12,0,3,0,2,4,10,3,4,2,9,2
"CCNT1",3,1,3,0,0,1,29,1,0,1,0,4,12,9,0,5,0,0,3,12,1,2,4,40,1
"ADCY6",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,7,5
"RP11-579D7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"CACNB3",0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,1,0,1,11,5,0,0,12,0
"DDX23",0,1,0,0,1,1,38,5,0,1,0,7,6,5,0,4,1,0,6,25,1,1,0,24,4
"RND1",0,0,2,0,0,0,15,2,0,1,0,2,3,2,0,0,1,0,1,11,1,3,0,220,1
"RP11-302B13.5",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"CCDC65",0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0
"FKBP11",1,11,0,1,0,1,123,5,6,1,0,7,83,66,0,16,4,1,12,39,6,95,1,33,1
"ARF3",6,1,18,0,1,1,97,2,1,6,0,7,16,7,0,5,0,2,1,80,4,0,0,46,7
"WNT10B",0,1,0,0,0,0,21,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
"RP11-386G11.5",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,1,0,0,1,0
"PRKAG1",3,0,5,3,1,3,55,2,0,3,0,5,12,5,0,4,0,0,6,36,3,4,1,9,2
"KMT2D",2,1,2,0,0,0,9,0,0,0,0,5,6,3,0,2,1,0,1,13,0,1,0,11,0
"RHEBL1",0,0,0,0,0,0,1,1,0,0,0,1,2,3,1,0,0,0,2,1,0,0,0,0,0
