"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",1,1,4,0,1,4,50,2,2,1,1,3,1,7,2,2,1,1,0,30,1,3,1,10,0
"AP006222.2",1,0,4,0,0,2,48,1,0,2,0,1,2,0,1,1,1,0,0,9,1,0,0,8,4
"RP4-669L17.10",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-206L10.9",0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,4,1
"FAM87B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,0,2,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0
"FAM41C",1,1,2,0,0,2,3,1,0,0,0,1,1,1,0,0,1,0,1,3,0,0,1,3,1
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,0,0,0,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"NOC2L",3,1,4,1,2,1,51,7,2,1,0,12,17,18,2,8,4,2,2,54,2,6,1,23,2
"KLHL17",0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
"PLEKHN1",0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,1,0,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.17",0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,4,1,0,0,7,1
"HES4",5,3,38,0,0,0,48,14,2,9,0,3,14,13,0,12,0,0,10,216,28,0,0,135,27
"ISG15",14,13,23,5,1,4,266,50,11,18,2,15,139,102,0,44,13,10,42,132,23,4,4,207,8
"AGRN",0,0,1,0,0,1,22,0,0,2,0,0,1,2,0,0,0,0,1,24,2,0,0,39,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0
"C1orf159",0,0,3,0,0,0,8,0,0,1,0,0,1,1,0,0,0,1,0,9,2,0,0,3,1
"RP11-465B22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0
"TNFRSF18",0,1,1,0,1,0,7,11,0,0,2,1,41,5,0,6,2,4,2,2,0,18,3,4,0
"TNFRSF4",1,0,0,0,0,0,4,0,1,1,0,0,52,1,0,25,3,0,2,2,0,4,9,51,0
"SDF4",6,6,18,3,1,8,331,7,0,11,1,19,43,30,2,21,3,1,11,145,7,8,0,121,7
"B3GALT6",1,2,3,1,0,0,16,1,0,0,0,1,6,6,1,0,1,0,0,6,1,0,0,7,0
"FAM132A",0,0,1,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,1,11,0,0,0,11,0
"UBE2J2",4,3,7,1,1,3,66,5,0,8,0,4,18,20,2,5,2,0,5,43,4,1,0,26,4
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",0,3,2,1,0,2,46,2,0,2,0,7,5,4,0,4,0,0,0,16,1,3,1,8,3
"PUSL1",1,1,2,0,1,0,17,1,0,2,0,3,4,0,0,0,0,0,6,7,0,2,2,3,0
"CPSF3L",2,1,4,0,0,2,78,2,0,7,1,8,13,9,1,6,2,1,1,45,3,2,0,21,3
"CPTP",0,2,1,0,0,0,20,2,0,6,0,3,9,5,5,3,0,0,0,36,0,0,0,11,1
"TAS1R3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"DVL1",3,0,1,0,0,1,11,0,0,0,0,2,2,2,0,0,0,0,0,33,0,0,0,9,0
"MXRA8",0,0,0,0,0,13,375,0,0,0,0,0,1,0,0,0,0,0,1,2,8,0,0,12,6
"AURKAIP1",20,6,31,3,4,4,269,12,2,20,2,49,80,62,2,14,6,1,22,360,7,21,2,118,14
"CCNL2",4,5,6,0,0,2,73,2,0,3,0,7,16,11,0,7,2,1,3,48,2,3,2,29,5
"MRPL20",11,8,18,3,0,2,240,7,2,6,1,26,58,43,0,14,11,2,12,150,7,15,3,64,14
"RP4-758J18.13",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,1,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
"VWA1",0,0,0,0,0,17,36,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,98,1
"ATAD3C",0,0,0,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,3,0,2,0,4,0
"ATAD3B",1,0,1,1,0,0,4,4,0,0,0,6,6,1,1,0,1,1,1,13,0,3,0,2,1
"ATAD3A",1,0,4,0,0,2,14,1,0,0,0,3,6,4,0,1,2,0,0,31,1,1,0,11,0
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",9,8,28,2,3,9,225,12,1,8,0,33,71,48,2,26,4,4,14,200,8,11,3,72,7
"RP5-832C2.5",0,1,0,0,1,0,7,0,0,1,0,4,5,0,0,2,1,0,0,8,0,0,0,2,0
"C1orf233",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"RP11-345P4.9",0,0,1,0,0,0,13,0,0,0,0,0,5,1,0,1,0,0,1,9,0,0,0,2,2
"MIB2",1,4,2,0,3,3,30,3,0,1,0,8,22,12,1,1,4,1,2,52,2,3,2,17,0
"MMP23B",0,1,0,0,0,0,323,1,0,0,0,0,0,6,0,1,0,1,3,3,1,1,0,0,0
"CDK11B",1,1,4,1,0,4,35,4,0,2,0,17,18,9,1,10,0,0,2,54,3,4,0,24,1
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"SLC35E2B",1,1,2,0,1,0,40,1,1,4,0,7,11,6,0,4,2,0,3,19,2,1,0,13,1
"CDK11A",1,2,4,2,0,1,27,11,2,0,0,13,27,20,2,4,2,1,3,51,3,5,0,22,1
"SLC35E2",0,1,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,1,2,0,1,0,1,0
"NADK",2,0,4,0,0,1,23,0,1,0,0,8,1,5,0,0,0,0,1,41,0,3,0,17,1
"GNB1",5,3,14,1,2,7,119,3,3,11,0,10,35,33,2,7,3,0,9,93,2,3,2,94,10
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,10,1,0,0,2,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"PRKCZ",0,2,1,0,0,0,13,1,0,5,0,3,4,7,0,0,0,0,2,47,0,1,0,8,0
"RP5-892K4.1",0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FAAP20",12,7,16,0,1,7,186,7,0,5,2,18,37,20,1,9,4,2,8,54,7,6,2,39,6
"SKI",2,3,2,1,0,0,77,3,0,1,0,8,16,13,2,1,3,1,11,21,3,1,1,54,8
"MORN1",0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"RER1",14,6,19,1,3,5,191,11,0,11,0,16,25,37,0,4,3,0,5,131,2,4,1,51,10
"PEX10",1,1,1,0,0,0,24,0,0,5,0,1,2,3,0,0,0,0,0,14,1,4,0,12,1
"PLCH2",0,0,0,0,1,0,0,1,0,0,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0
"PANK4",0,0,0,0,0,0,8,1,0,0,0,1,1,2,1,1,0,0,1,7,0,0,0,3,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
"RP3-395M20.12",1,5,8,2,0,0,3,2,0,6,0,5,12,7,0,5,0,0,6,28,7,3,0,5,0
"RP3-395M20.8",0,0,1,0,0,0,3,1,0,0,0,0,4,2,0,1,0,0,0,22,0,1,0,3,1
"TNFRSF14",7,6,19,0,1,2,90,3,3,7,1,24,28,24,5,16,3,2,5,83,2,2,2,35,1
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,1,0,1,0
"FAM213B",3,1,1,0,0,2,6,2,0,3,0,1,3,3,1,0,0,0,0,30,0,1,1,6,2
"MMEL1",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"TTC34",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,1
"MEGF6",0,0,0,0,0,3,5,0,0,4,0,0,1,3,0,0,0,0,0,2,0,1,0,1,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TPRG1L",2,2,0,0,0,1,37,0,0,1,0,0,6,4,0,1,0,0,2,31,0,0,0,15,2
"WRAP73",0,2,2,1,0,0,12,2,0,0,0,4,5,6,1,1,1,0,1,13,1,0,1,11,0
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TP73-AS1",0,1,1,0,0,0,28,0,0,2,0,0,3,1,0,2,0,0,0,0,2,1,0,6,0
"SMIM1",1,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0
"LRRC47",1,2,0,0,0,1,48,3,1,4,1,5,12,10,0,2,0,0,1,31,3,1,0,14,6
"CEP104",0,2,1,0,0,0,23,1,0,1,0,4,12,7,1,1,1,0,2,19,2,1,0,11,0
"DFFB",0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,3,0
"C1orf174",1,2,3,0,2,1,28,1,0,0,0,4,6,3,0,1,0,0,3,15,0,0,1,7,0
"LINC01134",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",1,0,2,0,0,0,6,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,5,1
"KCNAB2",3,0,10,0,1,0,6,6,1,0,0,2,25,14,0,2,0,0,3,1,0,1,0,7,1
"RPL22",152,92,439,16,21,37,2796,183,34,142,24,682,1070,551,65,466,97,15,191,2024,80,99,52,666,97
"RP1-120G22.11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF207",0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,5,0
"ICMT",3,3,1,0,0,2,38,1,0,0,0,4,11,4,1,2,0,0,4,16,2,0,0,11,1
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GPR153",0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,9,1,1,0,1,0
"ACOT7",4,2,9,0,1,1,22,1,0,0,0,0,6,7,0,0,1,0,3,52,0,0,1,0,0
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"HES2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1
"ESPN",0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,62,0,0,0,1,0
"TNFRSF25",3,2,0,0,0,0,8,1,3,1,0,0,31,10,0,23,2,0,1,24,1,1,2,2,1
"PLEKHG5",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,0
"NOL9",1,0,2,0,1,1,22,3,0,1,0,5,6,3,0,2,0,0,2,15,0,2,2,8,2
"ZBTB48",0,0,0,0,0,3,18,2,0,2,0,3,1,0,0,3,0,0,3,18,1,0,0,5,0
"KLHL21",6,1,1,0,2,1,57,0,0,1,0,1,5,4,0,0,0,1,0,12,2,1,0,13,2
"PHF13",0,0,2,0,0,1,9,1,0,1,0,0,0,1,0,1,0,0,0,7,0,0,0,2,1
"THAP3",1,0,2,0,0,0,11,0,0,1,0,1,3,2,0,3,0,0,0,15,0,0,0,5,0
"DNAJC11",0,0,0,1,1,0,11,1,0,2,0,3,5,5,1,0,0,0,3,20,0,2,0,3,0
"CAMTA1",16,1,20,2,1,14,193,2,2,11,2,24,24,17,1,5,2,1,3,176,15,6,1,116,31
"VAMP3",14,2,5,0,0,3,96,1,1,17,1,7,9,8,2,2,1,0,2,36,2,2,0,47,4
"PER3",3,0,0,0,0,3,17,0,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,10,1
"UTS2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF9",0,3,1,2,0,0,1,16,0,0,1,0,5,14,0,3,1,0,7,1,0,0,2,0,0
"PARK7",15,16,67,6,5,16,520,33,6,43,5,54,101,89,3,40,8,3,29,219,22,11,12,98,31
"ERRFI1",1,2,1,1,0,3,208,0,0,5,1,1,5,1,0,1,0,0,3,96,5,0,0,16,11
"RP11-431K24.1",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"SLC45A1",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RERE",4,2,6,0,0,0,62,5,0,3,1,4,4,0,5,1,1,0,1,44,2,2,0,21,3
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"ENO1",24,22,136,10,10,27,313,52,10,18,8,50,244,156,11,62,24,7,44,371,23,1,9,90,23
"ENO1-AS1",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SLC2A5",2,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0
"GPR157",2,0,14,0,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,6,0,0,0,2,0
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-510D11.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"H6PD",2,2,0,1,0,2,53,1,0,2,1,4,4,1,0,2,1,1,0,13,1,1,0,9,0
"SPSB1",0,0,2,0,0,1,150,1,1,4,0,2,10,3,0,3,0,0,0,12,0,0,0,21,2
"SLC25A33",6,5,18,0,1,1,72,4,2,1,0,17,13,12,1,4,2,1,8,67,9,1,0,41,3
"TMEM201",0,0,0,0,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,6,0
"PIK3CD",2,2,1,3,1,0,4,2,0,1,0,5,6,4,0,2,1,0,2,0,2,0,0,1,0
"PIK3CD-AS2",0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"CLSTN1",3,2,0,0,0,3,61,5,1,5,0,4,7,6,0,3,1,0,2,56,1,0,2,44,4
"CTNNBIP1",4,0,15,0,0,1,36,3,0,0,0,2,8,7,0,0,0,0,2,27,3,0,0,22,2
"LZIC",3,1,3,1,1,0,34,0,0,6,1,3,15,3,0,3,0,0,2,18,1,0,0,16,1
"NMNAT1",1,0,0,0,0,0,13,0,1,0,0,2,0,0,1,2,0,0,0,11,0,0,0,2,0
"RBP7",0,0,1,0,0,7,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,208,0
"UBE4B",0,2,0,1,0,0,27,4,0,0,0,3,12,4,0,2,1,0,0,15,0,0,1,6,0
"KIF1B",12,1,7,0,0,1,47,0,0,4,0,3,9,1,0,1,0,0,3,24,1,0,0,21,2
"PGD",2,1,10,0,0,0,54,0,0,0,1,2,7,1,0,1,0,0,0,43,2,3,0,7,2
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1",3,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,7,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DFFA",0,1,3,1,1,3,42,2,0,2,1,1,6,5,0,2,1,1,1,27,0,0,1,25,2
"PEX14",1,0,3,1,0,0,12,1,0,0,1,1,1,0,0,0,0,1,0,9,0,0,0,3,0
"CASZ1",2,0,0,0,1,0,6,0,0,1,0,0,2,0,0,1,0,0,0,32,0,0,1,11,1
"TARDBP",3,1,0,0,2,2,53,2,0,2,1,4,17,10,1,5,0,0,2,36,3,1,0,18,4
"RP4-635E18.8",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"SRM",3,1,9,0,0,2,118,9,2,1,0,15,25,16,1,4,3,0,7,38,1,10,1,28,3
"EXOSC10",0,1,0,0,0,2,16,1,1,1,0,1,6,3,0,2,1,0,1,16,0,2,1,7,0
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MTOR",1,0,1,0,0,0,6,0,0,0,0,4,3,0,1,0,0,0,1,9,0,1,0,9,0
"ANGPTL7",0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",0,0,3,0,2,1,14,3,0,0,0,5,11,7,0,2,1,0,2,11,0,1,0,3,0
"PTCHD2",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FBXO2",0,0,0,0,0,0,15,11,0,0,0,4,5,2,0,0,0,0,2,0,0,1,0,0,1
"FBXO44",0,1,1,1,0,1,36,1,0,1,0,2,5,4,2,1,1,1,0,2,2,0,0,3,0
"FBXO6",0,1,3,0,0,0,20,2,0,1,0,2,3,3,1,0,0,1,2,6,0,0,0,0,1
"MAD2L2",4,0,5,0,1,2,49,6,0,5,0,5,12,14,1,2,0,1,7,14,4,3,2,25,2
"DRAXIN",0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"AGTRAP",2,1,4,0,0,4,104,5,0,7,1,3,5,10,0,2,0,1,2,18,0,0,0,24,4
"C1orf167",0,0,0,0,0,1,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTHFR",5,0,2,0,0,1,51,0,0,0,0,1,3,1,0,0,0,0,0,14,2,2,0,22,3
"CLCN6",0,0,1,0,0,0,6,1,0,0,0,1,3,1,0,2,0,0,0,3,1,0,0,5,0
"NPPA-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KIAA2013",3,1,2,0,0,2,51,1,0,0,0,0,3,7,1,1,1,1,2,80,1,6,0,25,1
"PLOD1",3,0,3,0,0,2,51,1,0,4,0,0,1,0,0,0,0,1,0,17,4,0,0,14,2
"MFN2",2,0,3,0,0,0,17,2,0,2,0,1,3,4,1,2,1,0,0,15,0,0,0,11,1
"MIIP",2,1,2,0,1,0,17,1,0,1,0,0,5,8,0,0,0,1,1,14,0,0,1,5,2
"TNFRSF1B",25,17,53,5,8,0,26,20,5,1,0,16,94,87,2,14,9,8,27,2,0,1,6,18,0
"VPS13D",3,0,5,0,0,2,15,2,0,0,0,2,5,6,0,0,2,0,3,11,1,0,0,10,2
"DHRS3",7,3,2,0,1,10,156,4,0,0,0,0,10,3,0,3,0,0,1,51,1,0,0,27,7
"RP11-474O21.5",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",0,0,0,0,0,1,70,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM2",4,2,3,0,0,4,53,10,1,7,1,51,35,21,6,7,2,1,8,32,0,4,1,12,1
"RP11-344F13.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,22,1
"TMEM51-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM51",6,0,0,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,0,15,2,0,0,4,1
"FHAD1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-467K16.4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EFHD2",18,4,56,0,0,0,74,3,0,1,0,14,31,11,1,4,1,0,6,87,1,2,0,31,2
"CTRC",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CASP9",0,0,5,0,0,0,9,3,0,0,0,5,5,3,2,3,0,2,1,4,0,0,0,1,0
"DNAJC16",1,0,2,0,0,0,11,0,0,0,0,1,1,1,0,1,0,0,0,8,0,0,0,7,0
"AGMAT",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,18,1,0,0,0,0
"DDI2",1,2,1,0,1,0,13,1,0,1,0,3,3,1,1,2,0,0,2,20,1,3,1,7,0
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PLEKHM2",5,0,0,0,0,1,23,0,0,1,0,3,1,2,0,1,1,0,0,15,1,0,1,15,0
"SLC25A34",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0
"FBLIM1",3,0,1,0,0,0,75,1,0,1,0,1,3,2,0,0,0,0,1,48,6,1,0,20,3
"UQCRHL",2,1,7,0,0,1,25,1,1,3,0,3,7,8,2,2,2,0,1,35,1,3,0,12,1
"FLJ37453",2,1,2,1,0,0,7,1,0,0,0,4,2,2,1,0,0,0,1,13,2,1,0,3,0
"SPEN",3,0,6,0,1,0,47,3,2,1,1,6,13,11,1,2,0,1,4,47,2,3,1,29,3
"ZBTB17",1,0,0,0,0,2,17,0,0,2,0,4,6,3,0,2,0,0,1,13,1,2,0,8,4
"HSPB7",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
"EPHA2",0,0,2,0,0,0,8,0,0,0,0,3,3,2,0,3,0,0,0,150,2,0,1,24,1
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"ARHGEF19",0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0
"RSG1",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0
"FBXO42",0,1,2,0,0,0,16,2,0,0,1,6,4,2,0,3,0,0,2,8,0,0,1,6,2
"SZRD1",2,5,10,0,0,2,69,1,1,5,0,14,30,9,2,7,0,0,9,46,5,2,1,34,7
"NECAP2",9,2,14,0,0,1,73,6,1,6,0,16,22,11,3,6,2,0,4,46,3,4,2,30,6
"RP4-798A10.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-798A10.7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0
"RP4-798A10.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NBPF1",0,0,0,1,0,0,12,0,0,1,1,0,0,1,0,0,0,0,0,9,2,0,0,2,1
"CROCC",0,0,0,1,0,2,31,0,0,2,0,0,7,3,0,1,1,0,0,5,1,0,0,2,0
"RP11-108M9.4",1,0,3,0,0,3,39,0,0,3,0,2,2,0,0,0,0,0,0,32,1,0,0,8,1
"RP11-108M9.6",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0
"MFAP2",0,0,0,0,0,0,87,0,0,4,0,1,0,0,0,1,0,0,0,0,2,0,0,1,2
"ATP13A2",0,0,0,1,0,0,9,2,0,3,0,3,4,7,1,1,0,0,2,19,0,3,1,4,0
"SDHB",3,5,12,0,1,6,111,7,1,8,0,16,24,21,1,11,2,0,4,189,7,2,0,25,6
"PADI2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PADI4",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004824.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCC2",0,0,6,0,0,0,23,0,0,0,1,0,2,5,1,0,0,0,1,41,0,0,0,12,1
"ARHGEF10L",1,1,0,0,0,0,19,0,0,1,0,0,2,1,0,1,0,0,0,30,0,0,0,1,6
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
