"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"SRP9",193,90,0,15,12,8,4,1,21,33,19,4,19,4,2,2,10,57,149,73,708,97
"EPHX1",41,19,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,23,5,0,229,32
"RP11-285F7.2",2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,37,1
"TMEM63A",19,4,0,1,1,0,1,1,2,5,0,0,3,0,1,1,1,4,14,6,303,4
"LEFTY1",7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10,1,1799,3
"PYCR2",28,12,1,1,1,1,0,2,4,4,2,0,4,0,0,2,1,12,17,11,127,21
"LEFTY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDE2",24,2,1,0,0,0,0,1,2,4,1,1,3,0,1,1,6,4,18,6,93,17
"H3F3A",2757,462,41,495,41,65,51,28,435,329,98,70,267,12,31,29,218,309,4810,862,7444,1227
"RP11-396C23.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"ACBD3",37,18,3,3,1,2,0,0,1,2,2,0,1,0,1,0,3,5,43,8,290,25
"RP11-275I14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"LIN9",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
"PARP1",98,22,4,11,7,1,4,3,31,30,5,5,13,3,2,1,8,16,16,50,277,35
"C1orf95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITPKB",11,3,1,0,2,0,3,0,3,8,2,2,9,0,1,0,0,2,3,18,19,14
