"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CGGBP1",64,67,14,5,14,7,9,1,2,34,60,16,10,3,7,2,1,7,15,1,42,161,16
"RP11-159G9.5",1,4,2,0,0,2,0,0,0,1,5,0,0,1,0,0,1,0,0,0,0,1,0
"ZNF654",20,6,2,0,1,2,3,1,0,3,5,7,3,1,2,0,0,0,4,0,1,28,2
"C3orf38",15,33,4,2,7,4,7,0,5,14,20,5,1,1,1,2,0,5,6,0,13,90,2
"EPHA3",0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"PROS1",7,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,49,17
"ARL13B",17,36,0,0,0,0,2,0,2,8,9,2,1,1,2,0,4,0,4,0,2,35,7
"STX19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161,1
"DHFRL1",3,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,23,0
"NSUN3",10,11,1,2,1,3,3,0,1,8,9,3,1,1,1,0,1,2,3,0,5,32,0
"MTRNR2L12",42,76,4,1,0,1,5,0,2,16,13,4,0,1,1,1,3,3,15,0,12,358,23
"ARL6",4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,14,2
"CRYBG3",10,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,17,4
"MINA",10,11,0,0,3,1,0,0,1,3,8,2,0,1,0,0,0,2,2,0,4,120,1
"CLDND1",40,70,40,9,49,22,11,2,10,38,80,39,11,7,6,3,5,15,21,0,72,125,11
"CPOX",15,6,0,0,5,4,0,1,0,0,6,5,0,1,0,0,0,1,0,0,1,71,3
"ST3GAL6-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ST3GAL6",52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,1
"DCBLD2",0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,0
"COL8A1",1,344,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"RP11-383I23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CMSS1",26,30,4,1,2,2,3,1,1,22,11,5,3,1,2,1,1,11,3,0,19,314,8
"FILIP1L",36,212,1,0,0,0,2,0,0,2,1,0,0,0,0,0,14,1,4,0,3,115,10
"TBC1D23",17,33,5,1,4,0,1,0,0,6,8,8,1,0,0,2,1,1,5,1,13,94,6
"NIT2",55,54,5,8,6,1,2,0,0,18,10,5,6,0,0,1,0,5,13,0,16,495,3
"TOMM70A",19,27,1,1,4,1,2,0,1,9,6,3,1,1,0,2,2,1,1,0,5,146,5
"LNP1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0
"TMEM45A",5,204,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,6,3,0,0,4,2
