"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"ANKRD39",0,9,0,1,0,1,17,4,0,9,17,17,1,6,1,1,1,2,0,3,0,8,4,5
"SEMA4C",0,1,0,0,0,1,18,1,0,1,4,3,1,0,2,0,1,1,2,0,0,0,0,20
"FAHD2B",0,0,0,0,0,0,8,2,0,4,4,3,0,0,2,0,1,0,0,1,0,0,0,2
"ANKRD36",0,2,0,2,0,2,7,6,2,6,17,19,0,10,3,1,5,2,1,6,0,5,4,1
"AC159540.1",0,4,0,1,1,1,10,2,3,9,10,8,1,5,1,1,5,0,0,1,0,1,1,6
"ANKRD36B",0,0,0,2,0,1,13,2,1,8,6,5,1,6,1,0,5,2,0,0,0,0,1,4
"COX5B",21,42,21,7,6,24,240,42,31,163,145,147,22,112,35,9,48,90,6,29,36,48,35,185
"ACTR1B",1,4,0,1,0,1,18,3,1,18,31,16,1,26,3,1,8,2,3,3,0,5,6,25
"LINC01125",0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ZAP70",0,9,0,3,0,1,1,10,0,5,47,57,0,0,11,2,15,0,0,0,0,0,7,0
"TMEM131",0,1,1,0,0,1,10,0,0,22,4,4,2,25,1,0,5,3,0,2,1,9,2,11
"VWA3B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INPP4A",3,5,0,1,0,2,3,9,2,8,14,21,0,1,9,0,10,0,0,5,0,2,2,5
"COA5",1,1,1,0,0,2,21,5,1,17,2,9,3,12,1,0,1,2,2,3,3,2,3,9
"UNC50",2,2,0,1,1,0,53,6,4,18,9,17,4,6,2,2,6,5,0,1,0,1,2,24
"MGAT4A",4,23,1,4,2,1,6,6,0,51,80,93,0,16,14,2,16,6,0,6,1,9,2,16
"AC109826.1",1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA1211L",0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,6
"TSGA10",0,0,0,0,0,0,2,2,0,6,8,4,0,7,0,1,2,1,0,0,0,0,0,4
"C2orf15",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"RP11-111H13.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"LIPT1",0,0,0,0,0,0,9,1,0,0,2,3,1,3,0,0,2,0,0,0,0,0,0,6
"RP11-38C17.1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MITD1",1,4,1,1,2,3,33,2,3,18,16,14,1,21,2,1,3,0,2,1,1,5,2,17
"MRPL30",0,1,0,0,1,3,11,0,0,10,3,7,2,7,2,1,0,3,1,2,0,2,0,5
"LYG2",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"LYG1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"TXNDC9",0,2,0,0,1,1,19,6,2,15,11,17,1,12,2,3,3,7,1,1,2,10,3,14
"EIF5B",3,24,8,2,3,12,77,33,18,112,60,93,10,76,17,8,34,24,3,21,3,21,10,70
"REV1",0,3,0,0,0,3,17,3,1,16,11,9,1,15,2,1,6,1,2,1,1,5,4,15
"RP11-527J8.1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"AFF3",0,0,0,0,0,0,6,0,0,14,1,0,1,44,0,0,0,0,1,0,0,6,0,3
"LONRF2",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CHST10",0,0,0,1,0,0,2,1,0,6,0,4,0,2,0,1,0,0,0,0,0,1,0,1
"PDCL3",2,27,3,4,7,4,23,40,2,41,121,138,1,33,15,6,33,2,3,2,6,6,17,19
"NPAS2",0,1,0,0,0,0,5,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,4
"RPL31",40,565,91,102,102,47,1837,429,208,3834,2468,1836,77,2588,831,108,580,405,36,151,115,329,370,800
"TBC1D8",2,0,3,0,0,0,0,2,0,3,1,1,0,0,1,1,0,0,0,0,4,1,2,5
"RP11-299H21.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNOT11",0,2,0,2,1,2,8,2,1,11,5,7,1,5,2,0,5,6,0,0,1,3,1,4
"RNF149",13,23,11,7,3,2,37,10,7,36,110,82,1,18,23,1,17,2,0,10,29,1,13,20
"CREG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MAP4K4",0,1,1,2,0,8,26,2,3,124,15,12,2,89,7,0,3,4,3,1,5,35,3,44
"IL1R2",4,0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,4,1,0,4,0,7,0
"IL1R1",0,0,2,0,0,0,107,0,0,1,3,1,1,0,1,0,0,0,0,0,1,0,1,50
"IL1RL2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"IL1RL1",0,0,0,0,0,0,1,1,62,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
"IL18R1",0,0,0,2,0,0,6,1,21,1,15,8,0,0,3,0,4,0,0,0,0,0,3,15
"IL18RAP",0,1,0,0,0,0,0,1,1,0,12,17,0,1,1,1,2,0,0,0,0,0,0,1
"SLC9A2",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"MFSD9",0,0,0,0,0,0,1,1,0,3,2,4,0,2,0,0,0,0,0,1,0,1,0,1
"TMEM182",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"MRPS9",0,3,0,0,0,1,16,1,0,12,10,8,0,7,3,0,3,1,3,1,1,4,2,10
"AC104655.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TGFBRAP1",1,2,0,0,0,1,2,1,1,6,5,4,0,0,0,0,5,1,0,0,1,1,0,2
"AC012360.4",0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1
"RP11-332H14.2",0,3,0,0,3,0,8,2,1,23,6,8,1,6,0,4,7,2,0,1,0,3,0,7
"C2orf49",0,0,0,0,0,1,13,4,0,7,9,13,2,5,1,0,1,4,2,1,2,4,1,7
"FHL2",0,0,0,0,0,0,125,1,0,0,4,0,7,0,0,0,2,24,5,0,0,0,0,7
"NCK2",0,4,0,0,1,1,22,1,1,9,21,8,1,20,7,0,5,3,6,1,0,1,7,18
"C2orf40",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,1
"UXS1",2,2,3,1,0,1,15,1,2,15,12,19,1,15,4,0,3,1,0,3,4,0,6,12
"RGPD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC108868.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ST6GAL2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLC5A7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SULT1C2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"SULT1C4",0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"GCC2",0,18,1,4,3,12,70,16,1,77,71,61,7,76,15,5,34,8,1,6,2,16,7,35
"GCC2-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIMS1",17,12,6,2,3,4,82,23,8,24,59,59,7,10,21,4,32,3,10,3,42,6,25,44
"RANBP2",13,17,11,0,4,1,27,34,8,100,54,100,1,81,20,7,62,2,1,1,18,9,7,12
"CCDC138",0,0,0,0,0,0,1,2,0,2,2,3,1,0,0,3,2,0,0,0,0,1,1,0
