"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"CNTNAP1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EZH1",1,0,0,0,0,2,9,1,2,3,0,0,3,0,1,0,1,0
"RAMP2-AS1",0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"RAMP2",0,0,0,19,0,1,0,0,1,0,0,0,0,0,1,0,1,271
"VPS25",3,1,1,10,2,7,11,4,3,8,2,0,3,6,3,0,2,5
"WNK4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"COA3",3,4,0,28,3,9,22,11,3,10,1,3,8,29,8,1,1,24
"CNTD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BECN1",6,3,3,11,2,7,38,12,6,21,4,4,6,6,1,0,12,14
"PSME3",2,5,1,9,4,11,30,11,7,17,5,3,8,3,1,1,0,5
"AOC2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AOC3",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AARSD1",0,0,0,1,2,13,29,13,12,24,6,2,3,1,0,1,4,1
"RUNDC1",4,0,0,2,2,6,24,11,8,10,2,1,4,6,0,0,5,2
"RPL27",378,380,96,754,274,1211,4079,1548,699,2665,575,209,537,285,132,91,301,315
"IFI35",3,3,4,30,1,5,53,32,4,22,6,8,8,5,5,0,6,24
"VAT1",0,0,0,10,0,1,2,2,0,3,0,1,0,0,2,1,1,24
"BRCA1",0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1
"RP11-242D8.1",1,0,0,1,1,2,1,9,2,7,2,0,0,3,0,1,0,2
"NBR1",2,0,0,12,0,1,13,10,2,6,3,4,7,0,2,0,5,8
"TMEM106A",0,2,0,0,0,3,4,9,3,8,0,2,0,0,2,1,1,0
"LINC00910",0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
"ARL4D",1,0,1,43,0,0,7,7,6,2,2,1,3,0,0,0,0,1
"DHX8",2,0,1,3,1,2,11,9,7,6,1,0,4,2,0,0,1,4
"ETV4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MEOX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"DUSP3",0,7,0,9,0,0,7,4,2,2,0,0,0,1,0,0,1,6
"MPP3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MPP2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-527L4.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NAGS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM101",1,0,0,10,0,5,10,11,2,10,0,0,4,3,2,0,2,9
"LSM12",2,3,0,18,2,11,23,13,5,16,4,3,7,8,1,1,7,7
"G6PC3",0,6,0,21,1,1,5,4,3,5,0,1,4,7,3,1,0,6
"HDAC5",3,0,0,5,0,7,7,6,8,6,2,1,0,0,1,0,0,8
"ASB16-AS1",0,0,0,1,1,0,4,0,0,1,0,0,0,2,0,0,1,0
"TMUB2",2,1,1,12,5,10,17,14,8,23,3,4,5,2,1,0,5,3
"ATXN7L3",1,0,0,2,0,3,9,3,0,2,1,0,1,1,0,0,0,2
"UBTF",7,0,0,11,1,6,22,14,4,22,1,5,8,3,2,0,0,3
"RP5-882C2.2",0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,2,0
"SLC4A1",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"RUNDC3A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC25A39",5,12,1,12,1,19,49,31,7,24,5,6,17,28,7,2,9,11
"GRN",2,63,1,160,2,21,14,11,6,7,1,1,3,27,4,17,3,69
"ITGA2B",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GPATCH8",8,3,3,20,6,19,49,35,7,35,5,7,9,4,7,0,4,6
"FZD2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEIOC",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CCDC43",4,0,0,6,5,2,12,7,4,4,1,2,5,3,1,0,4,6
"DBF4B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"GJC1",0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4
"HIGD1B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
"EFTUD2",4,4,0,6,1,5,18,11,1,10,0,1,7,5,2,0,2,5
"CTD-2534I21.8",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"C1QL1",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAKD",1,0,0,5,1,0,4,1,1,2,1,0,1,1,0,0,1,1
"NMT1",2,0,2,30,3,4,21,18,3,15,1,1,7,1,3,1,1,15
"PLCD3",2,0,0,9,0,0,0,2,2,0,0,0,1,9,0,0,0,0
"ACBD4",1,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0
"AC142472.6",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"HEXIM1",21,11,4,32,20,63,186,110,23,118,19,12,39,9,2,1,21,39
"AC002117.1",1,0,1,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0
"HEXIM2",0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
"CTD-2020K17.1",5,3,1,0,1,5,10,6,3,4,2,2,2,0,1,0,1,1
"FMNL1",36,21,4,3,13,44,125,86,35,76,18,17,21,0,13,1,8,0
"CTD-2020K17.3",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
