"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"C16orf58",4,17,0,0,1,0,1,1,1,0,1,0,4,0,2,0,3,0,16,95
"RP11-452L6.7",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"AHSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"CTD-2358C21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CTD-2358C21.5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"ZNF720",6,15,2,0,1,1,3,1,1,1,6,2,9,0,2,0,1,0,20,46
"ZNF267",22,7,2,2,1,4,3,0,2,1,5,3,5,0,4,0,17,2,63,31
"SHCBP1",4,2,0,1,1,0,0,0,0,0,0,0,1,0,1,3,1,2,0,17
"RP11-46D6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"VPS35",65,52,4,1,1,1,5,1,5,1,10,4,9,1,6,0,19,2,47,257
"ORC6",5,2,0,0,0,0,0,0,1,0,1,1,3,0,2,2,1,4,5,43
"MYLK3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"C16orf87",16,28,5,10,2,5,12,6,8,2,11,1,15,3,3,6,5,1,136,49
"GPT2",1,4,1,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,3,98
"DNAJA2",41,39,9,4,7,2,11,6,1,5,11,5,18,5,5,1,18,0,127,240
"RP11-169E6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NETO2",11,4,0,1,1,1,3,3,1,0,0,0,4,0,0,0,4,0,21,82
"ITFG1",30,49,2,0,4,1,5,5,2,2,5,0,2,1,8,0,3,2,40,102
"PHKB",16,11,0,1,2,0,3,3,2,1,1,5,7,2,3,0,3,2,26,108
"ABCC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LONP2",10,30,0,3,4,1,5,3,2,1,5,4,10,3,2,0,1,0,32,104
"SIAH1",9,23,0,0,0,0,2,0,1,0,0,1,7,1,4,0,1,0,12,64
"N4BP1",13,16,2,2,1,2,1,4,0,0,4,0,4,0,2,0,10,1,17,24
"RP11-42I10.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"CTC-527H23.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF423",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNEP1R1",7,11,1,0,1,2,2,0,0,0,1,0,5,1,1,0,0,0,14,17
"HEATR3",8,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,18
"PAPD5",17,20,4,2,3,0,8,3,1,1,2,0,19,5,4,2,6,1,33,53
"ADCY7",29,9,0,2,0,1,4,2,2,1,2,1,10,3,0,0,4,1,24,9
"BRD7",17,22,2,0,1,0,1,3,1,0,0,1,5,2,6,0,6,1,30,182
"NKD1",3,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,6,84
"RP11-401P9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-401P9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
"RP11-401P9.5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"SNX20",12,0,3,4,1,0,5,4,3,3,8,2,25,3,0,0,7,0,130,9
"NOD2",6,2,0,0,0,0,3,1,1,0,2,0,4,2,0,0,2,0,1,3
"RP11-327F22.2",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
"RP11-327F22.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CYLD",21,36,11,13,8,2,12,7,4,5,18,6,49,6,1,0,13,1,149,63
"TOX3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86
"RP11-297L17.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"RP11-295M3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"CHD9",41,64,2,1,2,1,7,4,8,2,4,0,23,6,16,2,7,1,40,90
"RP11-44F14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP11-44F14.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RBL2",5,17,1,2,4,0,4,5,1,3,6,4,11,2,2,0,6,3,53,33
"AKTIP",2,8,1,2,5,2,1,2,0,2,4,0,4,4,3,0,1,1,46,34
"RPGRIP1L",1,11,1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,4,26
"FTO",7,17,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,10,27
"IRX3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRNDE",0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18
"IRX5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MMP2",13,864,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,10,5
"RP11-212I21.2",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"LPCAT2",32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,55
"RP11-212I21.4",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
"CAPNS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CES1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
"GNAO1",0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0
"AMFR",20,15,1,1,0,1,2,0,2,0,1,0,4,2,3,0,2,0,16,80
"RP11-413H22.2",0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,1,1,0,6,2
"NUDT21",34,35,3,9,7,1,12,6,5,4,17,3,23,2,7,2,17,5,80,282
"OGFOD1",15,22,3,0,1,0,1,1,0,0,1,0,5,0,1,1,3,0,23,89
"RP11-413H22.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBS2",4,9,0,0,0,0,1,2,0,0,2,0,3,2,1,0,1,0,3,47
"MT3",1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52
"MT2A",710,4841,5,11,30,1,35,26,5,91,39,13,61,30,189,1,93,25,327,1422
"RP11-249C24.10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MT1E",114,1188,4,3,7,0,10,5,1,6,10,2,14,5,36,0,7,1,90,3119
"MT1M",11,123,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,3,357
"MT1A",4,17,0,0,0,0,0,2,0,0,1,0,4,0,2,0,1,0,3,464
"MT1B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT1F",64,178,0,4,9,2,3,3,0,0,10,0,13,4,11,0,5,3,48,209
"MT1G",230,168,1,0,0,1,1,1,0,4,1,0,5,1,1,0,4,0,6,1368
"MT1H",40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"RP11-249C24.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MT1X",380,602,16,3,9,3,17,4,2,16,27,5,43,9,55,6,36,4,198,1341
"RP11-343H19.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUP93",17,16,1,2,1,1,3,4,2,0,2,1,6,1,2,0,3,2,16,73
"HERPUD1",206,305,21,29,57,22,78,34,69,19,77,29,150,63,30,40,55,24,931,803
"CETP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"NLRC5",7,5,4,1,2,1,2,2,1,1,12,4,5,2,2,0,2,0,19,31
"CPNE2",15,7,2,1,3,0,2,0,0,0,3,1,0,0,1,0,1,1,19,35
"FAM192A",42,25,2,1,4,0,6,5,0,0,4,0,8,0,6,0,10,3,46,103
"RSPRY1",11,43,1,0,2,2,1,1,2,3,2,3,6,1,5,0,4,2,27,83
"ARL2BP",27,92,4,1,6,3,9,3,3,3,2,4,22,3,6,0,7,2,74,108
"PLLP",1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,130
"CCL22",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,1
"CX3CL1",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"CCL17",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"CIAPIN1",24,37,2,1,3,3,9,2,0,0,4,0,6,2,2,0,3,2,27,161
"COQ9",6,29,0,2,1,0,5,1,1,1,4,0,7,0,3,0,2,1,31,168
"POLR2C",32,82,4,5,5,2,11,8,2,2,9,2,23,7,10,0,7,1,100,308
"DOK4",0,10,0,0,0,0,2,0,0,0,1,0,2,1,1,0,0,0,2,64
"CCDC102A",1,25,0,1,1,0,0,2,1,0,0,0,6,2,3,0,0,0,3,14
"ADGRG5",0,0,0,3,3,0,2,1,0,0,2,0,6,1,0,1,0,1,2,20
"ADGRG1",1,1,1,6,0,0,3,1,0,1,3,0,29,18,1,0,0,0,4,109
"ADGRG3",0,2,0,0,0,0,0,1,0,0,0,1,28,0,0,0,0,0,0,0
"DRC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KATNB1",2,5,0,0,0,1,2,1,1,1,1,0,7,1,3,0,2,1,15,32
"KIFC3",25,41,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,0,2
"CNGB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEPP",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"ZNF319",11,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,4,3
"USB1",29,32,4,1,1,0,6,2,2,0,8,2,23,4,9,0,8,1,46,70
"MMP15",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"CFAP20",16,71,4,2,7,2,9,5,4,2,11,4,19,7,5,0,3,4,70,204
"CSNK2A2",14,13,0,0,3,1,1,0,1,0,5,1,4,0,1,0,5,0,10,80
