"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"PRICKLE3",2,0,0,0,10,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0
"SYP",3,0,0,4,17,0,1,0,0,1,0,1,1,0,0,15,1,0,1,1,1
"CACNA1F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC22",17,0,2,0,98,0,1,1,1,5,4,0,0,0,0,17,4,1,7,3,4
"FOXP3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP1R3F",0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"LL0XNC01-7P3.1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAGE10",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP27X-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP27X",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"CLCN5",14,0,1,0,11,0,0,1,0,0,0,0,0,0,0,6,0,0,8,1,0
"CCNB3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHROOM4",1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0
"NUDT10",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUDT11",0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSPT2",7,1,0,3,106,0,0,0,1,4,1,2,0,1,0,11,0,2,2,1,1
"MAGED1",6,15,0,10,400,2,0,11,0,1,0,2,0,1,0,37,2,1,1,5,11
"MAGED4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM156A",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR173",0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TSPYL2",10,15,2,7,128,0,4,2,0,19,18,5,2,6,1,3,1,2,8,1,6
"KANTR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-258C19.7",1,0,0,1,15,0,1,0,0,1,0,0,0,0,0,7,1,0,1,1,0
"KDM5C",17,6,4,2,64,0,0,1,0,2,2,1,0,0,0,33,1,0,9,3,4
"IQSEC2",15,1,2,2,31,0,0,0,0,0,0,0,0,0,0,19,2,1,9,0,3
"SMC1A",28,6,5,5,138,1,1,3,1,12,7,6,1,3,1,47,2,1,23,8,6
"RIBC1",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"HSD17B10",38,18,19,22,466,0,11,3,1,26,24,9,1,7,1,144,5,2,65,11,24
"HUWE1",18,10,0,2,100,1,4,3,0,12,9,4,0,5,1,34,2,1,12,4,12
"PHF8",7,3,0,1,15,0,0,0,0,0,2,1,1,2,0,10,0,0,7,2,2
"FAM120C",6,4,2,1,36,0,0,0,0,0,0,1,1,0,0,4,0,1,1,1,0
"WNK3",0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TSR2",26,10,4,7,247,2,3,0,1,7,1,5,1,1,2,31,1,1,11,5,13
"FGD1",0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"GNL3L",4,1,0,3,25,0,1,1,0,2,2,0,1,1,0,6,0,0,4,0,0
"MAGED2",24,37,4,51,1430,1,3,10,0,14,26,22,1,3,0,48,27,5,13,37,65
"TRO",0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APEX2",10,1,4,0,68,1,2,0,0,3,2,0,0,2,0,16,2,0,4,0,2
"ALAS2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"FAM104B",10,8,3,4,185,1,4,0,1,8,9,3,1,2,0,44,1,2,11,5,7
"MTRNR2L10",2,1,0,0,14,0,0,0,0,1,0,0,0,0,0,19,1,0,1,1,0
"PAGE5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MAGEH1",14,10,4,27,560,0,2,6,0,3,4,9,0,1,0,6,9,1,6,12,14
"USP51",4,0,0,0,31,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
"RRAGB",8,3,1,7,99,1,0,0,0,1,0,1,0,1,0,2,1,0,5,2,5
"RP13-188A5.1",0,1,0,0,14,0,0,2,0,2,0,0,0,0,0,8,0,0,0,1,4
"KLF8",1,1,0,0,24,0,0,2,0,0,0,1,0,1,0,1,0,0,0,4,1
"UBQLN2",15,8,2,7,169,1,1,5,0,6,2,1,0,1,0,22,3,2,10,5,8
"LINC01420",80,23,18,15,553,2,1,12,3,13,4,4,2,7,1,74,9,5,39,24,18
"SPIN3",0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"SPIN2B",5,6,0,1,79,1,3,0,0,5,1,1,0,0,0,10,1,0,3,2,8
"RP3-323P24.3",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SPIN2A",1,3,0,0,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"FAAH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0
"ZXDB",1,5,0,1,21,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,2
"NLRP2P",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZXDA",0,0,0,1,17,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
"SPIN4",1,2,0,1,15,1,0,3,0,0,0,0,0,0,0,4,0,1,2,1,1
"SPIN4-AS1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF9",6,1,2,4,76,4,1,0,0,3,5,0,1,4,0,33,3,0,2,1,8
"AMER1",2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
