"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"CCDC151",11,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,2,0,3
"PRKCSH",107,447,2,5,3,60,0,3,10,4,21,1,3,9,8,1,7,55,4,16,1,42,963,69,16
"ELAVL3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF653",5,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,25,2,3
"ECSIT",20,163,1,1,0,28,0,1,3,0,5,1,3,1,0,0,0,21,2,7,3,18,256,25,6
"CNN1",5,364,0,0,4,8,0,0,0,0,1,0,33,0,0,0,0,189,0,0,2,0,18,2,173
"ELOF1",121,448,2,2,4,46,1,5,3,4,38,6,1,3,1,0,3,45,2,37,5,51,642,46,26
"ZNF627",4,13,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,41,5,0
"ACP5",1188,77,1,9,0,80,0,8,3,10,41,4,0,1,4,0,0,19,1,87,9,177,33,2,0
"CTC-499B15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"ZNF823",0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,59,3,1
"ZNF441",2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,15,2,3
"ZNF491",1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"ZNF440",5,5,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,68,3,4
"ZNF439",2,29,0,1,0,4,0,0,1,3,1,0,0,1,0,0,0,4,0,1,0,1,1,2,3
"ZNF69",2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,32,5,0
"ZNF700",7,23,0,0,0,1,0,1,0,1,4,1,0,0,1,0,0,6,1,2,1,1,54,9,0
"ZNF763",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,0,0
"ZNF433",0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,1,0
"ZNF878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF844",4,19,0,0,0,1,1,0,1,3,0,0,0,0,1,0,0,2,0,1,0,3,21,4,1
"ZNF788",5,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,1
"ZNF20",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0
"ZNF625-ZNF20",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF625",2,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2
"ZNF136",10,33,0,0,0,6,0,0,1,1,4,0,1,1,0,0,0,11,1,1,1,11,48,6,0
"CTD-2666L21.1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF44",10,27,2,1,0,4,1,0,0,0,6,1,0,1,0,0,0,4,0,4,1,11,112,8,2
"ZNF563",2,18,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,2,1,4,24,2,2
"ZNF442",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"CTD-3105H18.14",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"ZNF799",1,13,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,6,0,0,0,4,32,5,2
"ZNF443",1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,18,1,0
"CTD-3105H18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF709",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1
"ZNF564",0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0
"ZNF490",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,0
"ZNF791",18,96,0,1,2,19,1,4,7,1,19,3,0,4,2,0,0,10,1,4,1,21,212,20,10
"CTD-2192J16.22",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"MAN2B1",10,10,1,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,3,0,3,8,2,2
"WDR83",14,52,0,1,0,5,0,2,5,2,4,1,0,1,2,0,0,3,1,4,2,19,85,20,3
"WDR83OS",377,967,1,18,6,124,5,8,31,22,69,13,13,6,17,3,18,105,12,79,15,146,1676,232,47
"DHPS",66,229,1,4,0,28,1,1,8,3,20,8,4,5,3,0,2,30,4,18,6,51,576,48,22
"FBXW9",3,52,0,0,0,4,0,0,2,0,2,0,0,1,0,0,0,5,0,2,0,1,77,6,0
"TNPO2",20,52,0,0,0,4,0,0,2,1,4,0,1,1,0,0,0,7,0,0,2,5,121,17,4
"C19orf43",436,1541,6,17,10,157,12,20,36,29,128,35,14,24,34,1,7,190,8,110,43,247,2241,363,90
"ASNA1",152,425,4,6,2,49,1,4,10,4,27,5,2,4,9,0,4,44,4,27,9,44,586,83,23
"BEST2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HOOK2",22,99,1,0,1,25,0,0,1,1,8,3,0,0,1,0,1,5,2,2,1,6,641,20,6
"JUNB",1482,5379,34,81,17,1400,39,38,109,86,505,91,23,136,111,22,3,657,31,639,26,937,1892,790,580
"PRDX2",149,1171,1,7,5,169,2,13,34,12,94,11,10,13,14,3,28,95,9,41,26,185,3279,204,62
"CTD-2659N19.10",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0
"RNASEH2A",26,67,1,2,1,2,0,0,5,0,9,4,0,1,0,1,1,8,1,8,6,7,293,18,3
"RTBDN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"MAST1",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"DNASE2",204,308,0,4,1,60,0,2,7,5,16,5,3,0,2,0,0,24,1,25,1,27,165,27,17
