"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"LRMP",24,0,1,1,0,0,0,0,8,0,0,4,2,5,2,0,0,6,1,4,8,35,13,0
"RP11-713N11.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"CASC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LYRM5",65,26,4,2,1,3,1,36,1,2,7,4,2,6,0,2,15,9,1,2,13,301,39,5
"KRAS",111,29,5,4,4,1,1,20,14,4,19,8,4,10,2,2,11,36,2,7,34,1151,62,1
"RP11-295I5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"RP11-707G18.1",8,8,0,2,1,0,0,3,0,0,3,1,2,2,0,0,2,6,2,1,2,37,4,0
"LMNTD1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"RASSF8-AS1",1,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0
"RASSF8",6,14,0,0,0,0,0,10,0,0,0,0,0,2,1,0,3,0,1,0,1,0,5,2
"BHLHE41",88,31,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,5,0,0,0,121,0,0
"SSPN",7,108,0,0,0,0,0,115,0,0,0,0,0,0,0,0,27,0,0,0,1,52,1,6
"RP11-283G6.3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-283G6.4",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-283G6.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ITPR2",161,13,2,2,0,0,1,7,3,2,5,2,1,4,0,0,7,30,2,1,16,94,27,0
"ASUN",26,9,1,0,0,0,0,9,1,1,5,2,1,3,0,0,4,6,5,3,7,182,8,0
"FGFR1OP2",127,41,5,2,4,2,2,27,7,1,15,16,6,16,2,0,19,33,4,6,55,621,52,2
"TM7SF3",70,12,3,7,2,0,0,25,1,4,9,10,2,1,1,3,4,9,0,3,22,404,19,2
"MED21",36,36,3,1,1,0,0,18,4,3,10,5,0,5,0,1,17,7,2,3,19,527,27,4
"RP11-582E3.6",6,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,3,3,0,0,1,86,2,0
"STK38L",61,25,0,6,0,0,0,6,0,1,0,2,2,0,0,0,22,19,0,0,13,265,35,2
"ARNTL2",19,15,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,5,0,0,7,241,14,0
"SMCO2",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0
