"","Transcriptomics","Final"
"23539",0,0
"2224",2,2
"29958",0,0
"60386",1,1
"84920",1,1
"79087",1,1
"26002",0,0
"1621",1,1
"7299",0,0
"6530",0,0
"6581",0,0
"669",1,1
"5224",0,0
"5223",2,2
"4597",0,0
"51071",2,2
"1806",0,0
"7083",1,1
"7084",1,1
"1854",2,2
"3704",2,2
"10682",2,2
"1892",2,2
"549",1,1
"1962",0,0
"1891",2,2
"11001",0,0
"28231",1,1
"53919",0,0
"10257",0,0
"28232",0,0
"2109",2,1
"2108",2,1
"2110",1,1
"55500",1,1
"55224",1,1
"8790",0,0
"51086",0,0
"2181",0,0
"2180",1,1
"2182",1,1
"81616",0,0
"51703",2,2
"23305",1,1
"116285",0,0
"5167",0,0
"5169",0,0
"6785",0,0
"60481",2,2
"54898",0,0
"79071",0,0
"1579",0,0
"2194",0,0
"10999",0,0
"376497",0,0
"230",1,1
"226",2,1
"229",0,0
"5208",0,0
"5207",1,1
"2203",0,0
"5210",1,1
"5209",2,1
"8789",0,0
"2235",1,1
"10840",0,0
"79901",0,0
"197258",2,1
"125061",1,1
"1719",1,1
"2356",2,2
"155184",0,0
"29988",0,0
"66035",0,0
"6518",0,0
"6514",0,0
"160428",0,0
"25902",0,0
"4522",2,1
"2519",1,1
"2517",1,1
"2184",0,0
"2271",1,1
"2523",1,1
"2525",0,0
"10690",0,0
"2683",1,1
"9334",1,1
"8704",0,0
"8703",1,1
"2820",0,0
"5832",2,2
"9563",1,1
"2539",0,0
"2542",0,0
"2593",1,1
"9514",0,0
"5476",2,2
"2720",2,2
"2588",1,1
"2581",0,0
"2583",0,0
"55454",1,1
"55790",1,1
"79586",0,0
"337876",0,0
"22856",2,1
"63917",2,1
"11226",0,0
"55568",1,1
"2589",2,1
"51809",1,1
"8693",0,0
"2591",0,0
"117248",0,0
"26290",0,0
"114805",0,0
"79695",0,0
"50614",0,0
"79623",0,0
"2590",1,1
"11227",0,0
"81031",0,0
"126792",0,0
"11285",0,0
"8972",0,0
"175",2,1
"26301",0,0
"4329",0,0
"7915",0,0
"2731",0,0
"275",0,0
"2653",0,0
"2651",1,1
"55343",1,1
"8836",0,0
"79017",2,2
"8908",0,0
"2992",2,2
"2997",0,0
"2998",0,0
"2687",0,0
"6472",2,2
"6470",0,0
"2717",2,2
"2632",1,1
"2990",2,2
"8372",1,1
"26035",0,0
"54480",1,1
"2131",0,0
"2132",1,1
"27087",1,1
"26229",2,2
"135152",0,0
"4669",0,0
"64579",0,0
"9348",0,0
"8509",1,1
"3340",0,0
"2137",1,1
"2135",1,1
"2134",0,0
"144195",1,1
"154091",0,0
"11182",0,0
"56606",0,0
"6523",0,0
"178",2,1
"5837",0,0
"5834",2,1
"5836",0,0
"2729",1,1
"2730",1,1
"2746",2,2
"2747",0,0
"10841",1,1
"27165",0,0
"2744",1,1
"79751",0,0
"83733",0,0
"2639",1,1
"57084",0,0
"57030",1,1
"246213",0,0
"51179",0,0
"54363",0,0
"2628",0,0
"9380",2,2
"2712",0,0
"2713",0,0
"2710",0,0
"3029",2,2
"6536",0,0
"5226",1,1
"27232",0,0
"57678",0,0
"80055",0,0
"54965",1,1
"93183",0,0
"2936",2,2
"2876",2,2
"7001",2,2
"5052",2,2
"2879",2,2
"2877",1,1
"257202",1,0
"2878",0,0
"2882",2,1
"10935",1,1
"2937",2,2
"2678",0,0
"2679",0,0
"2983",0,0
"4881",0,0
"3000",0,0
"2974",0,0
"4882",0,0
"2986",0,0
"2982",0,0
"2984",0,0
"2977",0,0
"9615",0,0
"763",0,0
"11238",0,0
"23556",1,1
"55650",0,0
"53905",0,0
"50506",0,0
"343",0,0
"5281",0,0
"84720",0,0
"54872",1,1
"80235",0,0
"128869",2,1
"10026",1,1
"51604",1,1
"94005",2,2
"8733",2,2
"3028",2,2
"3033",1,1
"3037",0,0
"3038",0,0
"3036",0,0
"27235",0,0
"6522",0,0
"83697",0,0
"6521",0,0
"6508",0,0
"2645",0,0
"3098",2,2
"3099",0,0
"80201",0,0
"3101",0,0
"3081",0,0
"11112",1,1
"3067",0,0
"496",0,0
"495",0,0
"8942",0,0
"3157",1,1
"3158",0,0
"54511",0,0
"3155",2,1
"3162",0,0
"26062",0,0
"197257",0,0
"6448",1,1
"3290",0,0
"3291",0,0
"3292",0,0
"3294",0,0
"51478",0,0
"3283",0,0
"3284",0,0
"80270",0,0
"57026",0,0
"3419",1,1
"3421",2,2
"3420",2,2
"3417",0,0
"3418",2,2
"7173",0,0
"3425",0,0
"587",0,0
"8501",1,1
"55586",0,0
"114134",0,0
"6526",1,1
"3422",2,2
"91734",0,0
"160728",0,0
"8801",2,2
"8802",1,1
"8803",1,1
"9990",0,0
"6560",0,0
"57468",0,0
"3795",0,0
"84679",1,1
"23315",0,0
"8564",0,0
"3938",0,0
"53",0,0
"3931",1,1
"387775",0,0
"124637",0,0
"366",0,0
"11283",0,0
"4047",0,0
"1178",0,0
"5321",0,0
"29124",0,0
"51268",0,0
"4023",1,1
"1056",0,0
"3990",1,1
"80339",0,0
"11343",1,1
"50487",0,0
"9227",0,0
"6309",1,1
"4048",2,2
"4258",1,1
"4259",1,1
"4056",0,0
"2954",0,0
"2548",1,1
"56922",1,1
"64087",1,1
"23417",0,0
"4357",2,1
"4190",2,2
"4191",2,2
"4200",0,0
"4199",0,0
"10873",0,0
"3620",0,0
"1545",0,0
"1543",1,1
"1557",0,0
"1544",0,0
"27430",2,2
