"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"FO538757.2",47,14,1,1,2,1,1,4,2,0,1,3,0,2,0,0,5,1,2,0,3,1,1,9,131,2
"AP006222.2",106,29,1,1,0,1,1,1,0,0,0,0,1,0,0,0,4,0,6,2,2,0,0,4,108,9
"RP4-669L17.10",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,13,0
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,8,1
"FAM41C",19,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,2,0,1,2,9,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-54O7.3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NOC2L",81,24,6,1,1,10,1,2,1,1,4,9,4,6,1,1,7,1,6,6,7,3,4,31,339,11
"KLHL17",6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
"PLEKHN1",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,51,0
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-54O7.17",13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1
"HES4",583,138,2,15,2,5,0,7,2,8,2,11,1,8,5,2,35,18,60,1,73,2,0,58,892,54
"ISG15",2009,549,28,45,28,58,14,12,10,3,10,85,27,41,11,8,149,2,62,17,231,13,11,240,4423,160
"AGRN",69,28,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9,0,9,1,2,0,0,3,231,37
"RP11-54O7.18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"C1orf159",8,6,1,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,47,2
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,35,1
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TNFRSF18",157,29,1,6,13,1,1,4,29,12,0,25,9,17,18,2,2,0,2,13,19,16,0,656,26,3
"TNFRSF4",191,39,0,2,0,2,1,3,13,1,0,27,1,45,1,1,3,0,0,2,8,36,1,890,40,102
"SDF4",453,164,5,15,4,6,4,10,9,7,0,14,9,13,4,2,21,3,21,34,24,6,3,101,670,51
"B3GALT6",37,18,0,2,1,1,0,0,1,0,0,2,0,1,0,0,2,0,3,1,2,0,1,4,97,10
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,48,10
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"UBE2J2",114,36,6,2,7,9,2,3,1,1,1,14,6,7,1,2,8,1,4,15,5,2,1,29,204,18
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ACAP3",48,13,1,0,1,3,1,1,0,0,0,1,1,1,0,0,4,0,6,5,1,3,0,4,59,5
"PUSL1",42,16,2,1,0,2,0,0,1,0,1,0,1,4,1,0,7,0,2,1,4,0,0,5,118,3
"CPSF3L",115,32,3,3,3,4,3,1,1,0,0,4,1,6,0,1,25,2,8,6,10,3,0,27,270,16
"CPTP",21,10,0,0,1,3,2,2,1,0,0,2,1,2,1,0,11,0,4,7,1,0,1,13,122,7
"TAS1R3",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"DVL1",27,5,0,0,0,2,0,0,0,0,0,1,0,1,0,1,10,0,0,0,0,0,0,2,223,7
"MXRA8",4,242,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,19,1,0,0,0,0,5,0
"AURKAIP1",649,203,17,13,17,33,9,11,7,7,6,29,23,20,3,6,98,4,23,61,53,12,10,118,2211,79
"CCNL2",73,32,4,1,2,2,0,1,1,1,2,5,7,8,0,2,16,1,6,2,2,3,1,14,287,14
"MRPL20",539,124,7,8,14,16,7,8,6,4,10,16,15,21,1,4,56,5,21,30,40,8,3,99,1246,45
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"ANKRD65",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"VWA1",11,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,90,218
"ATAD3C",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,4,6
"ATAD3B",37,8,1,2,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,3,3,1,0,8,126,3
"ATAD3A",68,11,0,4,0,1,0,1,0,0,1,1,2,1,0,1,5,0,2,4,2,1,0,3,195,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SSU72",531,175,18,9,9,22,4,5,7,5,10,26,11,39,2,6,51,1,22,41,41,13,4,109,1179,54
"RP5-832C2.5",9,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,1,0,2,7,3
"C1orf233",25,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-345P4.9",15,3,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,5,20,2
"MIB2",59,21,5,2,2,14,3,3,3,1,0,1,1,4,0,1,39,1,1,4,4,3,3,18,702,9
"MMP23B",3,113,0,0,0,3,0,10,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,12,1
"CDK11B",42,17,1,0,4,6,1,1,3,0,1,3,2,2,0,2,8,0,1,2,2,2,1,9,183,12
"RP11-345P4.10",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,5,0
"SLC35E2B",40,23,1,0,0,1,0,2,0,0,1,1,3,1,0,0,2,0,3,0,1,0,0,13,127,9
"CDK11A",40,14,2,1,2,9,1,2,3,0,1,3,3,5,0,0,8,1,0,2,1,2,1,23,107,4
"SLC35E2",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"NADK",105,14,1,0,1,4,1,0,0,0,1,2,0,2,1,0,5,7,3,3,5,2,0,7,226,3
"GNB1",528,103,6,9,3,10,3,8,3,0,4,6,3,14,1,2,29,6,23,9,49,8,7,38,740,91
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TMEM52",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,73,0
"CFAP74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"GABRD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",6,10,1,0,0,1,0,1,1,0,1,1,1,0,0,0,8,0,0,1,1,0,2,7,155,4
"RP5-892K4.1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",414,140,3,10,4,9,5,13,7,4,2,19,11,11,3,2,24,4,20,17,28,4,2,61,742,42
"SKI",85,23,4,1,3,7,2,2,0,1,0,4,4,1,3,1,2,0,12,2,4,0,3,9,88,29
"MORN1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"RER1",546,149,7,6,4,13,4,6,4,0,3,20,8,9,3,3,28,2,21,22,27,9,9,58,1028,33
"PEX10",50,26,0,1,1,0,0,0,1,0,1,0,0,0,0,1,3,0,3,3,2,1,0,4,120,5
"PLCH2",1,0,0,0,0,1,1,0,0,0,0,1,1,2,0,1,4,0,0,0,0,0,0,5,59,0
"PANK4",14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,4,13,2
"HES5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-395M20.12",66,2,3,2,2,1,0,0,0,0,0,2,0,3,1,0,0,0,5,1,7,0,0,12,45,4
"RP3-395M20.8",27,4,1,0,0,0,1,0,0,1,0,3,2,1,0,0,6,0,0,1,0,0,0,3,74,0
"TNFRSF14",378,58,6,6,5,17,4,4,1,0,3,13,4,16,0,3,22,3,8,11,20,6,1,72,424,30
"RP3-395M20.9",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,6,0
"FAM213B",61,5,1,0,3,2,0,0,0,0,0,0,0,1,0,0,21,0,3,0,2,0,0,7,304,10
"MMEL1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,36,1
"TTC34",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PRDM16",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0
"RP11-22L13.1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
"ARHGEF16",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,145,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEGF6",12,30,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3,23,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"TPRG1L",29,9,1,0,0,3,0,2,0,0,0,1,0,1,0,0,5,3,2,1,0,0,0,7,211,9
"WRAP73",23,10,1,1,2,1,0,1,1,0,1,3,3,1,0,0,1,0,0,1,1,3,0,12,78,2
"TP73",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"TP73-AS1",9,8,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,2,0,0,0,0,2,0,4
"SMIM1",10,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,12,1
"LRRC47",54,18,2,0,1,6,1,1,2,0,1,3,1,3,1,0,5,1,2,2,1,2,2,10,121,13
"CEP104",30,9,0,1,0,2,2,1,1,0,0,1,0,4,1,1,1,0,3,1,2,1,0,9,74,4
"DFFB",10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28,1
"C1orf174",36,17,1,0,3,4,0,1,1,0,1,2,1,3,1,0,13,1,3,1,2,3,1,5,146,5
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
"NPHP4",9,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,0
"KCNAB2",178,5,2,4,1,6,5,0,1,1,1,5,5,2,3,0,1,1,1,2,12,2,2,26,12,0
"RPL22",3182,863,77,91,46,101,30,77,41,22,86,192,84,294,20,34,496,47,187,176,238,61,45,720,8098,407
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF207",6,8,0,1,1,0,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,7,43,3
"ICMT",74,33,0,0,0,3,0,5,0,1,0,5,2,2,0,0,4,0,6,2,1,0,2,9,158,22
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GPR153",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0
"ACOT7",134,23,3,1,1,5,1,0,2,0,0,4,4,3,0,0,20,0,4,3,1,1,3,9,627,19
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0
"HES2",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,37,3
"ESPN",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,122,1
"TNFRSF25",31,6,3,0,4,1,1,1,11,0,1,21,4,21,0,0,4,0,1,0,2,6,0,101,48,10
"PLEKHG5",1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,48,3
"NOL9",19,14,1,0,0,1,0,0,0,0,0,5,1,1,0,0,1,0,4,1,0,0,0,5,48,6
"ZBTB48",22,2,0,0,1,1,1,0,0,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,34,2
"KLHL21",116,15,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,4,0,0,5,67,3
"PHF13",13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,40,2
"THAP3",22,16,0,0,0,2,0,2,0,1,0,1,2,2,0,0,3,0,3,4,0,0,0,5,56,5
"DNAJC11",23,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,76,5
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CAMTA1",496,120,5,12,2,13,1,9,7,2,0,12,11,8,0,3,38,2,26,11,33,6,7,51,872,69
"RP11-338N10.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",264,41,1,2,2,3,1,3,1,0,0,5,3,1,0,2,17,1,12,4,23,2,0,19,400,36
"PER3",25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,59,3
"RP3-467L1.4",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UTS2",74,2,5,0,2,4,2,1,2,1,1,4,4,3,0,0,6,0,0,2,2,2,1,33,59,1
"TNFRSF9",201,10,6,0,8,6,0,0,0,2,0,1,7,0,0,0,1,0,1,0,5,2,3,85,22,2
"PARK7",1054,395,23,27,33,59,20,33,17,12,8,63,40,44,5,7,61,24,66,68,69,22,22,294,1803,129
"ERRFI1",140,63,2,0,1,0,0,1,1,0,0,0,0,2,1,1,49,1,16,0,4,0,1,8,979,1
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC45A1",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RERE",47,26,2,2,0,4,0,2,0,0,1,3,2,4,0,0,7,4,1,1,4,2,0,10,120,10
"RP5-1115A15.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ENO1",2249,431,26,47,25,64,7,24,19,14,7,63,35,44,3,8,103,3,67,59,220,22,17,303,3690,111
"ENO1-AS1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
"SLC2A5",85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,1
"GPR157",47,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,22,0
"MIR34AHG",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
"RP3-510D11.2",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,7,0
"H6PD",62,24,2,0,0,1,0,1,0,0,0,2,3,1,0,0,2,1,2,0,3,0,0,7,64,9
"SPSB1",39,67,0,0,0,5,1,0,0,0,1,2,4,1,0,1,2,3,8,17,3,2,1,9,57,8
"SLC25A33",147,18,2,4,2,0,2,2,1,3,2,6,2,2,0,2,10,0,3,10,13,2,2,15,209,13
"TMEM201",6,6,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,0,1,0,1,22,6
"PIK3CD",32,3,3,1,0,3,1,0,0,0,1,4,5,2,0,0,0,0,0,1,3,0,2,12,6,0
"PIK3CD-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,6,0
"CLSTN1",72,23,2,2,2,4,2,2,1,0,1,1,6,2,1,0,7,0,6,4,4,1,0,15,325,18
"CTNNBIP1",176,19,4,7,2,3,0,2,2,0,0,9,4,1,0,1,8,1,6,3,11,3,1,12,272,24
"LZIC",81,17,0,1,2,5,0,1,0,0,0,4,3,2,0,1,17,1,5,5,7,3,6,8,183,6
"NMNAT1",13,6,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,32,1
"RBP7",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21
"UBE4B",46,10,1,0,1,2,2,0,0,0,2,4,1,5,0,0,3,1,2,7,0,1,1,13,79,5
"KIF1B",229,17,4,0,0,5,2,3,0,0,1,1,1,3,0,0,2,1,2,0,6,0,2,12,72,18
"PGD",374,31,2,4,1,1,1,3,0,0,2,0,3,0,0,0,9,3,6,4,17,2,1,6,377,9
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1-CORT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APITD1",34,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,100,5
"DFFA",77,19,1,3,0,8,1,2,2,0,0,2,3,2,0,2,4,2,5,4,3,2,2,12,212,13
"PEX14",16,2,1,1,1,1,0,0,0,0,0,1,3,1,0,1,1,0,2,3,0,0,1,6,42,2
"CASZ1",8,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5,107,1
"C1orf127",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TARDBP",111,23,6,2,1,4,3,2,0,0,1,4,4,3,0,0,11,3,5,5,4,0,2,15,263,18
"RP4-635E18.8",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SRM",274,145,10,7,3,14,3,6,2,0,4,2,9,10,0,4,18,2,29,68,13,4,3,42,612,49
"EXOSC10",28,7,2,2,1,8,1,0,0,0,0,2,1,1,0,1,7,0,2,3,1,1,0,2,88,2
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP4-635E18.6",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0
"MTOR",31,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,3,1,0,5,53,6
"UBIAD1",30,10,1,1,0,2,0,1,1,0,2,4,1,5,0,0,0,0,1,4,0,1,0,9,56,5
"FBXO2",5,3,0,0,0,1,0,2,1,0,1,0,1,1,0,0,6,0,0,2,0,0,0,4,124,0
"FBXO44",16,9,1,0,2,2,1,1,2,0,1,3,2,2,0,0,2,0,1,0,0,0,0,6,70,2
"FBXO6",105,16,0,4,1,4,0,1,0,0,0,1,2,0,0,0,5,0,1,1,5,1,0,6,84,0
"MAD2L2",169,61,2,4,6,10,1,3,0,1,0,5,8,5,2,3,6,4,11,7,21,7,4,25,121,14
"DRAXIN",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGTRAP",326,74,2,0,5,3,1,7,2,2,0,2,3,2,1,1,7,2,8,1,28,1,0,26,232,23
"C1orf167",0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"MTHFR",26,6,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,0,2,0,0,3,55,0
"CLCN6",12,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,17,3
"NPPA-AS1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KIAA2013",126,23,3,0,1,4,3,1,1,0,0,2,1,3,0,0,8,0,4,2,0,0,1,7,282,15
"PLOD1",153,81,0,0,0,1,1,2,0,0,0,0,0,1,0,0,7,0,12,3,2,0,0,2,136,34
"MFN2",69,14,0,2,1,1,0,1,0,0,0,2,2,0,0,1,7,0,1,4,5,0,1,7,176,7
"MIIP",97,22,0,0,0,3,1,3,1,0,1,6,4,4,0,0,4,2,7,2,6,0,1,28,117,3
"TNFRSF8",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
"TNFRSF1B",383,18,17,6,11,26,3,0,3,2,3,23,17,11,6,6,10,7,3,2,48,6,11,222,93,10
"VPS13D",38,8,0,0,0,0,0,1,0,0,0,1,1,1,0,0,4,2,0,0,2,0,0,3,42,1
"DHRS3",102,21,0,2,0,1,0,3,0,2,0,4,0,0,2,0,7,0,0,0,2,0,0,0,153,6
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LRRC38",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",188,410,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,2,0,2,0,0,1,15,0
"PRDM2",106,19,5,0,4,8,4,1,6,2,7,14,3,7,2,2,3,0,5,5,5,5,1,67,73,4
"KAZN",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,4
"TMEM51-AS1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
"TMEM51",255,15,0,2,0,0,0,3,0,0,0,0,0,0,0,0,7,0,1,0,5,0,0,0,137,4
"FHAD1",45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"RP3-467K16.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"EFHD2",694,40,5,17,3,6,1,3,1,2,2,9,5,5,1,1,44,1,7,4,39,4,4,61,1157,41
"CTRC",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"CASP9",23,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,34,6
"DNAJC16",27,7,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,1,3,0,1,0,0,4,73,4
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"AGMAT",5,3,0,0,0,0,0,0,1,0,0,1,2,1,0,0,4,0,0,0,0,0,0,9,156,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDI2",45,7,1,0,0,1,0,0,0,0,0,2,2,3,1,1,1,1,3,0,2,0,0,5,74,16
"RP4-680D5.9",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",166,22,1,0,1,1,0,1,0,0,1,2,0,1,0,0,5,0,3,1,6,1,0,4,87,16
"SLC25A34",8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM82",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0
"FBLIM1",8,89,0,0,1,1,0,2,0,0,0,1,0,0,0,0,6,0,19,1,0,0,0,2,181,20
"UQCRHL",31,9,2,0,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,2,3,0,0,3,157,2
"FLJ37453",9,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,2,0,1,0,0,5,10,1
"SPEN",75,11,1,0,1,2,1,1,2,0,0,2,2,3,0,0,8,0,8,1,6,1,0,9,163,12
"ZBTB17",53,9,1,1,0,1,0,1,3,1,0,2,1,0,0,1,1,0,0,1,1,0,1,11,40,9
"HSPB7",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
