"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FO538757.2",1,0,3,0,0,7,80,3,0,1,0,4,7,0,1,0,1,2,24,1,1,0,0,12,1
"AP006222.2",5,0,0,0,0,6,97,2,2,0,1,3,1,1,0,0,1,0,10,1,0,0,0,27,6
"RP4-669L17.10",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,0,1,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,1
"FAM87B",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,5,1,2,0,0,2,0
"FAM41C",0,0,0,0,0,0,4,1,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,1,1
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"NOC2L",3,3,3,1,0,4,104,6,3,3,3,22,15,3,12,1,2,3,46,2,7,0,6,12,3
"KLHL17",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.17",2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0
"HES4",63,2,20,0,0,12,207,36,5,14,6,36,36,7,23,2,1,8,115,15,5,21,15,109,48
"ISG15",189,45,54,8,12,48,757,142,14,9,14,196,243,21,65,11,23,35,133,12,14,27,29,747,17
"AGRN",0,0,0,0,0,1,32,5,1,1,0,0,1,0,0,0,0,1,22,1,0,0,0,27,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"C1orf159",0,0,0,0,0,1,15,0,1,0,0,2,1,0,1,0,0,0,8,0,0,0,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"TNFRSF18",0,4,0,0,0,3,17,67,1,2,1,79,13,0,5,0,5,12,4,1,33,1,46,12,0
"TNFRSF4",4,0,8,0,0,0,15,3,7,5,2,133,2,0,20,0,2,8,4,0,13,0,26,93,0
"SDF4",9,1,10,1,0,23,787,25,9,5,9,49,28,1,11,1,3,3,126,3,8,3,5,159,12
"B3GALT6",0,0,4,0,0,1,30,3,0,0,0,6,5,1,0,1,1,1,4,0,1,0,1,8,0
"FAM132A",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,7,0
"UBE2J2",1,1,1,0,0,10,131,6,5,0,1,18,8,1,6,0,0,3,38,1,2,1,1,29,3
"RP5-902P8.10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ACAP3",0,0,0,0,0,2,54,4,1,0,2,5,2,1,0,0,0,3,13,1,2,0,0,6,0
"PUSL1",0,2,0,0,0,1,30,3,1,0,1,4,5,3,4,0,0,1,19,0,0,1,0,3,0
"CPSF3L",2,0,5,1,0,7,157,16,5,0,2,18,5,1,3,1,2,1,39,3,5,2,1,27,1
"CPTP",0,1,0,0,1,2,40,3,4,0,0,6,2,1,2,0,1,1,26,0,3,0,0,13,1
"TAS1R3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"DVL1",1,0,0,1,0,5,19,0,1,0,0,1,1,0,1,0,0,0,13,1,2,0,0,8,0
"MXRA8",0,0,0,0,0,40,572,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,10,0
"AURKAIP1",15,16,16,0,3,27,486,21,19,3,7,49,31,2,15,4,2,12,289,6,22,3,8,96,15
"CCNL2",3,2,5,2,0,5,134,14,2,3,4,13,16,3,6,2,2,2,36,4,6,0,5,32,2
"MRPL20",21,5,15,1,2,14,427,40,12,7,7,56,44,4,19,2,1,7,154,5,20,3,7,90,23
"RP4-758J18.13",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",0,0,0,0,0,45,106,0,2,0,0,0,1,0,0,0,0,0,11,1,0,0,0,221,0
"ATAD3C",0,0,0,0,0,1,5,2,1,0,0,2,1,0,0,0,0,0,3,0,6,1,0,2,1
"ATAD3B",1,1,1,0,0,1,20,4,0,0,1,3,3,2,1,1,0,0,20,1,2,0,1,9,0
"ATAD3A",1,1,1,0,0,2,42,1,3,0,0,5,4,0,0,0,1,2,32,1,1,0,0,9,0
"TMEM240",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",18,10,7,2,1,20,429,40,17,7,6,66,41,15,17,6,3,12,168,8,7,6,3,111,12
"RP5-832C2.5",0,0,1,0,0,0,3,2,0,0,0,3,8,2,4,0,0,1,6,0,3,1,0,2,0
"C1orf233",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-345P4.9",1,1,1,0,0,2,25,2,0,0,0,4,1,3,1,0,0,0,3,0,2,0,0,4,1
"MIB2",1,3,1,0,1,6,75,7,2,1,3,15,13,0,4,0,2,4,35,0,7,0,2,16,1
"MMP23B",0,1,0,0,0,0,563,5,0,0,0,2,3,0,0,0,1,1,3,0,1,0,0,3,0
"CDK11B",3,4,2,0,2,8,58,9,2,2,3,7,10,3,6,1,1,3,36,0,2,0,1,30,1
"RP11-345P4.10",0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"SLC35E2B",1,3,1,0,0,2,76,7,0,1,3,5,4,3,0,0,0,3,13,0,0,1,1,15,1
"RP11-345P4.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",3,7,0,1,2,1,41,6,1,0,3,11,10,2,4,0,2,4,25,0,4,1,1,23,0
"SLC35E2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NADK",8,0,1,1,0,2,53,2,3,0,3,4,3,1,0,0,0,0,24,0,0,3,2,17,5
"GNB1",16,4,14,1,1,7,180,9,13,3,3,29,9,4,2,2,2,4,76,4,5,2,3,97,10
"TMEM52",0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,2,0
"CFAP74",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-547D24.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"PRKCZ",1,1,0,1,0,2,27,2,2,0,0,2,1,1,0,0,0,0,27,0,0,0,1,5,0
"RP5-892K4.1",0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAAP20",5,8,14,2,1,13,358,15,11,3,4,29,19,0,4,2,1,6,50,6,5,6,3,53,5
"SKI",2,4,1,0,0,8,127,12,4,1,2,8,7,2,4,0,1,3,17,1,1,0,0,59,2
"MORN1",0,0,0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0
"RER1",10,6,20,2,1,15,390,14,8,5,5,30,18,2,17,2,1,9,141,6,12,8,3,44,10
"PEX10",0,0,3,0,0,3,93,4,4,0,1,2,2,0,0,0,0,3,13,1,3,0,0,10,6
"PLCH2",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"PANK4",0,1,0,0,0,0,28,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,5,1
"HES5",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"RP3-395M20.12",13,1,6,0,0,1,5,3,3,0,4,7,7,4,3,1,2,0,21,3,2,3,1,14,2
"RP3-395M20.8",2,0,0,0,0,0,15,1,0,0,0,1,5,0,0,0,0,0,15,1,0,0,0,6,0
"TNFRSF14",19,7,12,3,1,5,173,8,10,4,10,29,18,12,10,4,3,9,46,3,4,5,5,79,1
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0
"FAM213B",2,1,0,0,0,1,18,1,3,1,1,1,0,1,0,0,0,0,33,0,0,0,0,9,1
"MMEL1",0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0
"TTC34",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
"PRDM16",0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
"RP11-22L13.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ARHGEF16",0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0
"MEGF6",1,0,0,0,0,3,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RP11-46F15.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRG1L",2,1,0,0,0,2,66,1,4,0,0,1,0,0,0,1,2,0,21,0,1,0,0,20,1
"WRAP73",2,0,0,1,0,1,46,1,2,0,0,4,3,0,1,0,1,3,10,0,0,0,1,11,2
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TP73-AS1",3,0,0,0,0,2,36,2,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,3,1
"SMIM1",0,0,0,0,0,3,31,1,0,1,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0
"LRRC47",4,0,1,0,0,6,92,4,3,0,0,10,9,2,0,2,1,0,24,0,1,1,0,12,5
"RP1-286D6.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",1,1,2,0,0,4,35,1,1,0,0,5,2,1,1,0,0,0,13,0,1,0,1,8,3
"DFFB",1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0
"C1orf174",0,0,0,1,0,1,63,6,2,0,0,4,5,0,2,0,0,0,14,0,1,0,0,8,2
"AJAP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
"KCNAB2",4,5,6,0,0,0,8,5,0,1,1,16,15,2,3,1,1,5,0,0,2,1,3,0,1
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RPL22",169,81,177,17,20,94,4311,253,112,111,180,642,381,153,361,46,13,101,1988,27,146,71,65,607,95
"RNF207",0,1,0,0,0,0,8,1,0,0,0,3,0,0,1,0,0,1,9,0,2,0,0,5,0
"ICMT",4,1,0,1,1,7,94,1,2,1,0,2,3,1,1,0,0,1,20,1,0,0,0,17,2
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GPR153",1,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"ACOT7",1,2,1,0,0,4,59,6,0,9,1,5,12,0,1,0,0,2,54,0,0,0,2,11,0
"RP1-202O8.3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,1,0
"ESPN",0,0,1,0,0,3,3,0,0,0,1,2,0,0,0,0,0,0,38,0,0,0,0,0,1
"TNFRSF25",1,4,0,0,0,0,1,2,0,0,0,42,9,0,8,1,0,2,22,0,3,0,5,4,0
"PLEKHG5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
"NOL9",0,0,0,0,1,0,27,2,1,0,0,2,4,1,6,1,0,1,12,1,0,0,0,8,2
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZBTB48",0,0,1,0,0,1,29,0,1,0,1,3,2,1,1,0,0,0,10,0,0,1,0,2,1
"KLHL21",4,1,4,1,0,6,121,5,0,0,2,2,3,0,1,0,0,1,22,0,3,1,1,19,0
"PHF13",0,0,0,0,0,3,26,0,1,1,0,4,2,0,1,0,0,0,8,1,0,0,0,6,0
"THAP3",0,0,0,0,0,3,35,1,1,1,0,2,1,0,0,0,0,1,6,2,2,0,0,6,3
"DNAJC11",0,0,0,0,0,1,17,4,1,0,1,4,0,0,1,0,0,0,7,0,0,0,0,7,2
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"CAMTA1",18,3,13,0,2,39,408,16,11,7,6,21,23,4,9,2,0,5,175,5,14,1,4,147,33
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"VAMP3",10,0,5,1,0,12,200,4,18,0,0,2,7,1,2,0,0,2,41,5,1,2,1,65,6
"PER3",0,0,0,0,0,7,27,1,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,9,0
"UTS2",2,1,0,3,0,0,0,4,0,0,0,5,4,0,0,0,3,1,2,0,0,0,1,0,0
"TNFRSF9",2,5,2,0,0,0,4,38,0,0,0,10,8,0,1,0,0,0,1,0,0,0,4,2,0
"PARK7",20,24,47,3,6,45,1395,71,33,17,7,88,80,22,30,2,3,18,294,19,14,11,27,184,37
"ERRFI1",1,1,0,0,0,9,318,2,7,2,0,6,15,1,2,1,0,2,176,2,0,0,1,14,2
"RP11-431K24.1",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,1,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0
"RERE",1,0,1,1,0,3,78,0,3,2,1,3,3,1,2,0,0,2,39,3,1,0,0,28,0
"ENO1",79,30,103,6,9,87,873,128,18,26,22,169,120,19,46,9,9,31,377,10,9,25,42,150,19
"ENO1-AS1",0,0,0,0,0,0,2,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,2,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"SLC2A5",2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"GPR157",2,0,7,0,0,1,3,2,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0
"MIR34AHG",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-510D11.2",0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"H6PD",0,1,0,1,0,4,88,3,0,1,0,3,2,0,0,0,0,2,8,1,0,0,0,21,0
"SPSB1",0,1,0,0,0,5,328,0,1,3,1,3,2,2,1,0,0,0,23,1,1,0,1,35,2
"SLC25A33",12,1,7,0,2,10,124,8,2,4,5,9,5,7,4,1,0,2,91,3,6,5,2,55,1
"TMEM201",0,1,0,0,0,0,9,0,0,0,2,1,1,0,2,0,0,0,1,0,0,0,0,2,0
"PIK3CD",0,0,1,0,1,1,3,4,0,1,0,8,5,1,1,1,0,3,1,0,1,0,0,0,1
"PIK3CD-AS2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLSTN1",0,1,0,0,1,11,113,6,4,0,5,9,3,0,5,0,0,1,46,3,0,0,0,28,2
"CTNNBIP1",7,3,7,1,1,11,58,2,0,3,0,9,6,0,2,0,1,1,34,0,2,4,0,57,0
"LZIC",3,1,3,0,0,4,83,6,2,0,0,4,1,0,1,0,0,0,17,0,0,2,0,12,1
"NMNAT1",0,0,1,0,0,1,17,0,0,0,0,2,0,0,0,0,0,1,7,0,0,0,1,1,0
"RBP7",0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,126,0
"UBE4B",3,1,4,2,0,4,39,3,1,1,2,6,7,1,3,0,1,1,17,0,3,1,2,3,1
"KIF1B",8,1,12,0,0,15,84,3,2,0,2,5,4,0,1,0,0,0,19,2,2,4,1,19,4
"PGD",9,1,12,0,0,3,150,4,2,1,1,3,6,2,1,0,1,0,35,1,0,5,1,11,1
"RP4-736L20.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"APITD1",0,0,0,0,2,1,22,1,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0,12,1
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DFFA",0,2,0,0,1,2,75,3,0,0,1,5,3,0,1,0,0,1,30,2,0,0,0,39,5
"PEX14",0,0,0,0,0,2,25,1,0,0,0,1,1,0,1,0,1,0,7,2,0,0,0,14,0
"CASZ1",0,0,0,0,0,0,3,0,1,0,1,1,2,1,0,0,0,0,29,0,1,0,0,16,1
"TARDBP",3,3,1,0,0,5,124,4,2,0,3,19,4,3,7,0,0,1,37,2,2,1,5,36,4
"MASP2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRM",12,4,9,0,0,9,432,15,5,1,1,21,14,1,4,2,1,6,48,3,18,1,6,47,6
"EXOSC10",0,1,1,0,1,9,39,1,3,0,0,0,1,0,0,0,0,0,9,1,0,1,0,16,1
"RP4-635E18.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MTOR",0,0,2,0,0,2,17,1,0,0,1,1,0,1,0,0,1,1,3,0,1,0,0,13,2
"ANGPTL7",0,0,0,0,0,56,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",0,1,2,0,0,1,41,1,1,1,0,4,4,2,0,0,0,4,16,0,2,0,1,13,0
"FBXO2",0,1,0,0,0,4,55,7,1,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,0
"FBXO44",1,0,0,0,0,5,65,2,6,0,2,6,2,1,1,0,2,1,2,1,1,0,2,1,2
"FBXO6",1,1,4,0,0,3,45,0,1,2,1,3,6,0,5,0,1,1,8,0,1,2,1,15,1
"MAD2L2",5,0,5,2,0,3,132,21,6,4,1,7,15,1,2,0,0,7,13,0,4,0,4,21,3
"DRAXIN",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGTRAP",4,3,3,0,1,3,265,2,8,5,0,6,10,1,1,1,3,2,9,1,2,6,1,31,2
"C1orf167",0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"MTHFR",1,0,1,0,0,0,37,0,1,1,0,1,1,1,1,0,0,1,7,1,2,0,0,23,3
"CLCN6",2,0,0,0,0,1,10,1,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,1,0
"NPPA-AS1",1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"KIAA2013",2,2,1,0,0,5,73,3,2,1,0,3,4,0,1,0,0,0,54,1,2,0,0,18,1
"PLOD1",3,0,1,0,0,8,172,0,1,1,1,1,0,0,0,0,0,2,11,5,3,1,0,26,3
"MFN2",2,0,1,0,0,5,25,2,0,0,1,2,3,0,0,0,0,0,12,1,2,0,1,6,2
"MIIP",6,0,2,0,0,9,48,5,3,0,1,3,6,0,1,0,0,0,23,0,3,0,2,4,2
"TNFRSF8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TNFRSF1B",17,20,27,5,6,2,57,55,2,0,7,70,68,3,15,1,7,19,1,1,0,13,32,24,0
"VPS13D",0,3,1,0,0,7,34,1,0,0,0,10,3,0,2,1,0,1,9,0,1,0,0,11,4
"DHRS3",6,1,1,1,0,36,142,3,1,0,1,11,3,0,0,0,0,2,22,2,0,0,1,34,0
"RP11-474O21.5",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",0,0,0,0,0,21,190,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"PRDM2",2,4,1,1,0,10,100,23,10,5,10,23,14,12,8,1,2,1,15,0,1,1,6,14,0
"RP11-344F13.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,0,0,0,0,0,79,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,32,1
"TMEM51-AS1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"TMEM51",2,0,1,0,0,0,58,0,4,0,0,0,0,0,0,0,0,0,21,2,1,0,0,11,7
"FHAD1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP3-467K16.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"EFHD2",23,4,18,1,0,4,151,8,3,7,6,18,10,2,5,1,4,8,131,1,6,9,1,31,1
"CTRC",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP9",1,0,5,0,0,2,15,3,0,0,3,0,2,4,2,0,0,0,7,0,0,0,0,4,1
"DNAJC16",2,1,0,0,0,1,23,0,0,0,1,0,2,5,0,0,0,1,14,0,1,1,0,12,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AGMAT",0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0
"DDI2",2,1,0,1,0,0,20,2,0,0,1,2,2,1,2,0,0,0,15,0,0,0,0,7,1
"PLEKHM2",6,1,2,0,0,3,67,0,2,0,0,2,2,2,1,0,0,1,21,1,1,0,0,15,0
"SLC25A34",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"TMEM82",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"FBLIM1",0,0,0,0,0,0,156,2,1,0,0,2,2,0,1,0,0,0,44,8,0,0,0,14,2
"UQCRHL",1,0,1,0,0,0,39,0,1,1,1,6,2,2,1,0,0,0,31,1,1,0,0,10,0
"FLJ37453",0,0,1,0,0,3,11,0,0,0,1,0,0,0,0,0,0,0,8,1,1,0,0,6,1
"SPEN",4,0,4,3,0,0,54,4,3,2,5,7,7,2,4,1,0,1,57,1,2,1,3,31,4
"ZBTB17",1,2,0,0,0,0,36,2,1,0,2,3,3,2,0,0,0,0,7,0,2,2,2,14,0
"HSPB7",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,20
"FAM131C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EPHA2",0,0,0,0,0,2,17,0,1,1,0,0,1,1,0,0,0,0,172,4,0,0,0,28,1
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ARHGEF19",1,0,0,1,0,1,15,1,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,5,0
"RSG1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"FBXO42",0,1,1,0,0,1,33,1,0,0,2,3,5,1,0,1,0,0,2,1,0,0,1,4,1
"SZRD1",8,1,5,2,0,9,161,10,2,1,2,17,21,5,7,2,2,3,52,2,6,2,2,40,9
"NECAP2",13,4,9,0,0,3,148,6,5,3,6,32,11,4,3,1,0,1,22,4,8,2,3,32,0
"RP4-798A10.2",0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"RP4-798A10.7",0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"NBPF1",0,0,1,0,0,1,25,0,0,0,0,2,1,1,0,1,0,1,2,0,0,0,0,3,0
"CROCC",0,2,0,0,0,2,26,2,1,0,0,1,4,0,0,1,0,0,3,0,0,0,0,9,0
"RP11-108M9.4",4,2,0,0,0,4,59,1,2,0,0,0,0,0,1,0,0,0,17,0,0,1,0,12,0
"RP11-108M9.6",0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,1,0
"MFAP2",0,0,0,0,0,0,139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ATP13A2",5,1,2,0,0,1,16,3,0,0,0,2,1,0,0,0,0,0,14,0,0,1,0,10,0
"SDHB",8,4,15,1,1,20,179,11,9,3,3,14,21,0,9,1,0,3,161,4,4,0,0,50,5
"PADI2",0,0,1,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,39,0,1,0,0,1,0
