"","GSM2859423","GSM2859451","GSM2859480","GSM2859515"
"1718",1,0,0,1
"2538",1,1,1,1
"1581",1,1,1,1
"57818",1,1,1,1
"92579",1,0,1,0
"1373",0,0,0,1
"873",1,1,0,1
"11254",1,1,1,1
"57393",0,0,1,0
"6542",1,1,1,1
"84706",0,0,1,0
"1717",1,1,0,1
"2875",0,1,0,0
"8560",1,1,1,1
"10423",0,0,1,0
"123099",0,0,0,1
"92745",1,1,1,1
"10991",1,1,1,1
"1040",1,1,1,0
"11309",1,1,1,1
"8760",1,1,1,1
"284273",0,0,1,0
"6783",1,1,1,1
"1723",0,0,1,1
"10327",1,1,1,1
"10390",1,1,1,1
"56994",0,0,1,1
"1807",1,1,1,1
"64781",1,1,1,1
"1809",1,1,1,1
"8854",0,0,1,0
"1808",1,1,1,1
"10087",0,1,0,0
"23539",1,1,1,1
"6565",0,1,0,0
"9023",0,0,0,1
"224",0,0,1,1
"501",1,0,1,1
"2224",0,0,1,1
"1103",1,1,1,1
"29958",1,1,0,1
"60386",0,1,1,0
"223",1,1,1,1
"216",1,1,1,1
"162466",1,0,1,1
"84920",1,0,0,1
"5130",1,1,0,0
"9468",1,1,1,1
"6579",1,1,1,1
"217",1,0,0,1
"219",0,1,0,1
"79087",0,1,1,1
"239",1,0,0,1
"6555",1,1,1,1
"6554",1,0,0,1
"26002",0,0,0,1
"1621",0,1,1,1
"8647",1,1,1,1
"247",1,1,1,1
"7299",1,1,1,1
"55349",1,0,1,1
"6530",1,1,1,1
"246",1,1,1,1
"6531",1,1,1,1
"6581",0,0,1,0
"240",0,0,1,0
"231",1,1,1,1
"8574",1,1,1,1
"23600",0,0,1,1
"1119",1,0,0,1
"1120",0,0,1,0
"5224",1,1,1,1
"60482",1,1,1,1
"6582",1,1,1,1
"115286",0,1,0,1
"5223",1,1,1,1
"6584",0,0,1,1
"669",1,1,1,1
"271",1,1,1,1
"6820",1,1,0,0
"4597",1,0,0,1
"51071",1,1,1,0
"10948",1,1,1,1
"19",0,1,0,1
"272",0,0,1,0
"1806",1,1,1,1
"270",1,1,1,1
"7083",0,1,1,1
"290",1,1,1,1
