"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"64841",1,0,1,0,0,0,0
"55577",1,1,1,1,1,1,1
"5238",1,0,0,1,1,1,0
"8705",0,0,1,0,0,0,0
"9487",1,0,1,0,0,0,0
"10317",1,1,0,0,1,1,0
"162417",1,0,1,0,1,0,0
"43",1,1,1,1,0,0,0
"6572",0,0,0,0,0,0,0
"84002",1,0,0,1,0,1,1
"47",1,1,1,1,1,1,1
"570",0,1,1,1,0,1,0
"3141",1,0,0,1,1,0,1
"54187",1,1,0,1,1,1,1
"140679",0,1,0,0,0,1,1
"26503",1,0,1,1,1,0,0
"54",1,1,1,1,1,1,1
"8424",0,0,0,0,0,0,0
"51205",0,1,1,1,0,0,0
"53630",0,0,0,0,0,0,0
"140838",1,0,1,1,0,0,1
"622",1,1,1,1,0,0,1
"36",0,1,1,0,1,0,0
"34",1,1,1,1,1,1,1
"84129",1,1,1,1,1,1,0
"23743",0,0,0,0,0,0,0
"80724",0,1,0,0,1,0,1
"635",0,1,0,1,1,1,0
"27034",1,1,1,1,1,1,1
"10599",1,1,0,0,0,0,1
"28976",1,0,1,1,1,0,0
"1244",1,1,1,0,0,0,0
"35",1,0,1,1,0,0,0
"3712",0,0,1,1,0,0,1
"1607",0,0,0,0,0,0,0
"8714",0,0,0,0,1,1,1
"28234",0,0,0,0,0,0,0
"644",1,0,1,1,0,0,1
"1468",0,1,0,0,0,0,1
"8402",1,1,1,1,1,1,1
"64849",1,0,0,1,0,1,1
"645",1,0,0,1,1,0,1
"9488",0,0,0,1,1,1,1
"1610",1,1,1,1,1,0,0
"10380",1,0,1,0,1,0,0
"686",1,1,0,0,0,1,0
"1645",0,1,0,1,0,1,1
"2745",1,1,1,1,1,1,1
"1109",0,0,0,0,0,0,0
"8884",1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0
"51022",1,1,1,1,1,1,1
"51733",1,0,1,0,0,1,0
"7108",0,1,0,1,1,0,0
"6718",0,0,0,0,0,0,0
"8528",0,1,0,0,0,0,0
"6510",1,0,0,1,1,1,1
"50814",1,0,1,1,1,0,0
"3295",1,1,1,1,1,0,1
"6307",1,1,1,1,1,1,1
"6509",0,1,1,1,0,0,0
"1632",1,1,1,1,1,0,1
"56301",1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0
"10455",1,0,1,0,1,0,0
"490",1,1,0,1,1,1,1
"6520",1,1,1,1,1,1,1
"1633",1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1
"493",0,1,0,0,1,1,1
"6319",0,0,1,0,1,0,1
"9415",0,0,1,1,1,0,0
"491",0,0,0,0,0,0,0
"23464",0,0,1,1,1,0,0
"3992",1,0,1,0,1,0,0
"212",0,0,0,0,1,1,1
"8694",0,1,0,1,0,0,1
"847",1,1,1,1,1,1,1
"84649",0,1,0,1,0,1,1
"1716",1,1,1,1,1,1,1
"6546",0,0,0,0,0,0,0
"6547",1,0,0,1,1,1,1
"54407",1,1,1,1,1,1,1
