"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"HTRA4",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TM2D2",40,1,11,1,9,177,1,1,4,3,1,1,0,0,1,57,2,0,1,0,6,1
"ADAM9",65,0,4,0,7,156,0,0,0,0,0,7,0,0,0,103,2,0,2,0,3,2
"ADAM32",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"IDO1",1,0,11,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,11,0,6,0
"IDO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8orf4",5,0,5,0,129,458,0,0,1,1,1,20,0,0,0,467,9,0,0,0,92,0
"RP11-470M17.2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMAT4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFRP1",0,0,0,0,23,1655,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0
"GOLGA7",47,0,20,3,25,196,1,2,3,6,8,11,0,0,3,74,3,0,6,5,18,14
"GINS4",0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,0
"RP11-360L9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-360L9.7",4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"GPAT4",15,0,6,0,4,40,3,0,1,2,2,0,0,0,1,50,2,0,4,0,8,2
"ANK1",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,1
"RP11-930P14.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-930P14.2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KAT6A",22,0,3,0,2,56,1,1,7,4,2,0,3,0,3,62,1,0,3,2,10,1
"RP11-589C21.6",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0
"AP3M2",4,0,3,1,0,24,0,1,0,5,1,1,4,0,1,7,4,0,0,2,1,0
"PLAT",1,0,0,0,55,862,0,0,0,1,0,7,0,0,0,2,3,0,0,0,71,0
"RP11-231D20.2",1,0,4,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"IKBKB",22,1,7,0,8,41,1,2,2,1,0,1,1,0,0,36,0,0,4,2,5,2
"POLB",5,0,3,1,0,15,0,0,0,0,0,1,0,0,1,19,1,3,1,0,4,0
"VDAC3",58,1,27,1,33,341,2,5,7,9,5,23,0,2,2,368,8,0,4,4,11,16
"SLC20A2",4,0,1,0,2,19,0,2,0,0,0,1,0,0,0,39,0,0,0,1,2,6
"RP11-503E24.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SMIM19",38,1,21,1,13,335,6,1,9,7,3,7,1,0,5,233,2,0,4,1,10,7
"THAP1",8,1,4,0,5,51,2,1,2,5,2,1,0,1,0,20,1,1,2,0,1,8
"RNF170",13,0,3,0,8,96,0,1,4,1,2,0,0,0,0,48,1,1,1,1,1,0
"HOOK3",50,0,17,0,8,149,2,3,3,3,2,4,2,1,3,42,2,2,7,3,10,4
"FNTA",43,0,27,1,38,232,2,3,2,7,4,6,1,0,1,67,5,0,7,2,15,5
"POMK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGSNAT",34,1,16,0,10,134,0,1,1,3,1,2,0,0,1,67,2,0,6,1,3,4
"SPIDR",19,0,4,0,5,31,0,0,0,0,0,0,0,1,0,31,0,0,2,0,3,3
"CEBPD",247,0,109,0,17,1826,1,7,2,3,0,2,0,3,1,89,20,0,38,0,24,14
"PRKDC",33,0,8,1,8,137,3,2,3,3,2,3,1,1,3,146,3,0,2,1,5,7
"MCM4",3,0,0,0,0,17,0,0,1,0,0,0,0,0,0,57,0,0,1,0,0,1
"UBE2V2",52,2,23,0,18,223,3,2,5,7,6,14,1,0,3,206,3,0,9,2,10,9
"RP11-567J20.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026904.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-770E5.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFCAB1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNAI2",1,0,1,0,0,595,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,16
"PXDNL",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCMTD1",42,0,19,3,5,208,1,3,3,2,1,7,0,1,0,67,4,4,5,0,20,5
