"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"OPA1",11,2,6,8,1,1,1,2,18,3,1,0,1,1,26,13,5,2,9,19,1,1,0,2,1,0,1,12,10,46,18,2
"RP11-135A1.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"HES1",53,59,2,7,0,0,0,23,100,2,0,0,5,4,20,5,3,0,10,5,0,0,0,0,16,4,0,4,4,355,309,48
"LINC00887",0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,4,0
"CPN2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC15",0,18,0,0,0,0,0,4,12,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"GP5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP13A3",20,7,3,6,1,1,3,4,20,2,0,0,2,0,21,7,4,2,3,9,1,0,0,1,1,0,5,12,17,41,38,1
"LINC00884",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,1
"TMEM44-AS1",2,0,0,1,0,0,1,0,5,0,0,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,0,3,1,4,2,0
"TMEM44",1,0,1,1,0,1,0,0,12,1,0,0,1,3,2,1,1,0,0,1,0,2,0,0,0,0,0,1,0,30,23,0
"AC046143.3",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP11-534C12.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"LSG1",5,3,6,2,2,0,0,0,28,3,2,0,2,1,21,9,10,0,12,13,2,0,0,1,3,0,0,7,8,20,23,3
"FAM43A",6,13,3,4,7,0,2,2,79,18,0,2,26,2,63,24,5,0,36,12,1,2,0,0,12,3,0,18,37,15,89,1
"AC090505.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XXYLT1",6,5,0,9,0,1,1,1,13,9,0,0,2,0,6,3,0,0,1,2,0,0,0,0,4,0,0,1,3,5,13,1
"XXYLT1-AS2",0,0,0,0,0,1,0,0,5,10,0,0,2,0,4,1,0,0,0,3,0,0,0,0,0,0,0,1,13,0,1,0
"ACAP2",24,20,8,16,7,2,8,4,83,10,1,1,1,4,69,33,20,5,35,39,3,0,0,5,7,1,4,59,34,57,80,8
"PPP1R2",43,23,78,33,27,13,23,5,95,54,9,2,40,7,207,209,114,7,96,286,21,6,7,6,14,3,5,75,150,109,65,14
"AC091633.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"APOD",7,37,4,0,1,0,1,2,4144,3,0,0,21,1,14,3,4,0,2,3,0,0,1,0,4,0,0,4,2,69,46,1
"AC069513.4",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
