"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"AC093673.5",16,16,8,4,12,0,1,1,11,1,1,1,1,0,2,10,11,3,0,7,0,1,2,1,2,0,2,0,10,25,15,1
"ZYX",207,110,14,49,25,8,11,0,66,9,4,0,2,1,34,39,33,13,5,29,1,2,1,2,39,1,13,12,36,119,159,31
"EPHA1",0,1,5,0,3,2,0,0,1,1,0,0,0,0,1,6,10,0,0,11,1,0,1,0,0,0,0,0,2,17,0,0
"EPHA1-AS1",8,2,6,1,1,2,3,0,2,1,2,0,0,0,1,12,19,0,0,13,4,0,0,0,0,0,1,0,4,5,7,0
"TCAF2",2,1,0,0,2,0,1,0,1,3,0,0,0,0,4,3,5,0,0,6,0,0,0,0,0,0,0,0,10,2,2,1
"TCAF1",18,72,3,5,2,0,3,2,38,4,0,0,3,0,9,3,9,2,0,9,1,0,1,2,8,0,0,1,16,41,54,3
"ARHGEF35",0,8,0,0,2,0,0,0,4,2,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,2,53,3,0
"RP4-545C24.1",1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,2,0
"OR2A1-AS1",2,4,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,4,9,10,0
"ARHGEF5",2,4,1,0,0,0,1,0,6,1,1,0,0,0,1,2,3,1,1,4,0,0,0,0,2,0,0,0,5,30,0,0
"TPK1",17,6,1,6,4,0,3,0,7,5,0,0,1,0,15,6,2,0,4,14,0,2,0,0,0,0,1,0,18,11,13,1
"CNTNAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP5-1136G13.2",2,6,0,1,1,0,0,0,6,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,2,0,4,6,0
