"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MAVS",16,8,4,2,1,3,0,3,0,2,1,0,5,8,4,0,8,0,0,0,3,2,4,2,0,0,0,0,6,359,11
"RP11-119B16.2",2,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,3,0,1,0,1,0,2,1,0,0,0,0,4,59,5
"PANK2",31,8,3,6,0,4,3,3,3,12,1,0,9,28,10,0,18,2,1,1,0,3,11,5,6,3,2,6,24,344,32
"RP4-681N20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF24",4,26,0,5,3,0,3,5,1,3,0,1,0,18,5,2,6,1,3,2,0,0,20,0,5,0,1,0,6,195,15
"SMOX",36,6,1,6,0,0,0,1,0,1,1,0,1,6,0,0,1,0,1,0,0,1,3,1,6,2,0,0,1,364,23
"LINC01433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ADRA1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRNP",160,56,9,21,17,2,7,20,6,30,7,11,66,112,15,30,82,2,11,15,0,5,9,14,27,7,4,3,64,437,21
"PRND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
"RASSF2",48,4,4,11,3,2,1,1,0,1,0,0,16,17,6,7,7,0,1,3,0,20,0,1,11,3,2,0,5,3,16
"SLC23A2",22,2,1,4,0,2,1,2,0,1,0,0,3,8,2,1,3,0,0,0,1,1,3,2,0,2,0,0,2,15,11
"RP5-1116H23.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP5-1116H23.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP5-1116H23.3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TMEM230",248,78,41,59,22,18,16,16,24,57,6,4,67,228,51,23,105,5,16,15,17,16,83,111,40,8,11,18,116,2671,141
"PCNA",228,36,24,20,21,18,12,4,13,37,0,1,24,88,36,9,56,3,8,10,5,3,42,19,11,14,19,50,51,2332,68
"CDS2",37,21,12,6,3,6,4,2,3,6,0,0,11,45,12,7,17,1,3,5,1,1,20,16,3,3,2,2,20,265,32
"LINC00654",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0
"RP5-1022P6.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GPCPD1",107,4,11,34,1,5,10,1,14,5,0,1,8,63,14,9,63,2,3,7,0,3,6,2,23,1,1,2,34,195,22
"C20orf196",17,1,1,6,1,1,3,0,3,3,0,0,4,30,6,4,6,0,2,1,0,0,2,3,2,10,3,2,14,232,9
"CHGB",0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TRMT6",16,3,6,11,4,4,2,0,1,6,0,0,4,30,7,3,24,0,3,2,0,0,8,7,10,3,0,1,16,403,10
"MCM8",3,2,1,0,0,0,0,0,0,2,0,0,2,5,0,0,1,0,0,1,0,0,1,0,1,3,0,1,2,82,3
"RP5-967N21.11",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"CRLS1",40,13,10,7,5,3,5,2,1,6,0,0,10,46,15,2,29,1,4,7,9,2,14,13,8,4,0,2,17,1188,22
"LRRN4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP5-1056H1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"FERMT1",6,2,0,2,1,0,0,0,1,0,0,0,0,3,1,0,4,1,2,0,4,0,0,2,0,0,0,0,1,1476,4
"BMP2",1,6,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,30,22
"TMX4",37,16,18,13,11,8,10,2,5,34,1,3,35,81,27,6,35,2,5,9,3,0,11,11,7,0,2,10,36,289,38
"PLCB1",1,0,1,0,0,0,0,0,0,0,0,0,2,4,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,219,75
"PLCB4",1,0,0,1,1,0,1,0,0,1,0,0,1,2,0,0,2,0,0,0,1,0,2,1,0,0,1,0,2,634,14
"LAMP5",4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0
"RP5-839B4.8",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKEF1",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2
"SNAP25",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"MKKS",91,45,3,33,6,4,3,5,5,7,0,3,17,48,5,5,27,0,3,2,2,8,44,23,20,6,2,3,36,1924,58
"SLX4IP",3,0,1,3,1,0,0,0,0,2,0,0,4,3,2,0,2,0,1,0,1,0,3,2,1,0,1,0,5,115,5
"JAG1",6,5,0,1,1,0,0,2,1,0,0,1,0,2,2,0,0,0,0,0,2,4,65,0,4,0,0,0,1,300,59
"RP11-103J8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"RP1-278O22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1
"RP11-103J8.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-268G13.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0
"BTBD3",4,3,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,96,26
"SPTLC3",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ISM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TASP1",4,0,2,1,0,2,0,1,1,4,2,1,1,14,4,1,7,0,0,0,0,3,2,1,0,0,0,0,3,140,5
"ESF1",36,23,12,10,4,4,4,4,4,19,2,2,27,42,18,13,33,2,2,7,1,5,18,15,11,3,1,3,28,835,40
"NDUFAF5",4,3,3,2,1,0,2,1,1,7,0,1,3,5,6,0,6,0,0,0,0,0,5,2,1,0,1,0,5,196,4
"MACROD2",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,14,0
"FLRT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"KIF16B",10,7,1,2,0,0,2,1,0,1,1,0,2,12,3,0,0,0,0,0,2,0,2,2,2,0,0,0,5,250,9
"AL049794.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"RP4-777L9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SNRPB2",192,56,47,36,31,25,22,12,17,58,3,1,55,227,58,21,131,3,14,15,6,15,58,52,35,16,10,16,162,3367,117
"BFSP1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2
"DSTN",157,248,21,24,10,7,9,38,8,32,1,0,26,120,28,3,76,5,17,9,26,46,319,89,15,5,4,8,54,7501,397
"RRBP1",132,137,6,20,4,2,2,29,2,9,0,2,6,23,13,3,12,1,4,1,24,25,62,67,13,1,1,1,16,2427,160
"BANF2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SNX5",115,18,6,18,5,8,4,5,2,7,2,1,16,38,9,6,15,0,2,5,5,7,16,17,11,4,4,2,31,1336,42
"OVOL2",1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,0
"MGME1",21,12,1,2,4,2,3,2,1,2,1,0,6,13,3,1,3,2,0,1,0,3,9,10,2,2,1,1,17,241,11
"PET117",17,2,1,0,0,0,0,3,3,4,0,0,1,12,2,1,5,1,1,0,0,0,8,5,1,0,2,1,1,442,7
"CSRP2BP",5,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,70,3
"ZNF133",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,59,2
"DZANK1",0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,16,1
"POLR3F",3,3,2,0,2,0,0,0,0,2,0,0,0,14,1,2,5,0,1,1,1,2,5,3,1,1,2,0,8,128,9
"RBBP9",5,1,0,1,1,0,0,1,0,3,0,0,2,8,1,2,3,0,2,0,0,0,1,1,1,0,2,0,5,54,7
"SEC23B",54,5,7,11,4,2,3,1,1,10,1,4,14,38,6,1,21,2,5,2,1,13,9,21,7,1,0,4,27,297,11
"LINC00493",136,44,20,28,5,8,10,11,12,14,1,0,33,107,26,13,53,1,8,11,10,20,39,34,17,9,1,3,68,2787,79
"DTD1",47,14,5,10,9,3,1,2,2,8,0,2,5,33,14,1,13,1,4,4,1,0,15,1,3,2,2,1,16,1033,52
"LINC00652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP5-1068E13.7",1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,9,0
"SLC24A3",0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP1-122P22.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
"RP5-999L4.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIN2",28,26,0,4,0,0,1,2,0,0,0,0,1,1,1,0,1,0,0,0,2,1,4,0,7,0,0,0,1,214,24
"NAA20",172,38,12,19,5,6,5,5,4,16,1,4,14,57,21,1,30,4,4,6,2,6,29,35,11,2,4,1,42,1980,69
"CRNKL1",22,7,3,0,2,3,1,0,2,10,0,0,4,29,4,1,9,0,1,2,0,4,6,12,2,2,1,1,7,271,11
"CFAP61",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RALGAPA2",7,1,2,2,0,1,0,1,0,1,0,0,2,8,3,2,5,0,1,1,1,2,1,1,0,0,0,0,6,193,39
"KIZ",4,3,4,0,1,2,1,0,1,1,0,0,3,7,0,0,7,0,0,0,0,0,2,2,1,0,1,0,4,103,5
"KIZ-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1
"RP1-198K11.5",5,0,1,1,0,1,0,0,0,1,0,0,2,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,48,3
"XRN2",160,30,26,40,13,9,8,6,9,27,4,0,35,134,36,11,72,2,9,8,3,9,51,32,26,1,4,9,73,2077,92
"NKX2-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP1-167O22.1",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"LINC00261",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,46,0
"FOXA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,312,0
"THBD",200,16,0,45,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,74,4,5,36,0,0,0,0,2,142
