"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-44F21.5",0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0
"RP11-542G1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RCHY1",1,3,2,3,4,45,12,5,18,18,6,0,12,14,1,1,5,33,0,0,2,2,47,1
"THAP6",0,3,0,0,2,26,3,0,6,9,2,0,1,3,0,2,0,2,1,0,0,0,6,1
"C4orf26",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CDKL2",0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0
"G3BP2",6,25,2,7,13,76,132,14,96,283,113,1,42,109,11,17,46,88,5,4,12,35,86,5
"USO1",2,3,1,0,8,86,12,8,9,25,10,3,4,4,1,3,1,43,0,2,4,4,59,6
"RP11-556N4.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PPEF2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAAA",8,2,4,0,2,75,6,3,21,32,10,1,8,17,2,1,2,23,0,1,0,1,25,5
"SDAD1",1,2,0,1,8,43,8,5,17,14,10,0,9,13,2,2,1,22,0,1,1,1,44,4
"CXCL9",1,0,0,0,7,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ART3",0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL10",3,0,0,0,0,58,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,0
"CXCL11",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUP54",0,1,1,0,7,49,7,3,14,19,6,2,11,13,1,0,0,23,3,0,0,4,28,2
"SCARB2",2,1,2,0,33,265,6,15,5,5,2,12,1,4,0,0,3,46,3,1,0,0,119,10
"FAM47E",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"STBD1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SHROOM3",0,0,1,0,1,7,3,0,0,1,0,3,0,0,0,0,1,114,0,0,1,0,1,0
"SEPT11",2,3,0,0,10,320,22,7,5,34,17,7,4,1,1,0,4,83,4,0,0,0,97,8
"CCNI",12,53,24,25,88,1571,208,59,374,611,196,68,196,277,14,21,60,262,28,14,81,86,555,125
"CCNG2",1,1,0,0,9,79,2,4,5,11,0,2,3,0,0,0,1,8,2,1,3,2,18,4
"CXCL13",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNOT6L",0,40,1,25,4,37,117,7,61,263,107,0,42,185,10,14,31,15,1,4,0,27,143,5
"MRPL1",1,8,0,4,4,63,22,6,25,75,22,2,9,64,5,0,11,62,1,1,4,14,52,3
"FRAS1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANXA3",0,0,0,0,17,5,0,4,0,0,0,1,0,1,0,0,0,34,0,0,0,0,14,0
"RP11-109G23.3",0,0,0,0,3,31,1,2,3,1,0,3,5,2,0,1,0,3,0,0,0,0,11,1
"BMP2K",0,0,1,0,1,12,0,10,6,1,0,0,2,2,0,0,0,17,0,0,1,0,21,0
"PAQR3",0,0,0,0,2,6,2,0,2,4,3,1,1,2,0,1,1,5,0,0,0,0,7,0
"LINC01088",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"RP11-234K19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANTXR2",0,3,2,1,20,169,1,6,9,18,2,3,4,3,1,0,1,10,0,2,0,1,8,2
"PRDM8",1,0,2,0,4,16,0,6,2,2,0,0,2,1,0,0,0,0,0,0,0,3,2,0
"BMP3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0
"PRKG2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RASGEF1B",3,6,2,1,2,7,16,0,56,44,13,0,25,11,1,6,5,5,0,4,4,3,2,1
"RP11-127B20.2",0,1,0,0,0,5,1,0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,3,0
