"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498"
"9962",0,1,0,1,1
"80150",1,0,0,0,1
"440",0,1,0,1,0
"790",1,1,1,1,1
"6505",0,1,0,0,1
"6512",0,1,0,0,1
"6511",0,0,0,0,0
"6507",1,0,0,0,0
"6506",0,1,0,1,1
"9296",1,1,1,1,1
"51606",1,1,1,1,1
"533",1,1,1,1,1
"90423",1,0,0,0,1
"528",1,1,0,1,1
"525",0,0,0,0,0
"10312",1,1,1,1,1
"127124",0,0,1,0,0
"245973",0,1,1,1,0
"50617",1,0,0,0,0
"9114",1,1,1,0,1
"23545",0,1,1,1,0
"8992",1,1,1,1,1
"535",1,0,1,0,0
"527",0,1,0,0,1
"526",1,1,1,1,1
"523",1,1,1,1,1
"529",1,1,1,1,1
"9550",1,1,1,1,1
"51382",1,0,1,0,1
"245972",0,0,0,0,0
"957",0,1,0,0,1
"956",1,0,1,1,0
"955",1,1,1,1,1
"953",1,0,0,0,1
"954",0,0,0,0,0
"377841",0,1,0,0,0
"293",1,1,1,1,1
"291",0,1,1,0,1
"292",1,1,1,1,1
"4126",1,0,1,0,0
"8706",0,1,0,0,1
"10317",0,0,0,0,0
"84002",1,0,1,0,0
"3141",0,1,0,1,1
"140679",0,1,1,1,1
"8424",0,0,0,0,0
"53630",0,0,0,0,0
"635",0,0,0,0,0
"23743",0,0,0,0,0
"10599",0,0,0,0,0
"1244",1,0,1,0,0
"8714",1,0,0,1,0
"28234",0,0,0,0,0
"645",1,0,0,0,1
"644",1,0,0,1,1
"9488",0,1,1,0,1
"10380",1,0,0,0,1
"686",1,0,1,0,0
"8884",1,1,1,1,1
"80704",0,0,0,0,0
"51733",0,1,0,1,1
"7108",1,0,0,0,1
"50814",1,0,1,0,1
"3295",1,0,0,1,1
"6307",1,1,0,1,1
"493",1,1,1,1,1
"492",0,0,0,0,0
"491",0,0,0,0,0
"490",1,1,1,1,1
"847",1,1,1,1,1
"6543",0,0,0,0,0
"6547",0,0,0,0,0
"6546",1,0,0,0,0
"166785",1,0,0,1,0
"2538",0,0,0,0,0
"92579",1,0,0,0,1
"1373",1,0,0,1,0
"873",1,0,0,0,1
"10423",1,1,1,1,0
"8760",1,1,1,1,1
"1040",0,1,1,0,0
"56994",0,1,1,1,0
"10390",1,1,1,1,1
"64781",1,1,1,1,1
"10087",1,0,0,1,0
"6565",1,0,0,1,0
"9023",1,0,1,0,1
"1103",0,0,0,0,0
"162466",0,1,0,1,1
"9468",0,0,0,0,0
"5130",1,1,1,1,0
"6579",1,0,0,0,0
"6555",0,0,0,0,0
"6554",1,0,0,0,1
"55349",1,0,0,0,1
"1120",1,0,0,1,0
"1119",0,1,0,1,1
"60482",0,0,0,0,0
"6582",0,0,0,0,0
"6584",1,0,0,1,0
"6820",0,1,0,1,1
"10948",1,1,1,1,1
"19",0,1,1,0,0
"1118",0,0,0,0,0
"27159",0,0,0,0,0
"54682",0,1,0,0,1
