"","GSM1209561","GSM1209562","GSM1209563","GSM2460434","GSM2460438","GSM2460442","GSM2460446","GSM2460450","GSM2460454","GSM2607420","GSM2607421","GSM2607422","GSM2607423","GSM2607424","GSM2607425"
"4715",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51079",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4714",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4720",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4712",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"4722",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4704",0,1,0,0,1,1,1,1,1,1,1,1,0,0,0
"4694",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4702",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"4709",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4725",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4710",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4697",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4726",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4716",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"374291",0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
"1345",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1340",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4514",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4513",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1351",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1349",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1346",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1347",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9377",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1337",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4512",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1350",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9167",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"125965",1,1,0,1,1,1,0,0,0,1,1,0,1,0,1
"1339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84701",0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
"4363",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"146712",1,0,1,1,0,1,0,0,1,1,1,1,0,1,0
"10554",0,1,0,1,0,0,1,1,1,1,1,0,1,0,1
"240",1,0,1,0,1,0,0,0,1,1,1,1,0,1,0
"534",1,0,1,1,1,1,0,0,0,0,1,0,1,0,1
"8705",1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
"570",0,1,1,0,1,1,1,1,0,0,1,1,1,0,0
"622",0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
"57818",1,1,0,1,1,1,0,0,1,1,0,0,1,1,0
"8647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124935",1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
"6531",0,1,1,1,1,1,0,0,1,1,0,1,1,0,0
"11000",0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
"4758",1,0,1,0,0,1,0,1,1,0,1,0,0,1,1
"2618",0,1,1,0,0,1,1,1,1,1,1,1,0,0,0
"2629",1,1,0,0,1,0,1,0,1,1,1,0,0,0,0
"7264",0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
"284098",1,0,1,0,0,1,1,1,1,1,0,1,0,0,0
"3163",0,1,0,0,0,0,1,0,1,1,1,1,0,0,0
"7923",0,1,0,1,0,0,1,1,0,1,1,0,0,1,0
"10723",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"201288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1589",0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
"9651",1,0,1,1,1,0,0,0,0,1,1,0,1,1,0
"8396",0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
"8399",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
"64711",1,0,1,1,1,1,0,0,0,1,1,1,1,0,0
"7366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9374",1,1,0,0,1,0,0,1,1,1,1,1,1,0,0
"93100",0,0,1,1,1,0,1,0,1,0,1,0,0,1,0
"55229",1,0,1,0,0,0,1,1,1,0,1,0,1,1,0
"26063",0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
"2880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65263",1,0,1,0,1,1,0,0,0,1,1,1,0,0,1
"8781",0,0,1,1,1,1,0,0,1,0,0,1,1,1,1
"31",0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
"55750",0,1,0,0,1,0,1,1,1,0,1,1,0,0,1
"8644",1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
"1066",1,0,1,1,0,1,0,0,0,0,1,1,0,1,0
"5446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4905",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"4700",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4696",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"341947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
