"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated","ImmProt_T8.EM_01","ImmProt_T8.EM_02","ImmProt_T8.EM_03","ImmProt_T8.EM_04","ImmProt_T8.EM_01_activated","ImmProt_T8.EM_02_activated","ImmProt_T8.EM_03_activated","ImmProt_T8.EM_04_activated"
"94005",0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
"27115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128869",0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0
"51477",1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"10026",0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1
"5138",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"51604",1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
"3631",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"5139",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"8821",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2595",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"84693",0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
"8733",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"5136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4594",1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0
"3028",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4507",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6521",0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0
"83697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10797",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"56913",0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
"443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91703",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"6522",0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1
"6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
