"","x"
"27087",1
"4758",3
"80270",0
"57026",0
"5476",3
"135152",0
"2588",1
"26229",3
"2581",0
"4669",0
"3421",3
"2583",0
"55454",1
"3420",3
"3340",0
"8509",1
"9348",0
"55790",1
"64579",0
"3419",1
"79586",0
"3417",0
"2137",1
"3418",3
"22856",3
"337876",0
"7173",0
"2135",1
"2134",0
"55568",1
"56606",0
"2590",1
"154091",0
"3425",0
"2591",0
"144195",1
"11182",0
"114805",0
"6523",0
"587",0
"8693",0
"63917",3
"50614",0
"8501",1
"2589",3
"178",3
"51809",1
"55586",0
"114134",0
"117248",0
"11227",0
"6526",1
"11226",0
"79695",0
"79623",0
"3422",3
"91734",0
"26290",0
"81031",0
"126792",0
"5837",0
"5836",0
"5834",3
"160728",0
"8801",3
"11285",0
"8802",1
"2729",1
"8972",0
"2618",1
"2730",1
"8803",1
"10723",3
"9990",0
"2746",3
"6560",0
"2747",0
"5019",3
"10841",1
"57468",0
"3795",0
"1629",1
"27165",0
"594",1
"2744",1
"8564",0
"3938",0
"593",1
"26873",1
"79751",0
"83733",0
"4942",3
"2639",1
"53",0
"3931",1
"7372",3
"57084",0
"1811",0
"246213",0
"57030",1
"387775",0
"10861",1
"1836",0
"124637",0
"51179",0
"54363",0
"366",0
"1583",0
"2628",0
"1584",0
"1585",0
"11283",0
"9380",3
"1586",0
"2713",0
"4047",0
"1588",0
"29124",0
"5321",0
"2710",0
"1576",1
"2712",0
"1178",0
"51268",0
"1056",0
"3029",3
"6536",0
"1589",0
"1593",0
"3990",1
"1548",1
"80339",0
"4023",1
"5226",1
"1553",0
"11343",1
"1562",0
"27232",0
"1558",0
"57678",0
"50487",0
"284098",0
"1559",0
"93183",0
"9227",0
"1565",0
"54965",1
"1572",0
"51302",0
"2936",3
"6309",1
"64816",0
"4048",3
"1577",0
"4056",0
"5052",3
"7001",3
"1551",0
"4259",1
"10858",0
"2876",3
"66002",0
"8529",0
"2879",3
"4258",1
"4051",0
"9420",0
"1582",0
"2877",1
"5831",0
"2878",0
"2954",0
"257202",1
"2882",3
"5048",3
"2548",1
"10935",1
"5051",1
"5050",1
"2937",3
"5049",1
"64087",1
"7941",0
"56922",1
"23417",0
"2678",0
"347734",3
"57194",1
"5337",0
"4357",3
"5338",1
"2679",0
"4190",3
"130013",0
"4191",3
"4200",0
"4881",0
"5091",0
"4882",0
"2984",0
"2974",0
"2982",0
"2986",0
"4199",0
"10873",0
"3620",0
"2983",0
"3000",0
"1557",0
"1545",0
"5244",0
"2977",0
"1543",1
"1544",0
"9615",0
"4144",1
"4143",0
"5150",0
"27430",3
"4548",3
"763",0
"5143",0
"11238",0
"4598",1
"5137",0
"3636",1
"5151",0
"23556",1
"55650",0
"3635",1
"3633",0
"8867",0
"5140",1
"27124",0
"53905",0
"50506",0
"5142",0
"343",0
"5281",0
"3632",0
"10846",0
"84720",0
"56623",1
"5141",1
"8622",0
"3628",3
"3707",3
"80235",0
"5144",1
"3706",0
"5153",0
"80271",0
"94005",3
"27115",0
"128869",3
"51477",0
"10026",1
"5138",0
"51604",1
"3631",1
"5139",0
"8821",1
"50940",0
"2595",0
"84693",1
"8733",3
"5136",0
"4594",1
"3028",3
"5152",1
"3033",1
"3037",0
"80168",0
"116255",0
"5146",0
"4507",1
"3038",0
"3036",0
"27235",0
"6521",0
"83697",0
"10797",3
"56913",1
"443",0
"91703",1
"6522",0
"6508",0
"5145",0
"4668",1
"9498",0
"57282",0
"6528",1
