Recon ID,Plasmax,Plasmax_v2,Plasmax_unconstrained,HPLM,HPLM_v2,HPLM_unconstrained,RPMI-1640,RPMI-1640_v2,RPMI-1640_unconstrained,All_unconstrained
phe_L[e],0.00283333,0.00283333,1000,0.00333333,0.00333333,1000,0.00379167,0.00379167,1000,1000
pi[e],0.04208333,1000,1000,0.03625,1000,1000,0.23475,1000,1000,1000
pnto_R[e],0.00035,0.00035,1000,0.0000875,0.0000875,1000,0.000043333,0.000043333,1000,1000
pro_L[e],0.015,0.015,1000,0.00833333,0.00833333,1000,0.00725,0.00725,1000,1000
pydxn[e],0.00020417,0.00020417,1000,0.00020417,0.00020417,1000,0.00020417,0.00020417,1000,1000
pyr[e],0.00416667,0.00416667,1000,0.00208333,0.00208333,1000,0,0,0,1000
ribflv[e],0.0000125,0.0000125,1000,0.000020833,0.000020833,1000,0.000022083,0.000022083,1000,1000
selni[e],0.0000012042,0.0000012042,1000,0,0,0,0,0,0,1000
ser_L[e],0.00583333,0.00583333,1000,0.00625,0.00625,1000,0.01191667,0.01191667,1000,1000
so4[e],0.03406872,0.03406872,1000,0.01458333,0.01458333,1000,0.01695833,0.01695833,1000,1000
succ[e],0.00095833,0.00095833,1000,0.00083333,0.00083333,1000,0,0,0,1000
taur[e],0.00541667,0.00541667,1000,0.00375,0.00375,1000,0,0,0,1000
thm[e],0.000125,0.000125,1000,0.000125,0.000125,1000,0.000125,0.000125,1000,1000
thr_L[e],0.01,0.01,1000,0.00583333,0.00583333,1000,0.007,0.007,1000,1000
trp_L[e],0.00325,0.00325,1000,0.0025,0.0025,1000,0.00104167,0.00104167,1000,1000
tyr_L[e],0.00308333,0.00308333,1000,0.00333333,0.00333333,1000,0.004625,0.004625,1000,1000
ura[e],0.000083333,0.000083333,1000,0,0,0,0,0,0,1000
urate[e],0.01125,0.01125,1000,0.01458333,0.01458333,1000,0,0,0,1000
urea[e],0.125,0.125,1000,0.20833333,0.20833333,1000,0,0,0,1000
uri[e],0.000125,0.000125,1000,0,0,0,0,0,0,1000
val_L[e],0.00958333,0.00958333,1000,0.00916667,0.00916667,1000,0.007125,0.007125,1000,1000
zn2[e],0.0000625,0.0000625,1000,0,0,0,0,0,0,1000
