"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"HTATSF1",7,18,3,1,10,6,0,0,9,1,5,2,3,9,7,0,4,1,1,2,1,0,6,4,7,25,595,4
"VGLL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD40LG",0,0,0,0,1,0,1,0,21,0,4,3,0,33,0,0,6,0,2,0,0,0,0,4,3,13,2,1
"ARHGEF6",11,5,1,1,12,1,0,0,5,2,4,2,4,9,7,0,1,1,4,4,4,0,3,5,6,26,2,3
"RP11-1114A5.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0
"RBMX",35,78,15,4,66,27,3,4,46,21,14,5,20,80,41,12,33,12,8,16,27,6,18,8,34,139,3253,33
"FGF13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"MCF2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP11C",7,6,0,1,4,1,0,0,0,0,0,0,5,1,1,0,0,1,0,0,1,1,3,0,0,3,79,13
"LINC00632",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDR1-AS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDOC1",0,11,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,1,3
"SLITRK4",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FMR1",5,12,1,0,4,2,1,2,3,2,0,0,1,5,2,0,2,0,0,2,3,0,2,3,0,8,249,5
"AFF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IDS",32,47,35,4,67,32,13,2,65,32,16,0,32,132,49,8,53,19,15,28,10,1,11,7,27,159,253,13
"AF011889.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC00893",0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,10,0
"CXorf40A",6,6,1,0,1,0,0,0,2,2,2,1,4,2,3,0,3,2,2,6,0,0,2,0,1,19,124,2
"TMEM185A",6,7,0,0,7,1,0,0,3,2,2,0,1,2,1,0,1,1,2,0,2,0,1,0,2,6,95,5
"CXorf40B",7,12,3,2,7,0,0,0,4,0,1,1,2,5,2,0,3,0,1,4,4,0,2,0,0,4,234,4
"LINC00894",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
"MAMLD1",2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MTM1",2,3,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,77,0
"MTMR1",0,2,2,1,0,0,0,0,3,0,1,0,2,1,2,1,0,0,0,1,0,1,0,0,3,3,78,0
"CD99L2",6,12,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,0,1,1,0,0,41,6
"HMGB3",17,21,0,2,8,2,1,1,7,1,3,0,1,8,2,0,0,2,1,2,4,1,10,11,9,8,1169,19
"VMA21",63,19,6,7,22,8,0,0,9,8,7,2,4,21,8,1,3,3,1,8,5,2,25,4,8,41,747,18
"PRRG3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FATE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"GABRE",0,10,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,325,5
"MAGEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CETN2",19,45,4,2,8,5,0,5,3,1,2,2,1,9,3,0,2,0,0,1,18,1,9,1,2,7,1141,22
"NSDHL",4,6,0,0,3,2,0,0,0,0,0,0,0,3,2,0,1,1,0,0,3,0,2,1,0,2,520,4
"ZNF185",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
"PNMA5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"PNMA6A",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-635O16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF275",0,3,1,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,1,2,1,0,0,0,4,76,0
"ZFP92",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAUS7",0,3,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,110,1
"U82695.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGN",0,889,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,289,0,1,0,0,0,21,54
"FAM58A",6,14,5,1,9,3,0,0,3,2,2,0,3,12,4,0,4,2,0,2,7,2,0,1,2,24,515,4
"RP11-66N11.8",0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,18,4
"DUSP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"PNCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SLC6A8",3,9,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,463,2
"BCAP31",132,68,8,20,40,18,2,3,21,4,8,1,10,33,19,5,11,9,4,10,22,2,31,1,9,79,3869,62
"ABCD1",11,2,0,1,1,0,0,0,2,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,36,0
"SRPK3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"IDH3G",41,41,6,12,19,6,3,2,17,5,10,3,9,30,11,3,6,1,2,9,23,1,19,5,10,60,1346,14
"SSR4",200,396,43,34,136,68,17,34,77,23,35,12,45,147,100,18,42,25,31,89,81,243,94,14,37,238,8536,148
"PDZD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"L1CAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0
