"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FO538757.2",2,0,1,0,0,9,35,4,0,0,4,4,17,5,4,3,2,0,1,4,22,1,2,0,2,8,0
"AP006222.2",1,0,1,0,0,5,31,1,1,1,1,0,3,2,3,1,1,0,0,1,10,3,0,0,0,13,0
"RP4-669L17.10",0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-206L10.9",0,0,1,0,0,2,4,2,0,0,1,1,1,2,0,0,1,0,2,1,5,0,0,0,0,1,2
"FAM87B",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"LINC00115",0,0,0,0,0,1,2,3,1,0,1,1,4,1,2,0,2,0,0,0,5,0,1,1,0,2,0
"FAM41C",0,1,0,0,0,0,3,2,0,0,0,3,2,1,0,0,1,0,1,1,7,0,1,0,0,2,0
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,1,14,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"SAMD11",0,0,0,0,0,2,128,0,0,0,0,0,0,0,28,0,0,1,0,0,1,0,1,0,0,0,0
"NOC2L",0,6,1,0,0,4,37,10,0,1,10,17,59,22,5,11,5,2,2,3,107,2,7,0,5,30,1
"KLHL17",0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"PLEKHN1",0,3,0,0,0,0,6,1,1,0,0,0,4,1,0,0,1,0,0,0,5,0,0,0,0,0,0
"PERM1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,3,0
"HES4",31,1,50,1,0,3,91,34,2,1,32,11,63,27,10,7,18,1,11,19,199,37,0,16,9,105,41
"ISG15",41,28,56,10,1,11,240,136,3,8,15,26,420,196,19,27,62,13,33,64,44,22,10,16,52,556,10
"AGRN",0,0,3,0,0,2,21,3,0,0,2,1,3,3,0,0,0,0,0,0,17,2,0,0,0,42,0
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"C1orf159",0,0,0,1,0,1,12,0,0,0,0,0,2,1,0,0,0,0,0,0,13,2,0,0,0,2,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
"TNFRSF18",1,0,3,0,0,0,4,18,2,0,9,3,117,7,0,3,9,0,12,6,5,0,14,0,32,3,0
"TNFRSF4",5,3,1,0,2,0,7,1,4,6,7,1,310,6,1,1,56,0,6,7,8,0,8,1,54,38,0
"SDF4",15,6,20,1,0,22,233,12,0,5,4,11,117,29,12,4,16,6,5,11,225,6,12,1,15,106,4
"B3GALT6",3,1,1,0,0,3,9,1,0,0,1,2,16,3,0,2,6,0,0,1,6,1,0,0,0,7,0
"FAM132A",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,11,1,0,0,0,14,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",2,1,6,1,0,11,49,10,1,2,3,10,50,27,5,4,7,1,3,2,65,3,7,0,3,27,2
"SCNN1D",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",2,0,2,0,0,1,21,4,0,0,2,1,13,6,2,0,2,0,1,4,15,0,1,1,0,9,1
"PUSL1",0,1,5,0,0,0,8,2,0,0,1,1,22,5,0,3,6,0,0,3,15,0,2,0,1,5,1
"CPSF3L",5,2,6,0,0,6,67,3,0,6,1,6,41,18,0,3,4,0,4,4,98,6,1,1,3,27,2
"CPTP",0,2,0,1,0,0,14,1,0,1,1,1,6,7,1,0,3,0,0,0,28,1,1,0,1,13,2
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"DVL1",2,0,0,0,0,2,5,0,0,0,1,0,1,0,1,0,0,0,0,0,20,2,1,0,0,5,0
"MXRA8",0,0,0,0,0,56,349,0,0,0,0,0,1,0,31,0,0,0,0,0,0,7,1,0,0,22,2
"AURKAIP1",19,10,26,1,0,23,138,25,6,5,16,24,92,65,10,20,12,5,7,10,448,3,20,5,10,82,8
"CCNL2",2,4,5,1,0,5,70,7,0,5,10,15,70,15,5,12,15,2,1,4,47,2,10,1,6,46,1
"MRPL20",18,7,17,5,0,21,121,26,4,10,13,39,139,53,3,18,21,3,3,13,280,13,17,5,9,56,9
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,1,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0
"VWA1",0,0,0,0,0,33,36,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1,1,0,0,138,0
"ATAD3C",0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,0,0,2,0
"ATAD3B",0,2,4,0,0,3,4,2,0,0,1,2,10,5,1,4,2,0,0,0,26,0,2,0,2,3,0
"ATAD3A",2,0,3,0,0,4,10,4,0,0,0,1,4,5,0,0,0,0,0,1,28,1,0,0,0,12,2
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",20,18,27,5,1,21,133,20,1,7,15,45,155,72,10,33,35,3,5,14,274,7,14,3,13,97,4
"RP5-832C2.5",0,0,1,0,0,0,5,0,0,0,0,0,3,5,1,0,4,0,4,0,6,0,1,1,1,5,0
"C1orf233",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345P4.9",1,0,4,0,0,6,18,1,0,0,0,1,6,1,0,1,1,0,0,1,10,0,0,0,1,5,0
"MIB2",2,2,6,1,0,4,30,2,1,4,0,6,31,8,2,2,1,0,2,5,67,2,1,0,2,21,2
"MMP23B",0,0,0,0,0,2,168,5,0,0,0,0,5,1,7,0,0,0,1,2,7,0,0,0,0,0,0
"CDK11B",1,4,2,0,0,5,29,14,2,0,7,23,61,26,5,22,8,1,3,6,55,3,6,0,3,26,1
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"SLC35E2B",2,1,1,1,1,4,59,2,0,3,3,6,22,12,5,0,5,3,2,2,36,1,4,0,2,16,1
"RP11-345P4.7",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",1,4,3,3,2,4,32,6,1,1,3,15,58,40,1,12,16,3,1,8,39,1,5,0,7,21,1
"SLC35E2",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"NADK",13,0,7,0,0,1,12,0,0,0,3,5,7,3,3,4,1,0,0,1,51,1,2,0,1,17,0
"GNB1",14,2,14,1,3,6,61,7,2,9,7,18,52,20,5,9,6,2,2,2,130,7,3,6,3,81,4
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TMEM52",0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,1
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1
"PRKCZ",0,0,2,1,0,1,13,1,0,4,0,3,12,5,2,3,1,1,0,0,40,0,0,0,1,9,0
"RP5-892K4.1",0,0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",17,3,16,1,0,8,123,10,1,3,7,14,45,32,10,14,9,1,3,8,90,7,5,1,5,63,5
"SKI",6,3,2,1,1,2,41,6,0,2,3,7,30,16,6,1,3,1,1,2,23,0,0,0,4,50,0
"MORN1",0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,2,1
"RER1",12,5,14,3,1,15,124,16,1,0,7,24,92,35,7,13,19,5,4,5,188,5,12,5,10,57,8
"PEX10",4,0,2,0,0,9,26,0,0,1,1,0,7,2,2,1,2,0,0,0,31,1,1,0,2,9,1
"PLCH2",0,0,0,1,0,0,3,1,0,0,0,4,6,3,0,7,1,0,1,1,3,0,0,0,1,0,0
"PANK4",0,1,0,0,0,2,8,1,0,2,0,0,3,0,0,0,1,0,1,0,9,0,0,0,0,1,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RP3-395M20.12",3,0,7,0,0,0,0,5,0,0,0,3,23,8,1,4,3,2,0,4,42,5,0,2,1,7,1
"RP3-395M20.8",2,0,1,2,0,3,1,0,0,0,2,2,4,2,0,0,2,0,0,1,18,1,2,1,0,5,0
"TNFRSF14",18,2,12,1,2,3,62,7,5,7,9,11,92,20,1,14,17,6,3,3,90,1,8,5,8,30,0
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,8,0,0,0,0,0,0
"FAM213B",2,0,0,1,0,3,10,0,1,2,0,1,10,0,0,0,1,0,0,1,49,0,2,0,0,8,0
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0
"TTC34",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"PRDM16",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARHGEF16",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0
"MEGF6",1,0,0,0,0,11,4,0,0,1,1,0,7,1,0,1,3,0,0,1,3,0,1,0,0,3,0
"RP11-46F15.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRG1L",0,0,0,0,0,4,12,1,0,1,0,2,9,4,1,0,0,1,1,0,32,0,1,0,1,11,0
"WRAP73",1,1,2,0,0,2,16,1,0,1,0,1,12,8,0,3,1,0,0,0,11,1,2,2,1,11,1
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"TP73-AS1",3,1,1,0,0,2,26,0,0,0,0,2,0,1,0,2,0,0,0,0,1,2,0,0,1,3,0
"SMIM1",0,0,1,0,0,1,20,0,0,0,0,0,3,3,0,2,0,0,0,1,3,0,3,0,0,2,0
"LRRC47",1,1,1,0,0,10,31,4,1,3,0,3,22,12,3,4,0,1,2,2,42,1,3,1,1,15,5
"CEP104",0,0,2,0,1,4,12,4,0,0,2,1,12,11,0,1,6,0,3,2,26,0,3,0,1,10,1
"DFFB",0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,0,6,0
"C1orf174",0,0,0,0,0,4,33,1,0,1,2,5,17,6,2,7,1,0,2,2,32,2,2,0,1,5,1
"NPHP4",1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,3,0
"KCNAB2",2,2,7,1,0,1,7,4,0,0,2,3,31,8,0,6,4,0,1,5,2,0,1,1,3,1,0
"RPL22",179,69,323,19,12,66,1717,180,25,91,200,501,1733,575,106,336,295,49,56,111,3163,45,128,40,115,580,46
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0
"RNF207",0,1,0,0,0,0,5,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,1,0,0,1,0
"ICMT",2,0,1,0,0,5,29,4,1,2,2,1,12,5,3,4,0,2,1,0,18,1,3,0,0,7,1
"GPR153",0,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"ACOT7",2,2,3,0,0,2,17,2,1,0,38,1,5,8,0,0,2,0,1,0,61,0,1,0,1,5,0
"RP1-202O8.3",0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0
"ESPN",0,1,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,28,0,0,0,0,1,0
"TNFRSF25",2,0,0,0,0,0,2,1,3,0,0,0,93,9,0,0,12,0,0,2,18,0,0,0,1,7,0
"PLEKHG5",7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,5,0
"NOL9",2,3,1,0,0,2,7,2,0,1,0,0,12,9,0,2,3,0,1,3,28,0,2,0,1,14,1
"TAS1R1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB48",0,1,1,0,1,3,14,1,0,0,1,1,3,1,2,1,1,0,0,2,10,1,0,0,0,5,0
"KLHL21",5,0,1,0,0,5,23,0,1,0,2,2,8,3,3,1,2,0,0,1,28,1,2,0,0,21,3
"PHF13",0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,1,1,0,3,1
"THAP3",1,0,1,0,1,1,17,2,0,0,0,1,4,2,0,1,1,0,1,0,16,0,1,0,1,1,0
"DNAJC11",2,1,1,0,1,0,3,0,0,0,0,2,4,2,0,0,0,0,1,2,24,0,0,0,0,4,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CAMTA1",17,5,19,0,0,30,114,6,2,6,10,14,44,21,14,9,9,2,0,3,226,9,9,0,0,138,14
"VAMP3",11,0,11,0,0,10,82,4,0,8,2,6,15,8,6,2,7,0,1,3,73,7,3,0,1,63,3
"PER3",0,0,0,0,0,6,23,0,0,0,0,0,5,2,2,1,0,0,0,0,1,2,0,0,0,11,0
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTS2",6,6,2,2,2,0,0,4,1,0,3,3,20,15,1,1,0,0,2,1,14,0,2,0,4,2,0
"TNFRSF9",1,5,1,4,0,0,1,43,0,0,18,0,17,3,0,0,2,0,2,24,1,0,0,0,16,0,0
"PARK7",46,19,66,10,5,51,493,57,3,19,29,53,270,103,37,33,42,6,12,38,454,19,29,8,23,177,25
"ERRFI1",0,0,0,0,0,3,201,8,0,5,1,2,17,2,9,0,2,0,1,0,323,7,0,0,0,30,9
"RP11-431K24.1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SLC45A1",0,0,0,0,0,0,5,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,5,0
"RERE",7,1,3,0,0,4,55,1,0,1,5,7,14,2,4,12,2,0,2,0,61,0,1,0,2,24,1
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENO1",67,30,123,14,5,66,330,80,12,17,54,77,522,193,24,48,56,21,25,38,598,14,9,12,40,171,16
"ENO1-AS1",0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,1
"SLC2A5",1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,3,0,1,0,0,0,0
"GPR157",3,0,23,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,6,0,3,0,0,3,0
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP3-510D11.2",0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"H6PD",1,0,3,0,0,6,31,3,0,1,0,3,3,3,1,0,0,0,0,1,16,0,1,0,0,18,1
"SPSB1",0,0,1,0,0,0,83,1,0,2,8,1,14,9,1,4,0,0,2,1,64,0,0,1,3,32,0
"SLC25A33",10,3,26,1,0,5,47,16,0,1,8,21,39,25,1,22,6,4,6,11,135,2,5,3,3,37,3
"TMEM201",1,0,0,0,0,2,7,2,0,0,1,3,2,1,0,1,0,0,0,1,6,0,0,0,0,1,0
"PIK3CD",0,1,1,1,0,3,1,3,0,0,1,4,14,6,0,1,5,2,0,0,0,0,0,0,1,0,0
"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0
"CLSTN1",1,1,1,1,1,15,71,5,3,0,3,4,38,12,5,2,7,1,0,3,69,3,3,1,3,31,1
"CTNNBIP1",8,2,10,0,0,1,23,2,0,2,1,1,14,7,1,2,4,0,1,1,53,2,0,0,0,38,2
"LZIC",3,1,3,1,0,4,52,2,0,1,2,2,20,11,0,2,0,0,1,0,46,0,2,1,0,14,1
"NMNAT1",2,0,0,0,0,1,6,1,0,1,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,2,0
"RBP7",1,0,1,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,282,0
"UBE4B",1,2,2,0,0,1,8,2,0,0,3,5,10,7,0,5,3,0,0,2,26,0,3,0,1,11,0
"KIF1B",23,2,9,1,0,10,29,1,0,1,1,5,13,4,2,1,1,1,0,0,35,1,2,1,1,22,1
"PGD",8,0,7,0,1,2,23,1,1,1,0,11,17,8,1,0,1,1,0,1,78,1,2,4,1,16,0
"RP4-736L20.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"APITD1",0,0,2,0,0,0,9,0,0,0,0,2,5,3,1,2,0,0,0,0,12,0,3,0,0,13,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"DFFA",1,0,1,0,0,5,41,3,0,4,1,7,15,7,3,3,0,0,2,5,38,1,2,0,1,38,1
"PEX14",1,0,1,0,2,1,9,0,0,1,0,1,5,1,0,1,1,0,1,0,12,1,0,0,2,3,1
"CASZ1",0,0,0,0,0,0,2,0,0,0,0,2,4,3,0,0,0,0,0,0,41,0,0,0,0,14,0
"TARDBP",1,3,2,1,1,5,49,7,0,4,5,11,17,6,2,3,2,1,5,4,67,2,4,0,2,29,6
"RP4-635E18.8",0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SRM",2,3,5,0,0,8,97,9,0,1,1,5,31,17,1,8,3,0,2,3,72,4,8,1,2,25,1
"EXOSC10",2,0,0,0,0,4,23,3,0,2,3,6,17,6,2,1,1,1,0,2,30,1,4,1,3,9,2
"RP4-635E18.7",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MTOR",0,0,1,1,2,4,13,1,0,0,0,0,4,2,1,1,2,0,0,1,12,0,1,0,0,5,0
"ANGPTL7",0,0,0,0,0,15,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",0,0,0,2,1,3,12,1,0,1,0,3,15,8,0,6,3,1,1,1,23,0,2,0,0,10,1
"PTCHD2",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",0,1,0,0,0,1,9,3,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"FBXO44",0,0,2,1,0,1,29,2,0,0,1,3,11,4,1,2,2,1,1,2,0,0,2,0,1,3,1
"FBXO6",2,1,4,0,0,2,12,1,0,0,2,3,5,4,0,1,1,0,0,3,10,0,2,0,0,7,0
"MAD2L2",1,1,5,2,0,4,31,3,1,4,0,3,21,19,3,1,2,0,2,4,8,2,1,4,1,27,1
"DRAXIN",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"AGTRAP",7,2,8,0,1,4,104,1,0,7,6,1,21,9,0,3,5,1,4,1,18,2,1,8,1,22,0
"C1orf167",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MTHFR",1,1,7,0,0,2,27,0,0,2,0,3,7,2,3,4,0,0,0,0,22,0,3,0,0,25,1
"CLCN6",3,0,3,0,0,2,5,0,0,1,0,2,7,0,1,0,0,0,0,0,6,0,1,0,0,4,0
"NPPA-AS1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA2013",2,0,5,0,0,1,35,1,0,1,0,5,7,8,0,2,3,0,0,0,72,4,2,0,0,17,0
"PLOD1",5,0,0,0,0,5,77,0,0,0,0,1,0,0,7,1,0,0,0,0,18,3,0,0,0,15,1
"MFN2",2,1,2,0,0,1,19,4,0,1,4,3,7,7,1,1,0,0,0,1,29,2,0,0,2,5,2
"MIIP",2,1,2,0,0,6,13,4,0,3,4,2,12,6,0,2,3,1,0,0,20,0,2,0,2,9,2
"TNFRSF8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"TNFRSF1B",22,14,49,7,3,0,17,53,3,0,1,23,234,127,2,16,25,9,16,20,7,0,1,13,32,23,0
"VPS13D",2,0,1,1,0,9,7,2,0,0,0,0,17,3,0,3,4,0,1,0,15,2,0,0,0,10,2
"DHRS3",4,0,4,0,0,28,43,4,0,5,0,1,29,2,1,0,7,0,1,2,38,0,0,0,1,47,3
"RP11-474O21.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PDPN",5,0,0,0,0,6,45,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRDM2",2,4,4,1,0,3,46,10,0,0,4,37,50,27,0,23,11,1,4,7,27,0,11,1,2,20,1
"RP11-344F13.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,0,0,0,0,0,22,1,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,26,0
"TMEM51-AS1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"TMEM51",4,0,1,0,0,0,19,0,0,1,0,0,0,0,1,1,0,0,0,0,43,1,0,0,0,6,9
"FHAD1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"EFHD2",23,3,22,3,0,2,29,3,0,1,8,6,49,18,2,4,4,2,7,8,134,2,1,6,1,27,0
"CTRC",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0
"CELA2A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP9",2,0,7,0,0,2,7,1,0,0,0,14,8,7,0,12,0,0,2,1,10,0,0,1,1,2,2
"DNAJC16",1,0,1,0,0,0,8,1,0,1,0,0,2,0,0,0,0,0,0,1,11,1,2,0,0,3,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AGMAT",0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,1,1,0,0,30,1,0,0,0,0,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DDI2",2,1,0,0,0,1,10,1,0,0,0,2,7,0,0,4,0,0,0,0,31,0,0,0,0,7,0
"PLEKHM2",3,0,3,0,0,2,14,1,0,0,2,5,4,1,0,1,2,0,0,1,22,1,0,2,0,20,1
"SLC25A34",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"FBLIM1",0,0,0,0,0,1,110,0,0,0,0,1,4,1,7,2,0,1,0,0,65,9,0,0,0,20,3
"UQCRHL",1,1,2,0,0,2,9,1,0,0,0,4,5,0,0,0,1,0,0,1,44,0,1,0,1,6,1
"FLJ37453",0,0,2,0,1,0,5,0,1,0,1,0,6,0,0,0,0,0,0,2,14,0,2,0,1,3,1
"SPEN",5,2,6,1,0,4,47,9,1,2,5,6,38,19,4,9,4,0,1,1,90,5,3,0,1,35,3
"ZBTB17",1,1,3,3,0,3,17,3,0,0,2,6,19,3,1,4,0,1,1,0,10,3,1,0,0,4,1
"HSPB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,2
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"EPHA2",2,0,0,0,0,0,4,1,0,5,0,1,4,3,0,2,0,0,0,2,355,2,3,0,0,20,1
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
