"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"BCL2L13",0,2,14,0,0,1,30,1,0,1,1,2,16,10,0,6,4,1,0,2,37,2,1,0,3,10,0
"BID",16,2,85,0,0,1,19,7,0,8,4,5,25,14,0,5,2,4,3,2,112,1,4,17,3,22,0
"LINC00528",0,0,6,0,0,0,1,0,0,0,0,1,2,3,0,0,2,0,0,0,1,0,3,0,0,2,0
"MICAL3",0,0,0,0,0,3,6,1,0,3,0,7,4,2,0,4,1,0,0,0,40,0,1,0,0,7,0
"XXbac-B476C20.9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0
"PEX26",1,2,2,0,1,1,10,0,0,1,2,2,11,10,0,2,1,0,0,1,28,0,0,2,0,11,2
"TUBA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC008079.10",0,0,0,0,0,2,1,2,0,0,2,0,5,2,0,2,1,0,0,0,2,3,0,0,1,2,0
"USP18",1,0,0,0,0,1,20,0,0,1,1,2,7,1,0,1,0,1,0,0,2,1,1,0,0,23,0
"AC011718.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"TMEM191B",3,0,2,0,0,0,9,2,0,0,0,7,11,0,0,0,2,0,2,1,16,0,2,0,0,2,0
"DGCR6",0,0,0,0,0,2,8,2,0,1,0,0,8,0,0,1,3,0,0,0,1,0,1,0,0,0,0
"PRODH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DGCR2",1,1,1,0,0,5,36,2,0,2,0,1,12,4,2,0,0,0,1,0,23,0,0,0,0,12,0
"DGCR14",0,1,3,0,0,0,11,2,0,0,1,1,6,4,1,0,0,0,2,1,9,0,0,0,1,5,1
"LINC01311",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SLC25A1",1,1,3,1,0,1,33,4,0,1,2,5,16,5,3,1,3,1,0,2,70,1,1,0,0,8,2
"CLTCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
"HIRA",0,0,1,0,0,0,5,0,0,0,0,2,0,1,0,3,1,0,0,0,16,0,1,0,0,3,0
"C22orf39",3,1,3,1,1,4,52,4,0,4,2,6,23,13,4,10,2,0,0,4,78,3,4,2,2,31,2
"MRPL40",7,3,3,0,1,10,74,7,0,4,6,6,16,8,2,7,3,1,0,3,88,2,6,0,0,26,3
"AC000068.5",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"UFD1L",9,3,9,2,1,8,76,16,1,6,5,5,61,31,5,11,11,3,4,9,93,7,9,1,7,49,4
"AC000068.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CDC45",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CLDN5",0,0,0,0,0,0,4,0,0,175,0,1,4,1,0,0,1,1,1,2,14,1,1,0,1,1037,0
"LINC00895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SEPT5",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TBX1",0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB1L",1,0,0,0,0,0,4,0,0,1,0,1,1,2,0,2,0,0,1,1,15,1,0,0,1,0,0
"C22orf29",0,0,0,0,0,1,2,1,0,0,1,0,5,1,0,0,1,0,0,0,6,0,0,0,1,3,0
"TXNRD2",1,1,3,0,0,12,17,1,0,0,0,3,6,1,0,1,0,0,0,0,23,0,1,0,1,4,1
"COMT",33,8,38,1,2,104,193,1,1,10,12,10,40,18,13,6,4,0,2,2,159,10,6,3,4,84,4
