"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"51146",0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0
"28",0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0
"206358",1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1
"6538",0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
"6540",0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1
"38",0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"30",0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
"32",0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0
"9197",1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
"64841",0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0
"9487",1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
"162417",1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1
"43",0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1
"6572",0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
