"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"USP40",2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,2,47,1
"HJURP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0
"ARL4C",129,7,13,24,22,17,12,29,8,48,8,12,209,43,0,42,12,9,0,9,3,0,7,5,74,89,9
"SH3BP4",3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,64,2
"AGAP1",0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,66,0
"IQCA1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"ACKR3",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,19
"COPS8",6,11,0,0,3,2,1,16,7,5,1,3,34,7,1,3,6,3,11,7,0,0,1,2,11,197,5
"AC112715.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL6A3",1,151,0,0,0,0,0,4,0,0,1,0,2,0,0,1,1,0,29,0,0,0,1,0,5,3,0
"AC112721.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"RAB17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,76,0
"AC104667.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LRRFIP1",73,18,9,19,13,15,4,30,16,35,24,25,185,42,8,57,24,14,17,13,14,1,9,3,65,553,32
"RBM44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RAMP1",2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
"UBE2F",47,6,3,7,4,4,0,4,7,7,5,5,20,10,3,4,11,2,4,15,4,1,1,1,8,206,12
"SCLY",1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,3,12,1
"ESPNL",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM132B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
"ILKAP",7,2,2,0,2,2,1,5,4,5,4,1,14,8,0,6,2,2,3,0,2,0,3,0,11,104,8
"HES6",2,3,1,0,0,0,0,1,2,0,1,0,1,0,0,0,3,1,1,1,1,1,2,4,3,412,1
"PER2",2,6,0,1,1,0,0,0,0,1,3,1,3,0,0,0,2,0,1,1,1,0,0,0,0,59,0
"TRAF3IP1",1,2,0,2,0,0,0,0,0,0,2,0,1,3,0,0,0,0,2,0,1,0,0,0,0,47,0
"ASB1",5,5,2,0,0,3,1,4,0,1,3,0,7,0,0,1,3,0,3,2,1,0,1,0,6,45,1
"TWIST2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HDAC4",2,0,1,1,0,1,0,5,0,0,1,0,5,0,0,0,2,1,0,0,0,0,0,0,3,12,2
"AC062017.1",1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,3,3,0,0,0,2,6,0
"AC093802.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NDUFA10",18,11,4,3,4,3,2,6,5,10,11,3,40,4,0,8,12,5,12,24,5,1,0,3,20,319,12
"MYEOV2",68,32,6,10,13,12,2,28,23,23,20,15,139,24,3,27,24,6,22,58,13,3,8,10,55,635,53
"GPC1",0,28,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,4,1,0,0,0,0,0,9,0
"ANKMY1",0,0,0,0,0,0,0,1,0,2,0,1,4,0,1,0,0,0,1,0,0,0,0,1,3,12,0
"DUSP28",3,2,0,1,0,0,1,1,0,0,1,2,8,1,1,1,2,0,1,5,0,0,1,0,4,16,0
"RNPEPL1",14,1,4,4,9,4,0,10,10,12,8,4,71,7,1,9,8,3,6,17,2,2,0,6,31,149,10
"CAPN10-AS1",0,0,1,0,0,0,0,1,0,1,0,0,3,1,1,2,0,0,0,5,0,1,0,0,1,16,0
"CAPN10",3,1,0,1,1,0,1,0,1,0,2,0,4,0,0,1,0,1,2,2,0,0,2,0,2,32,5
"GPR35",22,0,0,3,1,1,0,1,1,0,0,1,1,0,1,1,0,2,0,0,6,0,0,0,0,155,0
"AC011298.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"AGXT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"C2orf54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"SNED1",0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"AC093585.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MTERF4",4,2,3,1,1,3,2,14,3,7,1,6,35,4,3,7,6,3,3,11,2,0,2,0,24,50,4
"PASK",0,0,0,0,1,1,2,16,0,1,1,2,80,3,0,0,0,0,1,0,0,1,0,1,19,6,1
"PPP1R7",19,6,2,1,6,4,1,8,7,5,5,2,54,6,0,10,10,0,12,18,4,1,2,2,19,180,12
"ANO7",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
"HDLBP",40,24,2,2,2,1,1,5,10,9,8,4,37,3,0,5,10,2,11,53,4,1,0,4,17,356,13
"SEPT2",49,25,2,2,11,3,1,13,12,17,18,5,69,8,3,14,19,7,32,25,7,2,3,4,23,392,30
"FARP2",4,1,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,1,1,1,0,0,0,0,1,72,1
