"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",3,3,1,1,1,1,1,2,2,2,1,1,6,4,0,2,4,0,4,2,1,0,0,0,3,90,2
"AP006222.2",17,5,0,0,0,0,0,0,0,2,1,1,4,1,0,1,1,0,2,1,0,0,0,0,3,31,0
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-206L10.9",0,2,0,0,0,0,1,1,0,1,1,0,3,1,0,0,0,1,1,3,0,1,0,2,2,7,1
"LINC00115",1,1,0,0,2,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1
"FAM41C",2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,5,2
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"NOC2L",4,4,3,2,5,2,3,8,6,3,6,9,28,12,5,5,7,4,4,13,3,2,2,1,24,204,5
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"PLEKHN1",0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0
"RP11-54O7.17",3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1
"HES4",64,39,0,5,1,0,1,8,18,29,6,2,32,3,0,7,2,1,53,1,28,0,1,1,31,169,24
"ISG15",124,180,19,9,38,32,4,33,40,40,39,19,231,69,4,53,40,10,96,39,103,1,10,18,155,1215,127
"AGRN",4,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0,1,0,0,0,0,29,20
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"C1orf159",1,2,0,1,0,1,0,1,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,22,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,0
"TTLL10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,6,0
"TNFRSF18",7,7,1,0,14,0,4,64,91,30,146,0,108,5,0,14,189,40,1,6,7,1,7,15,173,8,3
"TNFRSF4",7,4,0,1,2,0,1,39,2,14,1,0,82,0,0,29,4,1,0,7,1,0,5,0,275,15,47
"SDF4",50,33,3,5,7,2,0,9,10,16,17,3,73,12,0,9,22,4,10,36,12,0,1,5,40,295,20
"B3GALT6",7,3,0,0,1,0,1,0,0,2,6,1,12,0,0,3,1,1,3,3,0,0,0,0,7,45,2
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,25,3
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UBE2J2",15,11,1,1,9,0,2,7,8,3,3,2,30,8,0,8,11,3,10,14,1,1,1,1,12,142,5
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ACAP3",3,4,1,0,1,0,0,1,1,2,0,1,3,1,0,3,0,5,3,2,1,0,0,1,4,22,3
"PUSL1",3,4,1,2,3,3,0,2,2,1,3,1,11,3,0,1,2,1,1,3,0,1,0,2,8,36,1
"CPSF3L",7,7,1,2,5,4,2,5,4,7,4,2,23,3,0,5,9,2,7,11,0,1,2,0,10,122,5
"CPTP",3,1,0,0,0,1,0,2,1,2,1,0,11,1,0,0,0,1,1,7,0,0,0,0,5,49,5
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DVL1",4,1,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,84,1
"MXRA8",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"AURKAIP1",69,30,6,11,10,6,2,28,14,22,21,9,105,24,6,19,18,8,29,77,13,3,8,5,60,920,28
"CCNL2",6,4,2,3,3,1,3,6,5,5,5,2,16,3,1,2,3,4,2,1,0,2,1,1,6,114,11
"MRPL20",53,19,6,5,4,7,3,21,13,12,11,17,79,9,2,15,21,4,16,63,9,3,3,2,30,617,28
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1
"ANKRD65",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,41,94
"ATAD3C",0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,14,7
"ATAD3B",1,0,2,1,0,1,0,0,2,1,0,1,7,0,1,2,3,0,2,4,0,0,0,1,2,70,3
"ATAD3A",3,4,1,0,1,1,0,2,2,1,1,1,7,3,0,3,0,0,5,7,4,0,0,1,5,106,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"SSU72",63,30,7,7,16,10,1,34,15,28,20,9,126,20,4,18,13,15,18,33,6,7,3,6,60,631,31
"RP5-832C2.5",3,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,1,2,1,1,0,0,0,0,1,8,0
"C1orf233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"RP11-345P4.9",1,0,0,1,0,0,0,2,0,1,1,1,4,1,0,2,1,0,0,2,0,0,1,1,0,11,0
"MIB2",3,1,1,0,1,4,0,5,3,0,4,2,17,7,0,2,2,1,3,6,1,1,3,1,8,77,6
"MMP23B",0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,8,0
"CDK11B",5,4,2,0,1,1,3,2,0,5,4,4,16,3,1,5,4,1,4,0,1,0,0,1,5,82,6
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SLC35E2B",3,6,0,0,1,1,0,3,5,5,1,0,23,1,3,2,0,0,6,1,1,0,0,0,5,94,5
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CDK11A",3,3,1,0,0,1,0,5,7,7,1,4,31,5,0,11,1,2,1,2,3,0,0,0,10,70,7
"SLC35E2",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"NADK",23,6,1,1,1,1,0,2,0,1,2,0,8,1,1,0,2,1,7,6,3,1,0,1,3,86,4
"GNB1",51,23,1,8,6,1,0,14,11,9,15,8,56,10,3,13,18,1,19,18,7,6,3,6,26,262,34
"RP1-140A9.1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
"PRKCZ",0,0,1,0,0,0,0,0,2,0,1,0,5,0,2,0,0,0,1,0,0,0,1,3,1,66,3
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"FAAP20",45,44,7,4,5,5,5,23,13,19,10,8,58,10,9,9,21,4,26,14,7,0,7,7,26,248,15
"SKI",6,6,0,0,3,1,2,2,8,3,10,4,20,4,0,4,1,3,7,1,1,0,1,0,3,47,14
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,7,0
"RER1",47,15,6,5,8,5,1,11,13,21,12,8,51,9,1,10,12,0,18,34,11,4,4,4,22,408,16
"PEX10",3,5,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,1,0,0,0,1,1,77,2
"PLCH2",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"PANK4",1,0,1,0,2,0,1,0,1,0,0,0,3,2,0,1,1,0,1,1,0,1,0,0,0,6,1
"RP3-395M20.12",16,1,1,2,3,1,0,2,1,2,0,0,14,1,1,7,4,3,7,1,2,1,0,0,3,12,1
"RP3-395M20.8",3,2,0,1,2,1,0,1,1,0,2,1,2,2,0,0,0,1,0,2,2,0,0,0,2,20,1
"TNFRSF14",76,22,4,1,9,5,2,13,2,13,3,20,74,21,3,14,3,2,12,25,6,1,2,2,46,195,10
"RP3-395M20.9",2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,0
"FAM213B",12,3,0,0,0,0,0,0,0,1,2,0,6,1,0,0,1,0,0,0,0,0,0,0,1,111,2
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,9,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TTC34",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-22L13.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,53,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MEGF6",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"TPRG1L",1,1,1,0,1,1,0,1,0,1,1,0,8,2,0,1,0,0,2,2,1,0,0,0,1,67,5
"WRAP73",3,1,0,0,0,0,1,5,0,0,4,3,8,0,0,2,2,1,3,4,0,0,0,1,5,52,3
"TP73",0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,7,0
"TP73-AS1",1,1,0,0,0,0,1,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,2,1,3
"SMIM1",0,1,0,0,0,0,0,1,1,0,2,1,2,1,0,1,2,0,1,1,0,0,0,0,3,9,0
"LRRC47",7,1,1,0,2,1,0,3,4,1,0,1,14,5,0,4,2,0,7,6,1,1,0,2,6,144,1
"CEP104",2,1,1,1,1,0,1,1,1,2,0,2,7,0,0,5,0,0,1,3,0,0,1,1,7,79,5
"DFFB",1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,24,0
"C1orf174",3,3,1,1,4,0,1,4,3,2,8,0,14,3,0,3,1,2,2,6,1,0,1,1,4,93,1
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AJAP1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
"KCNAB2",13,1,1,2,3,3,0,5,0,4,3,2,26,7,2,3,7,0,1,3,2,0,1,0,10,41,0
"RPL22",395,218,36,71,83,57,22,323,153,187,191,223,1058,164,92,343,231,60,107,346,96,58,31,36,537,7350,194
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RNF207",1,6,0,0,0,0,0,1,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,4,17,2
"ICMT",9,6,1,1,1,0,0,2,2,3,0,0,7,1,0,2,2,1,8,6,1,0,0,3,10,58,6
"GPR153",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0
"ACOT7",16,2,2,1,5,0,0,2,2,5,3,1,10,4,0,1,5,0,5,5,0,1,1,4,3,250,10
"RP1-202O8.3",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"HES2",0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26,0
"ESPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,116,0
"TNFRSF25",1,0,1,0,6,0,2,23,4,34,29,1,178,6,0,21,9,2,0,1,1,0,3,3,56,37,2
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,4
"NOL9",3,2,1,0,1,0,0,1,1,2,0,0,3,0,0,2,1,0,0,1,0,0,1,0,2,54,2
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ZBTB48",1,1,0,0,2,2,0,1,2,1,0,2,4,1,0,1,0,0,0,1,0,0,0,0,2,23,1
"KLHL21",18,6,0,1,0,1,0,0,0,2,1,2,8,1,0,2,1,0,2,2,0,0,1,0,4,80,5
"PHF13",2,4,0,0,1,2,0,2,1,2,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,18,0
"THAP3",3,2,3,0,2,0,0,0,0,1,1,0,5,0,0,0,1,0,2,1,0,0,0,0,0,14,3
"DNAJC11",1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,1,0,0,3,2,0,1,0,1,37,1
"RP11-312B8.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CAMTA1",50,22,3,9,1,3,2,10,4,9,7,7,31,11,4,9,6,4,20,18,3,3,1,1,14,453,36
"VAMP3",35,11,1,2,4,0,1,2,6,3,2,4,11,2,0,3,4,1,5,1,8,0,0,0,6,299,18
"PER3",5,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
"UTS2",17,0,3,2,8,2,0,13,11,7,10,4,47,16,0,14,14,3,0,0,3,0,4,7,37,51,0
"TNFRSF9",43,0,3,0,14,2,0,2,7,9,4,0,12,8,0,0,8,9,0,0,2,0,1,8,85,9,0
"PARK7",103,60,23,13,35,20,4,56,30,62,31,25,255,48,7,30,54,14,50,94,23,7,8,17,133,1031,36
"ERRFI1",9,41,0,0,0,0,0,5,1,2,2,2,9,3,1,2,3,2,1,0,3,0,1,1,9,449,3
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SLC45A1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"RERE",8,2,0,1,0,1,0,1,2,0,2,2,12,0,3,1,1,0,2,3,0,2,1,0,8,126,8
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENO1",173,34,9,45,36,20,8,42,47,89,56,14,289,49,2,52,99,14,41,67,36,3,12,20,128,1618,44
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"SLC2A5",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,4,0
"GPR157",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,36,0
"MIR34AHG",3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0
"RP3-510D11.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"H6PD",6,9,0,0,1,1,0,1,2,2,0,1,9,1,0,0,1,0,1,0,1,0,0,0,0,48,4
"SPSB1",1,21,3,0,0,1,0,2,0,3,1,0,8,0,0,0,1,1,7,2,2,0,0,0,1,69,10
"SLC25A33",16,5,3,5,6,1,0,5,9,2,12,3,26,7,2,5,9,3,1,7,8,0,2,0,7,213,5
"TMEM201",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,12,2
"PIK3CD",6,0,2,0,0,2,1,2,3,1,3,2,19,4,0,2,6,0,0,0,2,0,1,2,7,3,0
"PIK3CD-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,10,0
"CLSTN1",2,12,2,2,2,2,0,2,3,7,2,1,11,1,0,4,4,0,7,2,0,0,2,1,7,95,14
"CTNNBIP1",16,4,3,5,0,1,1,7,6,4,4,3,11,2,0,4,9,1,2,5,0,1,2,2,6,126,16
"LZIC",13,3,0,1,2,0,0,3,1,4,2,2,14,2,0,2,0,2,4,3,3,0,2,1,8,81,0
"NMNAT1",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,28,0
"RBP7",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,19
"UBE4B",1,2,0,1,2,0,0,3,2,0,2,1,18,4,2,2,0,3,2,3,2,1,1,2,10,50,9
"KIF1B",16,4,1,0,2,1,0,1,1,1,1,0,1,2,0,1,0,0,2,1,2,0,0,0,0,71,8
"PGD",35,1,0,5,1,1,0,2,2,6,4,1,11,3,0,1,2,2,2,5,12,0,1,2,1,103,4
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"APITD1",2,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,2,2,0,0,0,1,0,56,0
"DFFA",6,4,0,0,4,0,0,4,1,4,4,1,9,0,0,3,1,0,2,4,1,2,2,0,4,110,8
"PEX14",2,0,0,0,4,0,0,2,1,0,3,1,2,0,0,1,2,0,1,2,0,0,0,0,1,33,0
"CASZ1",0,0,1,0,2,1,0,1,0,0,0,1,1,0,0,2,1,1,1,0,0,0,0,1,2,60,2
"C1orf127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",18,6,1,1,4,0,1,6,1,10,4,6,24,5,2,5,4,1,9,12,4,2,4,1,15,235,6
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SRM",22,23,1,5,2,7,1,7,8,14,7,6,30,4,2,17,10,2,12,80,5,3,3,2,18,257,13
"EXOSC10",3,3,0,1,2,1,0,1,1,4,1,2,8,3,0,1,4,0,3,1,0,0,0,2,2,46,2
"RP4-635E18.7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1
"MTOR",2,1,0,0,1,0,1,2,2,1,1,0,2,1,0,1,0,0,1,1,0,0,1,1,4,31,1
"UBIAD1",5,0,2,0,1,1,0,1,1,2,5,0,4,0,1,1,2,0,0,1,1,1,0,1,2,56,1
"FBXO2",2,0,1,0,3,0,0,2,4,2,3,1,10,0,1,0,4,3,0,1,0,0,0,1,2,182,1
"FBXO44",2,5,2,0,2,1,0,5,1,4,3,1,8,3,3,3,3,0,2,2,0,1,0,0,3,45,0
"FBXO6",19,5,0,4,3,0,0,0,5,2,4,0,4,2,1,1,2,0,2,6,6,0,0,1,1,45,0
"MAD2L2",25,5,3,3,4,1,2,4,7,6,8,2,33,5,0,1,22,5,6,14,4,0,5,8,8,107,6
"DRAXIN",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"AGTRAP",23,11,0,0,3,1,0,2,1,3,0,1,18,2,0,0,2,0,3,1,7,0,1,1,9,116,2
"C1orf167",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"MTHFR",5,5,0,4,0,0,0,0,0,0,0,0,1,1,4,0,1,0,1,0,1,0,0,0,1,31,2
"CLCN6",3,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,18,1
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KIAA2013",13,5,1,1,1,2,1,3,0,1,3,0,9,1,0,3,2,1,6,9,1,0,1,0,4,158,8
"PLOD1",16,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,1,50,10
"MFN2",4,4,0,0,1,0,0,2,2,1,0,0,4,2,0,1,2,1,0,1,1,0,2,2,4,62,2
"MIIP",10,3,0,2,2,2,1,5,2,5,1,1,21,8,0,1,1,1,2,3,4,1,1,0,11,80,4
"TNFRSF8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"TNFRSF1B",32,1,9,3,9,9,2,12,25,27,13,9,96,27,0,19,22,8,1,3,7,0,7,8,114,47,4
"VPS13D",1,1,0,0,1,0,0,2,1,2,0,0,5,2,0,2,1,3,0,1,2,0,0,0,2,20,4
"DHRS3",17,4,0,0,0,0,1,0,9,3,8,0,6,1,0,5,18,1,0,0,1,0,0,1,1,102,9
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PDPN",15,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"PRDM2",8,5,4,2,5,2,1,7,7,5,10,17,31,10,4,5,10,2,0,7,1,0,1,2,27,89,4
"KAZN",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,3
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TMEM51",15,4,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,77,5
"FHAD1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP3-467K16.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFHD2",128,8,4,11,5,1,0,8,4,12,2,2,52,5,0,8,3,1,3,11,18,1,1,3,16,204,9
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CASP9",2,1,0,3,2,0,0,0,1,1,2,1,2,0,1,0,3,0,2,0,1,0,0,0,0,28,3
"DNAJC16",7,4,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,1,1,2,0,0,0,0,1,34,2
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AGMAT",1,0,0,0,0,0,0,3,0,2,0,2,1,0,0,2,1,0,0,0,0,0,0,0,2,83,0
"RP4-680D5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DDI2",3,4,1,1,1,0,1,2,3,2,3,3,7,1,2,0,1,1,2,2,0,0,0,1,2,63,8
"PLEKHM2",10,4,2,2,1,1,1,2,0,3,0,1,3,2,1,1,1,0,0,1,0,0,1,0,1,34,4
"SLC25A34",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"FBLIM1",1,15,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,74,5
"UQCRHL",7,3,0,3,0,1,1,2,0,4,3,1,6,2,1,1,1,0,1,11,2,1,0,2,3,95,1
"FLJ37453",1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,19,0
"SPEN",4,3,0,3,2,3,0,1,5,6,4,5,16,4,0,4,3,1,2,7,3,0,1,2,4,142,13
"ZBTB17",4,1,0,0,1,0,1,5,0,4,2,2,7,0,0,3,2,1,2,4,0,0,0,0,4,30,2
"CLCNKB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"EPHA2",2,2,0,0,1,0,0,2,1,1,0,0,4,1,0,1,1,1,1,1,0,0,0,0,3,819,11
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF19",0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,2,6,0
"RSG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"FBXO42",3,2,0,0,3,0,0,1,2,2,4,3,10,3,0,0,2,1,2,4,0,0,0,1,6,26,1
"SZRD1",27,7,3,5,3,3,3,13,2,4,5,6,42,5,1,7,12,2,16,13,7,1,3,3,15,167,8
