"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"NOTCH1",3,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,836
"NALT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"LINC01451",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"RP11-251M1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"EGFL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
"AGPAT2",17,1,4,1,1,1,0,0,1,9,0,0,4,0,2,4,10412
"FAM69B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNHG7",11,7,4,1,1,1,4,0,3,11,1,7,13,0,2,9,5969
"LCN15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555
"TMEM141",25,2,5,0,2,2,2,0,2,8,1,1,4,2,1,8,14341
"CCDC183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
"CCDC183-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RABL6",3,0,2,0,0,0,1,1,0,2,0,1,0,0,1,2,2220
"C9orf172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"PHPT1",33,3,16,1,2,1,5,7,3,21,3,0,14,3,15,15,4998
"MAMDC4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46
"EDF1",59,8,32,11,7,6,10,12,12,74,14,8,34,9,18,75,11640
"TRAF2",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,394
"FBXW5",13,2,4,0,1,0,3,2,1,16,3,0,7,0,3,12,1399
