"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",0,2,1,5,2,1,0,0,2,0,4,17,1,6,4,0,0,9,2,3,99,0
"AP006222.2",0,3,1,1,1,1,1,0,1,0,3,2,0,0,4,0,0,0,0,1,37,1
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"RP11-206L10.9",0,0,0,1,0,0,0,1,1,0,3,1,0,2,3,0,0,0,0,0,7,0
"LINC00115",0,1,0,1,0,0,0,0,0,0,3,5,2,4,1,0,0,0,0,1,22,0
"FAM41C",1,0,0,0,0,1,0,0,0,0,0,2,1,1,3,0,1,0,0,2,21,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SAMD11",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"NOC2L",0,3,3,3,2,2,3,2,5,1,22,30,8,16,27,1,0,4,0,14,291,1
"KLHL17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0
"PLEKHN1",0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,34,0
"RP11-54O7.17",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6,3
"HES4",8,30,1,4,1,0,3,0,13,4,7,38,1,5,31,1,0,2,14,13,132,4
"ISG15",10,86,29,11,35,2,9,20,34,8,34,218,33,42,135,4,6,7,67,91,281,15
"AGRN",1,3,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,4,1,0,77,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,88,0
"C1orf159",1,1,1,0,1,0,0,0,0,0,3,1,0,1,2,0,0,2,0,1,21,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,49,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
"TNFRSF18",0,1,2,1,0,0,0,0,18,4,1,84,1,0,44,0,2,0,1,87,4,0
"TNFRSF4",0,4,1,0,1,1,3,1,22,2,1,172,0,2,141,0,0,1,1,167,20,3
"SDF4",7,28,2,16,4,1,9,3,16,3,16,74,13,8,63,2,3,12,3,35,461,3
"B3GALT6",0,6,2,2,0,0,1,0,2,2,2,14,3,0,6,1,0,0,0,6,46,1
"FAM132A",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0
"UBE2J2",2,5,1,5,2,2,1,0,3,1,13,15,7,4,10,0,0,2,0,8,150,1
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
"ACAP3",0,6,0,2,0,0,2,0,2,0,4,5,3,2,8,0,0,2,0,3,46,1
"PUSL1",2,2,0,0,0,0,1,0,4,1,2,12,5,4,7,0,0,0,0,4,55,0
"CPSF3L",1,5,1,4,6,3,5,1,4,0,9,14,5,5,20,1,0,4,0,11,204,4
"CPTP",0,2,0,0,2,0,0,0,1,0,3,4,1,2,5,0,0,3,0,2,76,0
"TAS1R3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0
"DVL1",0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,3,0,1,58,1
"MXRA8",0,67,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AURKAIP1",5,21,3,16,10,2,7,3,15,1,33,57,21,23,63,1,3,37,3,23,1014,3
"CCNL2",1,5,2,4,1,3,4,1,7,0,20,32,5,16,30,1,2,14,0,10,154,2
"MRPL20",5,14,3,13,8,1,8,2,10,0,32,53,10,17,54,6,3,6,1,30,711,3
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0
"ANKRD65",0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"VWA1",0,8,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,3,0,0,81,5
"ATAD3C",0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,7,0
"ATAD3B",1,0,1,0,0,0,0,0,1,0,2,4,0,3,12,0,1,2,0,3,65,0
"ATAD3A",0,3,2,2,1,0,1,0,0,0,4,5,2,3,9,0,0,4,1,0,91,0
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SSU72",5,17,7,11,16,8,9,6,10,2,44,96,10,34,97,4,6,15,1,28,812,2
"RP5-832C2.5",0,0,1,0,1,0,0,0,2,0,2,7,1,2,7,0,0,3,0,1,12,0
"C1orf233",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0
"RP11-345P4.9",0,0,0,0,0,0,1,0,0,0,1,1,0,3,3,0,0,2,0,1,15,0
"MIB2",1,3,6,3,1,2,2,0,2,1,10,15,8,4,14,2,0,5,0,5,175,3
"MMP23B",0,3,1,0,0,1,3,0,1,0,0,1,1,1,2,0,0,0,0,0,12,0
"CDK11B",0,2,3,3,6,2,1,1,7,1,16,28,3,19,33,1,0,8,1,10,126,1
"SLC35E2B",1,4,1,0,0,0,2,2,2,0,11,18,3,6,18,1,1,1,0,2,80,1
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CDK11A",0,5,3,2,3,2,2,1,5,0,18,33,14,15,39,0,0,14,0,6,119,3
"SLC35E2",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
"NADK",2,0,1,4,0,0,1,0,0,0,5,5,1,4,5,0,0,4,0,2,106,3
"GNB1",5,15,2,9,5,2,9,1,5,2,8,42,5,11,30,2,1,5,4,12,274,2
"RP1-140A9.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TMEM52",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",0,0,0,0,0,0,0,0,3,0,2,6,1,0,3,0,0,0,0,4,64,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,2,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"FAAP20",4,16,3,13,8,0,10,1,14,2,20,47,6,12,41,1,3,12,0,13,410,2
"SKI",2,5,1,1,1,1,3,0,3,1,8,23,7,0,13,0,1,0,0,3,68,3
"MORN1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,1
"RER1",7,5,3,9,5,3,9,2,11,0,27,40,7,12,38,0,1,7,4,16,429,2
"PEX10",0,3,1,0,0,0,1,0,1,1,1,2,0,2,2,0,1,2,1,0,100,0
"PLCH2",0,0,0,0,1,0,0,0,1,1,0,0,0,2,4,0,0,1,0,1,12,0
"PANK4",1,0,0,0,0,0,1,0,1,0,1,3,2,0,5,0,0,1,1,4,18,1
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP3-395M20.12",6,0,3,2,2,0,0,0,3,0,8,18,2,5,11,2,1,3,5,7,54,0
"RP3-395M20.8",0,1,0,1,0,0,0,0,0,0,2,2,1,1,2,0,1,0,0,3,49,0
"TNFRSF14",11,11,2,8,8,3,3,2,6,2,26,54,23,32,63,0,3,9,10,34,203,2
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0
"FAM213B",0,0,1,1,0,0,2,0,1,0,1,3,0,2,2,0,0,0,1,3,88,0
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,34,0
"TTC34",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,116,0
"MEGF6",1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,29,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TPRG1L",0,1,0,0,1,1,0,1,2,0,0,4,1,2,3,0,0,1,0,1,68,1
"WRAP73",0,1,0,0,1,1,0,0,2,1,7,7,3,4,7,0,0,3,0,3,63,1
"TP73",0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0
"TP73-AS1",0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,0,0,0,1,0,1
"SMIM1",0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,14,0
"LRRC47",0,1,0,1,3,0,2,1,0,0,6,13,3,2,10,0,1,3,1,4,82,2
"CEP104",0,3,0,0,1,0,1,0,1,0,3,9,0,2,9,0,0,0,0,3,60,0
"DFFB",0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,17,0
"C1orf174",4,1,3,2,2,1,0,0,2,0,5,4,1,3,9,0,0,2,0,3,83,0
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NPHP4",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0
"KCNAB2",1,0,3,6,3,1,0,2,6,1,8,32,3,0,24,0,0,1,0,8,8,0
"RPL22",50,110,54,155,50,41,76,25,152,30,827,1190,147,575,1597,61,40,139,30,339,7088,38
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RNF207",0,4,0,2,0,0,1,0,1,0,0,5,1,0,4,0,0,2,0,3,53,0
"ICMT",2,4,0,3,0,0,1,0,1,0,4,5,1,0,4,0,0,0,0,3,56,2
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GPR153",0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,2,0,0,27,0
"ACOT7",0,1,0,1,2,0,1,0,2,0,1,5,1,0,1,0,0,1,3,3,113,0
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
"HES2",0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,44,0
"ESPN",0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,38,0
"TNFRSF25",0,1,2,1,0,4,0,1,29,6,0,124,4,0,78,0,0,1,0,43,22,1
"PLEKHG5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,14,1
"NOL9",0,0,1,1,0,0,1,0,2,1,6,2,1,0,4,0,0,1,0,2,43,1
"ZBTB48",2,2,0,2,0,1,0,0,0,0,5,3,1,3,2,0,0,1,1,0,26,1
"KLHL21",0,5,0,0,1,0,1,0,0,0,1,5,2,1,2,0,1,0,0,0,72,2
"PHF13",0,3,1,0,1,0,1,0,3,0,1,1,1,0,2,0,0,1,0,2,26,1
"THAP3",0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,1,0,0,22,0
"DNAJC11",1,1,1,0,0,0,0,0,0,0,1,5,1,3,6,2,0,4,1,0,48,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"CAMTA1",5,14,3,14,4,2,14,2,8,0,30,43,5,14,33,2,1,5,1,6,621,10
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",1,7,1,3,3,0,4,0,3,0,5,10,3,7,11,0,1,3,5,8,225,5
"PER3",1,2,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,1,1,0,19,1
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"UTS2",0,0,1,1,6,0,0,0,4,0,1,12,3,0,5,0,0,1,0,11,21,0
"TNFRSF9",5,1,5,2,3,0,0,0,3,1,0,32,9,0,2,0,2,2,1,79,1,0
"PARK7",8,45,21,30,21,8,24,1,33,6,58,181,33,31,165,4,7,21,5,66,1230,17
"ERRFI1",1,18,0,0,1,1,4,0,4,0,6,18,3,2,20,0,1,23,0,2,1169,0
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SLC45A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"RERE",2,5,0,2,0,0,4,0,3,0,17,13,4,16,9,0,0,7,0,3,180,2
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"ENO1",37,37,16,91,25,9,21,10,80,12,68,277,38,46,161,3,12,32,43,108,1968,5
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0
"GPR157",1,1,0,10,0,0,0,0,0,0,4,1,0,2,1,0,0,1,3,1,21,0
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"RP3-510D11.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"H6PD",2,8,0,0,0,0,2,0,0,1,0,5,3,2,6,1,0,0,0,1,58,1
"SPSB1",1,23,0,0,2,2,18,0,2,0,1,10,2,2,8,0,0,1,0,2,112,0
"SLC25A33",0,3,3,3,2,0,3,0,1,0,17,10,7,9,15,1,1,2,2,2,265,0
"TMEM201",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0
"PIK3CD",0,0,4,3,2,1,0,0,3,0,4,19,6,2,11,0,1,0,0,3,3,0
"PIK3CD-AS1",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0
"CLSTN1",0,2,0,4,4,0,2,3,3,0,6,19,4,2,16,1,0,4,0,2,181,1
"CTNNBIP1",1,2,1,4,3,0,4,0,3,0,1,6,1,0,10,0,0,1,1,5,184,0
"LZIC",2,2,1,0,3,2,0,0,7,0,2,7,1,1,6,0,0,1,1,4,84,0
"NMNAT1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,29,0
"RBP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5
"UBE4B",0,1,0,1,3,2,1,1,3,0,9,13,1,3,9,0,1,1,0,1,67,0
"KIF1B",6,2,0,6,0,0,1,0,0,0,3,7,1,0,4,0,0,1,1,3,47,0
"PGD",2,2,0,6,3,0,1,0,2,0,4,8,2,3,6,0,2,5,2,5,136,1
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"APITD1",0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,26,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"DFFA",0,1,0,2,1,1,1,1,2,2,12,6,3,4,2,0,2,1,0,3,91,2
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PEX14",1,2,2,1,1,1,1,0,3,0,5,4,2,2,2,0,1,0,1,1,35,0
"CASZ1",0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,4,0,0,84,0
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1orf127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TARDBP",0,3,2,2,2,1,2,0,5,2,20,26,3,14,22,1,0,3,1,5,145,0
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"SRM",0,9,1,6,5,1,3,3,6,0,12,26,5,7,9,2,1,4,0,6,272,0
"EXOSC10",0,0,2,1,3,0,2,1,1,1,9,8,3,3,8,0,1,1,0,3,74,1
"RP4-635E18.7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"MTOR",1,0,1,0,1,0,0,0,1,0,2,3,0,0,8,0,0,2,0,1,26,0
"UBIAD1",0,1,2,1,0,0,0,0,4,0,7,9,2,3,13,0,0,1,0,2,44,0
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"FBXO2",0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,0,0,0,2,3,0
"FBXO44",1,0,0,1,2,2,0,0,2,0,5,6,1,2,11,1,1,0,0,0,12,0
"FBXO6",0,5,1,3,1,0,0,0,2,0,1,2,1,3,0,0,0,1,2,0,35,0
"MAD2L2",1,15,2,7,3,0,6,1,4,0,12,15,3,2,14,0,1,1,0,2,58,1
"AGTRAP",1,7,1,3,1,0,2,1,0,0,1,8,5,1,9,0,1,3,3,7,134,1
"C1orf167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MTHFR",1,1,0,2,1,0,1,0,1,0,3,2,0,2,5,0,0,1,1,0,40,0
"CLCN6",0,0,0,1,1,0,0,0,1,0,1,3,0,3,2,0,0,0,0,0,14,1
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KIAA2013",3,4,0,1,2,1,1,1,0,1,4,7,4,2,5,0,0,2,0,4,147,4
"PLOD1",1,10,0,2,0,0,3,0,0,0,1,1,1,0,2,0,0,0,0,0,69,2
"MFN2",2,1,0,2,0,0,0,0,1,0,6,3,0,0,6,2,0,0,0,2,36,1
"MIIP",1,2,1,3,1,1,2,1,3,0,3,10,3,3,11,0,1,5,0,4,70,0
"TNFRSF8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"TNFRSF1B",13,3,15,20,13,9,3,5,34,11,24,108,28,6,104,3,11,1,4,92,32,1
"VPS13D",1,0,1,0,1,1,2,0,0,0,1,6,1,2,8,0,0,1,0,3,30,1
"DHRS3",2,1,1,3,0,1,4,1,1,0,1,12,0,1,11,1,0,2,0,1,195,2
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PDPN",0,61,0,0,0,0,21,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0
"PRDM2",3,7,1,2,2,0,7,1,7,0,56,40,7,38,45,2,3,4,0,22,90,1
"KAZN",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"TMEM51",2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,78,1
"FHAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"EFHD2",9,8,2,19,3,0,4,3,8,0,14,41,11,11,28,0,2,9,5,19,450,0
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CASP9",0,0,0,7,1,0,1,0,1,0,15,2,0,9,4,0,0,0,0,6,20,1
"DNAJC16",0,0,1,0,0,0,0,0,0,0,1,5,0,2,2,0,1,0,0,0,32,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AGMAT",0,0,1,0,0,0,0,0,0,0,2,1,1,2,3,0,0,0,0,0,25,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"DDI2",0,0,0,0,1,0,1,0,0,0,6,5,1,2,1,0,0,1,0,1,60,0
"PLEKHM2",0,3,1,0,1,0,1,0,1,0,4,4,0,3,4,0,0,1,0,2,46,1
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FBLIM1",0,12,1,1,0,0,5,0,0,0,1,2,1,0,2,0,1,1,1,0,120,0
"UQCRHL",0,3,0,1,1,0,2,1,2,0,8,8,1,3,10,0,1,2,0,4,194,0
"FLJ37453",2,0,1,1,0,1,0,0,0,0,2,5,2,2,1,0,1,3,0,1,37,0
"SPEN",1,3,0,3,1,1,1,1,8,1,8,19,1,10,5,0,1,3,0,4,148,1
"ZBTB17",2,4,0,0,2,0,0,1,3,0,8,8,2,7,11,0,0,2,2,3,23,1
"HSPB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"EPHA2",0,2,1,1,0,0,0,0,1,0,4,12,3,5,6,1,0,15,0,8,1041,3
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ARHGEF19",0,1,0,0,2,0,0,0,0,1,3,1,0,0,2,0,0,1,0,1,41,0
"RSG1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0
"FBXO42",0,1,0,0,1,0,0,0,1,0,2,6,0,3,8,0,1,0,0,4,35,0
"SZRD1",2,8,4,4,2,2,3,3,9,0,16,35,7,13,29,1,1,3,2,13,149,2
"SPATA21",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NECAP2",3,8,5,5,2,4,3,0,7,0,12,49,10,15,32,0,1,2,1,21,148,2
"RP4-798A10.2",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0,0,11,0
"NBPF1",0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,24,0
"CROCC",0,4,0,1,0,0,0,0,0,0,2,3,1,1,3,0,0,1,0,3,25,0
"RP11-108M9.4",1,3,1,2,0,0,3,0,0,0,3,2,2,2,6,1,1,2,0,2,170,1
"RP11-108M9.6",0,0,0,0,0,2,0,0,0,0,2,2,1,1,2,0,0,2,0,0,8,0
"MFAP2",0,35,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP13A2",1,2,0,0,0,0,0,0,3,1,1,6,0,2,3,0,0,3,0,3,94,1
"SDHB",4,5,1,13,3,3,3,0,2,2,11,31,9,7,30,1,0,6,2,11,355,0
"PADI2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PADI4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"RCC2",2,4,1,3,1,0,1,0,1,0,7,12,0,4,2,0,0,2,2,3,114,1
"ARHGEF10L",0,0,1,0,0,0,1,0,0,0,2,3,0,0,2,0,0,7,2,0,83,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"IGSF21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"ALDH4A1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0
"IFFO2",0,2,1,0,1,0,0,0,0,0,1,1,2,1,7,0,1,0,0,2,15,1
"UBR4",1,3,1,4,4,0,2,0,1,0,5,19,5,6,16,0,2,3,1,2,180,0
"RP1-43E13.2",0,0,0,2,0,0,0,0,1,0,0,8,3,0,4,1,0,0,0,0,18,0
"EMC1",1,0,0,1,0,0,0,0,0,0,2,4,0,5,3,0,0,0,0,1,47,0
"MRTO4",0,2,1,2,0,0,1,1,2,0,9,11,2,7,10,1,0,4,0,3,167,0
"AKR7A3",0,0,1,0,0,0,1,0,0,0,2,0,0,1,2,0,1,3,0,0,225,0
"AKR7A2",0,10,0,6,1,0,7,0,6,0,8,16,3,4,20,0,0,7,1,9,300,2
"PQLC2",3,2,0,1,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,25,0
"CAPZB",23,58,12,49,27,9,31,8,61,12,56,192,31,30,155,5,11,5,4,59,698,4
"MINOS1",13,30,5,28,9,3,16,2,25,4,32,115,15,23,88,3,3,32,7,45,1648,4
"NBL1",0,114,3,2,2,1,76,0,8,1,1,21,15,0,14,1,0,11,0,1,816,4
"TMCO4",0,3,0,1,0,1,0,0,0,0,2,2,0,5,4,0,0,1,0,3,45,1
"RNF186",0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,14,0,0,392,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"OTUD3",0,2,0,0,0,0,1,0,2,0,2,4,0,1,3,0,0,1,0,0,23,0
"PLA2G2A",0,0,1,0,0,1,1,0,0,0,0,1,1,1,2,0,0,6,0,2,220,0
"PLA2G5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLA2G2D",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"UBXN10-AS1",0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
