"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CCDC157",0,2,1,0,0,0,0,0,0,0,2,7,0,0,5,0,0,0,0,2,13,0
"RNF215",0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,3,0
"SEC14L2",0,0,1,0,0,1,0,0,1,0,0,20,1,1,14,0,1,0,0,3,16,0
"MTFP1",0,2,1,1,1,1,0,0,0,0,10,12,5,1,12,0,2,1,0,3,27,0
"RP4-539M6.22",0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"GAL3ST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0
"PES1",3,4,0,1,0,0,1,0,2,0,6,6,3,4,7,0,0,3,0,4,100,0
"TCN2",5,10,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,44,1
"SLC35E4",0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,49,3
"DUSP18",1,0,0,1,1,1,1,0,0,0,4,10,1,2,6,0,0,4,0,3,92,0
"OSBP2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
"MORC2-AS1",1,0,0,0,0,0,0,0,2,0,2,6,0,0,2,0,0,1,0,1,22,0
"MORC2",0,0,0,0,0,1,0,0,1,0,3,5,0,1,3,0,2,0,0,0,32,0
"TUG1",0,6,2,1,0,0,2,0,3,0,10,11,0,7,10,0,1,1,1,4,110,2
"SMTN",1,8,0,0,0,0,3,1,1,1,4,1,0,0,2,0,0,3,0,1,128,0
"SELM",5,121,2,0,3,1,49,2,9,3,25,55,13,5,39,1,2,6,2,19,153,3
"INPP5J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PLA2G3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF185",0,0,0,1,0,1,2,0,0,0,4,1,0,2,4,0,0,0,0,1,21,2
"LIMK2",0,1,0,0,0,0,1,1,0,1,0,1,0,0,4,0,0,2,3,1,91,1
"PIK3IP1",2,6,1,1,1,3,1,0,21,3,13,99,14,47,116,5,2,4,0,52,84,1
"PIK3IP1-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"PATZ1",0,1,1,0,0,0,0,0,0,0,2,3,0,2,8,0,0,1,0,1,23,0
"LINC01521",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0
"DRG1",1,8,1,0,2,0,1,0,0,0,4,8,5,6,11,0,0,2,0,2,119,1
"EIF4ENIF1",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,10,0
"RP11-247I13.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"SFI1",0,1,3,0,4,2,1,0,3,0,9,20,10,0,21,1,1,4,0,4,34,1
"PISD",1,2,0,1,0,0,0,0,0,0,6,5,0,1,6,0,0,3,0,1,71,2
"PRR14L",0,0,0,0,1,0,1,0,1,1,2,3,0,4,6,0,0,1,1,0,25,0
"DEPDC5",0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,1,1,0,0,7,0
"YWHAH",22,37,9,32,2,0,9,5,26,8,45,112,10,24,42,0,0,7,2,69,568,8
"SLC5A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,0
"RFPL2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP1-90G24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RFPL3S",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"RTCB",4,14,2,4,0,0,0,0,1,3,13,9,5,6,16,1,1,6,2,1,243,0
"FBXO7",2,10,6,2,6,4,3,1,10,4,14,52,9,12,32,0,1,0,1,13,153,4
