"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-546J1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-1152H14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CCDC148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"PKP4",1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,109,14
"DAPL1",3,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,77,0
"TANC1",0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,64,4
"WDSUB1",2,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,49,0
"BAZ2B",5,1,4,0,1,1,1,2,1,2,4,9,3,7,12,4,0,2,2,1,12,125,9
"AC008277.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"AC009506.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0
"AC009961.3",0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0
"MARCH7",3,4,2,1,1,3,2,3,2,0,8,20,2,1,14,1,2,1,2,1,17,115,6
"CD302",8,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,38,3
"LY75",3,1,1,0,0,0,0,0,0,0,3,5,0,1,3,0,0,0,1,2,8,95,1
"PLA2R1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"ITGB6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"RBMS1",10,1,6,1,1,2,2,7,3,1,3,37,5,0,24,2,3,0,5,3,5,32,12
"TANK",26,20,5,5,3,5,4,49,11,3,15,206,31,4,31,4,11,8,22,8,49,133,15
"AC009299.3",0,0,0,0,0,2,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,7,0
"PSMD14",10,5,4,0,4,2,1,10,3,3,4,27,2,0,6,0,2,4,4,2,12,330,4
"SLC4A10",0,0,0,0,0,0,3,1,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0
"DPP4",0,0,0,0,0,0,0,2,2,0,0,29,1,0,3,0,0,0,0,3,0,4,0
"AC007750.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"IFIH1",1,2,0,0,2,1,0,1,0,0,1,6,1,6,1,0,0,1,2,0,10,28,0
"GCA",13,1,4,0,0,0,0,2,0,1,3,2,0,6,2,0,0,2,15,1,3,152,1
"COBLL1",0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,8,0,0,1,60,3
"SLC38A11",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SCN3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GALNT3",4,0,1,0,0,1,0,0,0,0,4,4,2,2,3,1,3,1,1,0,3,431,0
"AC009495.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTC21B",0,1,0,0,0,0,0,0,0,1,5,1,1,1,4,0,1,2,0,0,0,34,2
"SCN9A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B3GALT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"STK39",1,1,1,0,1,0,0,3,0,0,0,3,3,0,1,1,1,1,0,0,2,99,2
"CERS6",3,1,5,0,0,2,0,1,0,0,0,8,0,1,5,2,0,1,3,0,2,228,1
"NOSTRIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5
"SPC25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,2
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DHRS9",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0
"BBS5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"FASTKD1",4,3,1,0,1,1,0,1,0,0,2,3,4,0,1,0,0,2,2,0,2,61,2
"PPIG",20,11,7,2,12,16,8,20,7,4,51,84,18,22,47,2,6,8,7,4,30,691,12
"CCDC173",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0
"PHOSPHO2",0,0,0,0,2,0,0,0,0,0,4,3,1,0,3,0,0,2,0,0,1,85,0
"KLHL23",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,113,0
"SSB",8,9,3,1,8,4,3,10,2,0,28,49,16,14,31,1,5,7,4,2,33,849,12
"METTL5",3,5,6,1,2,3,1,1,3,0,9,18,5,0,9,1,3,2,2,0,14,658,2
"UBR3",3,1,1,0,1,1,0,1,0,0,1,8,0,0,6,0,0,4,1,1,3,73,2
"MYO3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"AC007405.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GORASP2",3,1,1,0,1,1,2,1,0,1,5,11,2,4,8,1,1,7,2,3,10,275,5
"TLK1",1,3,1,1,3,6,0,6,1,0,10,38,3,6,17,1,3,1,0,1,33,133,3
"METTL8",1,1,1,1,2,0,1,3,2,0,3,28,3,4,11,0,0,0,0,1,26,76,4
"DCAF17",0,0,1,0,0,1,0,0,0,0,1,3,1,0,1,1,1,0,0,0,1,34,1
"CYBRD1",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,4
"DYNC1I2",16,1,2,1,1,3,2,6,1,2,4,21,2,2,15,0,2,3,8,5,11,497,17
"SLC25A12",3,0,0,0,1,0,0,0,1,2,0,5,1,0,0,0,0,2,0,0,2,33,1
"HAT1",5,1,4,0,1,4,2,5,0,3,6,17,5,3,8,2,1,2,4,4,13,164,3
"METAP1D",0,1,0,0,0,0,0,0,0,1,7,1,0,1,2,0,0,1,0,0,0,18,1
"DLX2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ITGA6",1,0,1,1,0,1,1,0,0,0,2,4,3,0,6,0,0,2,0,0,3,654,19
"AC078883.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AC078883.3",0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,0
"AC093818.1",1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,1,2
"PDK1",3,0,0,0,1,2,0,2,0,1,4,8,0,3,1,0,0,8,0,0,1,34,1
"RAPGEF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"AC013461.1",1,0,3,0,1,1,1,1,1,1,5,1,2,0,1,0,0,1,12,0,2,191,1
"CDCA7",0,2,1,0,2,1,0,4,0,0,2,16,1,0,2,0,0,2,0,2,3,264,0
"RP11-796E10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SP3",4,6,6,0,1,4,3,5,0,2,7,8,4,4,10,2,6,3,4,2,6,166,8
"OLA1",12,3,8,1,5,1,3,12,0,2,8,55,5,1,18,1,3,9,3,3,17,657,9
"SP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CIR1",14,9,2,1,7,4,1,4,3,3,10,36,6,9,24,1,3,6,2,4,17,299,5
"SCRN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"GPR155",3,2,1,0,0,1,0,0,0,0,0,4,2,0,7,0,1,1,0,0,4,9,0
"AC010894.3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
"WIPF1",14,26,14,6,23,24,11,34,6,6,38,149,30,9,57,14,13,13,13,7,62,23,7
"AC010894.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHRNA1",0,0,0,0,0,0,0,1,0,0,3,2,0,0,2,0,0,1,0,0,0,0,0
"CHN1",1,1,1,0,0,6,0,19,0,15,1,62,7,0,8,0,1,0,0,6,13,4,8
"ATF2",3,2,1,0,3,1,0,2,0,0,5,9,5,2,4,1,1,1,0,0,4,73,1
"ATP5G3",69,14,36,1,22,11,3,39,8,15,33,106,15,15,55,8,6,32,21,13,66,3131,21
"KIAA1715",5,0,1,0,1,1,0,0,0,0,2,15,2,1,4,0,1,2,0,1,2,99,2
"HOXD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"HOXD10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"HOXD-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
