"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RASEF",3,2,0,0,0,0,1,0,0,0,0,0,2,1,0,218,1
"FRMD3",1,2,0,0,0,0,0,0,0,0,0,0,11,0,0,10,1
"IDNK",2,2,0,0,0,0,2,0,0,0,0,0,1,0,2,33,1
"UBQLN1",31,38,1,1,0,1,5,0,2,1,0,5,33,30,8,369,41
"RP11-522I20.3",2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2
"GKAP1",5,4,0,0,0,0,1,0,0,0,1,0,2,0,0,23,0
"KIF27",1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,13,2
"C9orf64",6,3,0,0,0,0,0,0,0,0,0,0,5,1,1,31,5
"HNRNPK",265,305,8,28,37,6,57,9,31,11,4,24,324,188,79,1767,282
"RP11-575L7.8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RMI1",1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,28,1
"SLC28A3",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"NTRK2",0,1,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0
"AGTPBP1",5,2,0,0,0,0,3,0,0,0,0,0,3,6,2,49,5
"NAA35",6,5,0,0,1,0,4,1,0,1,0,0,10,4,1,56,11
"GOLM1",11,59,0,2,4,0,0,1,0,0,0,0,22,14,1,1036,36
"ISCA1",28,63,5,1,7,2,21,3,3,5,1,10,60,17,11,303,47
"ZCCHC6",25,17,0,0,1,1,5,0,1,1,0,3,13,16,8,141,22
"GAS1",1,133,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1
"RP11-276H19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C9orf170",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DAPK1",54,0,0,0,0,0,0,0,0,0,0,0,0,18,0,88,0
"CTSL",1247,127,0,3,2,0,5,2,6,1,0,0,111,403,3,144,50
"CDK20",1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0
"SPIN1",14,42,0,1,2,1,1,0,1,0,0,2,18,5,1,123,18
"NXNL2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"C9orf47",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
