"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"LGALS7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
"LGALS4",86,82,2,17,1,16,2,0,4,22,11,6,3,7,1,5,5,12,84,21,4918,42
"ECH1",113,193,6,18,4,20,8,1,8,40,20,28,1,18,6,9,6,35,56,52,850,93
"AC104534.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HNRNPL",23,48,8,4,0,5,5,2,1,4,7,5,0,2,3,0,5,13,18,16,127,45
"RINL",2,8,0,1,0,3,0,0,0,2,0,1,0,0,2,1,1,2,1,3,14,2
"SIRT2",56,53,13,7,3,22,1,1,3,27,18,7,0,11,9,16,3,8,38,20,211,35
"NFKBIB",56,76,9,6,1,13,8,5,7,14,19,4,0,8,2,7,5,14,50,22,311,64
"CCER2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SARS2",8,9,2,1,0,0,0,2,0,2,0,1,0,0,0,0,0,5,6,7,78,5
"MRPS12",67,155,9,9,5,15,4,4,1,34,13,12,2,13,6,6,9,28,34,24,1056,65
"CTC-360G5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FBXO17",1,38,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,11,2
"FBXO27",1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
"ACP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0
"PAK4",5,28,0,0,0,2,2,0,0,4,1,1,0,1,1,1,0,2,4,1,242,30
"NCCRP1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,99,0
"IFNL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRFN1",2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMFG",310,21,28,79,5,51,19,13,22,168,63,0,2,57,17,15,13,41,340,183,51,144
"CTC-246B18.10",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1
"SAMD4B",16,51,0,4,0,9,1,2,1,8,3,2,0,2,0,2,8,10,21,9,241,31
"PAF1",19,34,3,15,0,6,0,1,3,11,14,5,2,11,4,4,6,11,22,18,151,28
"MED29",54,63,1,12,1,5,2,0,2,10,3,1,0,6,4,3,12,16,52,19,246,29
"ZFP36",1554,1657,118,304,24,110,40,28,90,527,197,325,13,303,69,82,209,683,1040,562,3326,1279
"PLEKHG2",50,29,2,1,1,1,0,1,0,7,2,2,0,1,0,0,4,12,29,11,14,20
"RPS16",2447,5109,383,850,42,527,239,103,375,1711,748,476,88,1124,296,312,431,874,3607,1586,21805,2082
"SUPT5H",83,83,13,9,0,16,2,2,5,39,16,6,1,8,6,4,11,12,32,27,464,67
"TIMM50",44,97,2,12,0,10,3,2,4,15,8,8,1,4,3,1,4,11,30,28,348,38
"DLL3",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"EID2B",0,8,3,1,0,2,1,0,0,2,0,1,0,4,0,1,1,0,2,2,5,6
"EID2",6,11,4,0,0,2,1,1,0,2,1,2,0,1,0,0,0,3,8,4,31,15
"CLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYRK1B",3,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,33,10
"FBL",60,205,8,28,1,16,5,3,12,56,23,14,6,24,11,4,11,27,94,42,808,108
"FCGBP",32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0
"PSMC4",60,158,3,12,2,18,8,4,8,31,19,20,2,13,7,7,6,22,58,28,481,81
"ZNF546",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
"ZNF780B",0,7,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,15,1
"ZNF780A",8,5,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,3,1,5,17,5
"AC005614.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MAP3K10",4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,3
"TTC9B",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0
"CNTD2",1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,54,0
"AKT2",15,46,4,1,2,11,1,0,0,9,5,2,0,1,3,3,3,10,14,14,143,15
"C19orf47",5,2,1,0,0,1,0,0,1,3,1,0,0,0,0,1,1,0,0,0,17,4
"PLD3",546,332,2,8,0,9,1,1,1,11,8,18,2,4,5,1,3,35,105,19,228,62
"HIPK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PRX",5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,5,1
"SERTAD1",217,479,13,23,3,19,7,5,3,34,24,73,1,19,16,9,7,123,105,47,349,262
"CTC-492K19.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SERTAD3",16,53,2,5,0,10,0,1,0,5,5,6,0,4,4,3,1,8,16,3,126,27
"CTC-492K19.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BLVRB",419,144,7,26,1,9,2,4,4,14,6,10,0,6,1,5,7,23,232,9,986,40
"SPTBN4",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"SHKBP1",89,67,2,15,3,17,5,2,5,24,12,4,0,8,2,6,5,8,78,28,225,50
"LTBP4",15,154,6,2,1,3,1,0,0,6,2,1,0,3,1,6,4,32,10,7,198,27
"NUMBL",0,31,2,0,0,1,0,0,2,0,0,1,0,0,0,1,2,1,1,0,20,5
"ADCK4",4,16,0,1,0,3,1,1,0,4,0,4,0,0,0,0,0,2,4,2,87,13
"ITPKC",13,13,0,1,0,0,0,0,0,4,1,1,0,1,0,1,0,5,19,4,407,23
"C19orf54",6,4,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,6,1,19,2
"SNRPA",29,65,4,7,1,8,0,1,3,14,12,3,1,10,4,2,5,9,24,12,140,26
"MIA",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,66,0
"RAB4B",34,21,1,8,1,6,2,1,1,12,11,1,0,4,1,3,9,4,28,12,131,31
"CTC-490E21.14",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGLN2",37,90,4,12,1,11,5,4,2,25,17,7,1,3,5,3,3,14,49,23,182,75
"CYP2B6",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"CYP2S1",24,7,1,21,0,0,0,0,0,0,2,0,0,2,0,0,3,3,25,0,227,3
"AXL",126,230,0,59,0,1,0,0,0,1,0,21,0,0,0,0,5,62,14,1,14,12
"HNRNPUL1",63,115,12,22,3,29,7,6,10,61,35,11,1,25,6,16,23,31,59,34,237,73
"TGFB1",177,233,23,33,4,38,14,11,4,74,45,12,5,31,40,29,33,31,199,49,26,108
"CCDC97",12,16,5,4,0,4,1,0,5,10,5,2,1,7,5,4,2,1,7,11,84,7
