"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"BATF2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
"ARL2",101,595,0,11,1,0,0,0,5,8,5,8,4,5,1,0,9,65,17,4,385,50
"SNX15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SAC3D1",7,46,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,2,2,81,4
"NAALADL1",3,79,0,4,0,0,0,0,1,0,1,0,0,2,0,1,0,12,3,1,1,1
"CDCA5",0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,34,0
"ZFPL1",9,85,0,2,0,1,0,0,0,3,1,2,0,1,0,1,1,14,2,5,231,6
"VPS51",27,228,1,15,0,1,1,4,7,8,2,4,0,9,2,2,4,26,6,8,319,20
"AP003068.9",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"TM7SF2",5,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,101,0
"ZNHIT2",0,16,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,5,0,1,74,1
"FAU",1465,4913,62,485,38,87,68,92,305,411,168,81,67,528,65,103,352,665,762,540,8983,369
"SYVN1",9,40,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,7,0,1,119,2
"MRPL49",6,53,0,2,0,1,0,0,1,3,0,0,1,5,0,1,3,7,2,0,100,2
"SPDYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AP003068.23",0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,30,1
"CAPN1",42,199,0,18,1,2,2,1,3,8,3,3,1,5,2,2,2,45,13,6,646,21
"POLA2",4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,20,3
"CDC42EP2",7,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,306,10
"DPF2",5,50,1,0,0,1,4,0,2,5,2,2,0,2,0,0,0,12,2,4,96,7
"TIGD3",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0
"SLC25A45",3,11,1,1,0,0,0,0,1,2,2,0,1,3,0,0,1,1,1,0,28,1
"FRMD8",15,43,2,7,0,0,0,1,2,2,0,0,1,4,0,0,9,8,6,5,115,13
"NEAT1",3482,9033,16,594,8,24,22,23,24,94,66,127,11,197,17,18,142,848,1243,181,24544,771
"CMB9-22P13.1",7,49,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,5,1,72,2
"MALAT1",21861,80468,1495,5301,770,1470,1131,1104,4274,7575,3735,2015,747,9909,1252,2317,6622,12359,10507,13867,146879,6888
"AP000769.7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AP000769.1",1,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,17,2
"SCYL1",20,104,2,3,0,0,1,0,1,3,0,1,1,2,0,0,4,31,3,3,316,7
"LTBP3",12,217,0,0,0,1,0,3,0,0,0,2,0,2,1,1,0,23,3,6,299,6
"SSSCA1",24,131,0,9,2,2,0,0,4,8,5,2,0,3,0,2,5,28,11,9,247,15
"FAM89B",15,99,0,5,0,0,1,0,2,3,2,0,0,2,0,1,2,22,6,7,286,11
"EHBP1L1",55,49,0,7,0,0,2,0,1,2,0,1,0,3,0,0,4,10,13,1,196,15
"SIPA1",24,42,0,8,2,1,2,0,5,1,2,1,1,6,0,1,2,21,7,4,144,17
"KCNK7",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MAP3K11",28,22,0,9,0,0,1,2,1,5,0,0,0,4,1,1,7,3,8,4,259,39
"PCNXL3",5,17,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,8,1,1,105,5
"RELA",14,106,0,4,0,1,0,0,1,5,2,1,2,12,1,2,2,21,9,12,357,21
"KAT5",14,65,0,3,0,1,1,1,1,2,1,0,0,3,4,1,1,7,6,9,116,3
"RNASEH2C",78,405,1,17,0,1,4,5,5,11,4,4,4,15,6,5,13,80,31,21,226,40
"AP5B1",8,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,66,1
"OVOL1",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,505,4
"OVOL1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-770G2.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"CFL1",1735,4547,31,496,13,37,38,45,85,171,130,47,16,210,39,57,189,903,673,283,14545,600
"SNX32",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS81",11,28,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,10,3,2,83,2
"EFEMP2",6,1179,0,0,0,0,0,1,1,0,0,5,0,0,0,1,1,141,4,0,41,21
"CTSW",3,4,14,1,3,0,14,58,0,13,20,0,0,11,26,21,0,0,0,3,11,2
