"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"TMEM199",23,2,0,0,6,3,1,5,5,5,0,5,3,0,0,2,1,2,1,18,11,45,9
"SARM1",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,2
"VTN",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLC46A1",9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"CTD-2350C19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"RP11-192H23.4",1,0,0,2,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,1,1,10,0
"SLC13A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"UNC119",30,6,2,3,3,0,1,7,5,3,6,2,5,4,0,0,3,2,2,26,21,68,8
"PIGS",1,10,1,0,0,1,0,3,5,2,1,3,0,1,0,0,3,0,0,5,5,77,8
"ALDOC",8,4,1,2,4,0,1,3,8,5,3,4,1,5,0,4,3,3,0,11,16,100,2
"SPAG5",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,10,0,30,2
"RP11-192H23.6",2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,4,1,2,1
"SGK494",2,0,0,0,1,0,0,2,2,0,1,0,1,3,0,1,1,1,0,16,5,6,1
"KIAA0100",12,2,0,2,1,2,0,1,1,3,0,0,1,0,0,1,1,2,3,2,4,71,5
"SDF2",39,35,11,4,10,2,3,11,12,9,13,11,3,6,0,8,5,6,9,24,36,233,26
"SUPT6H",25,15,3,1,7,4,1,8,6,7,7,1,5,3,1,4,3,3,2,31,17,105,10
"PROCA1",2,0,0,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0,0,2,0,7,0
"RAB34",63,87,1,2,1,0,0,3,3,3,0,0,3,2,0,1,0,5,12,43,3,6,22
"RPL23A",1246,834,466,265,296,467,324,484,712,1750,1137,893,837,1446,187,439,338,286,291,2100,1711,21317,596
"AC010761.8",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"TLCD1",1,2,1,2,0,0,0,1,0,0,2,3,1,1,0,0,0,0,0,3,1,122,1
"NEK8",3,1,1,1,1,2,2,1,0,7,1,0,3,2,0,1,1,7,0,1,1,34,1
"AC010761.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TRAF4",9,12,2,3,5,7,1,4,6,31,8,4,18,8,2,2,6,29,8,21,31,650,7
"AC010761.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAM222B",2,2,0,0,0,1,1,0,1,3,2,3,0,1,0,0,1,2,1,2,11,34,5
"ERAL1",11,8,1,1,0,1,0,4,1,2,2,3,2,0,0,0,1,2,1,4,6,93,11
"FLOT2",24,5,2,4,5,1,2,1,3,1,3,5,3,3,0,2,0,2,1,15,6,52,12
"RP11-20B24.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DHRS13",4,1,0,1,0,2,0,3,0,0,1,2,0,0,0,1,0,0,0,2,1,26,1
"PHF12",2,9,1,0,1,2,1,4,3,3,1,7,1,2,1,1,3,0,0,4,11,43,3
"PIPOX",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SEZ6",0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0
"RP11-321A17.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MYO18A",1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,12,1
"NUFIP2",47,15,1,2,3,2,2,4,1,14,5,5,7,2,0,5,2,5,3,31,11,199,16
"RP11-296K13.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-802D6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TAOK1",25,8,2,2,2,4,0,3,8,8,2,8,2,3,0,2,1,0,4,15,8,96,11
"ABHD15",6,0,0,0,1,1,0,0,3,7,2,3,3,1,1,4,1,4,0,2,1,22,1
"TP53I13",18,31,1,2,1,4,0,6,5,2,10,3,4,4,0,6,4,3,3,15,15,53,5
"GIT1",5,4,3,1,2,1,1,1,3,3,1,2,0,1,0,1,0,1,0,3,4,54,13
"ANKRD13B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
"CORO6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"SSH2",9,1,0,3,3,4,2,1,6,6,7,2,15,14,1,3,5,3,0,19,12,93,8
"RP11-338L22.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFCAB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"NSRP1",20,32,2,2,4,10,1,8,11,15,9,4,6,7,1,4,0,1,7,46,21,337,30
"RP11-354P11.3",2,1,1,2,1,2,0,1,1,2,1,2,1,2,2,0,0,0,1,3,2,1,1
"SLC6A4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-354P11.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-354P11.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BLMH",6,10,1,2,1,2,1,0,1,1,1,5,1,2,0,3,2,1,1,7,5,36,12
"CPD",14,2,3,3,7,2,2,4,10,0,6,6,0,5,2,4,2,0,1,32,12,64,21
"GOSR1",19,13,3,1,1,0,3,2,8,2,7,5,2,5,0,2,0,0,7,17,10,108,13
"TBC1D29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CRLF3",9,5,0,2,2,1,1,4,3,8,2,3,5,0,0,4,4,1,0,7,16,35,5
"CTD-2349P21.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2349P21.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ATAD5",3,2,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,19,1
"RP13-753N3.1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
"TEFM",5,2,0,0,0,0,1,1,2,2,0,0,1,0,0,2,1,1,2,1,4,30,2
"RP13-753N3.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"ADAP2",86,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,16,1,3,0
"RP11-848P1.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF135",28,8,0,1,0,2,0,2,0,4,1,2,0,0,0,1,0,1,3,8,6,67,5
"RP11-848P1.4",2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0
"RP11-848P1.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0
"NF1",17,8,1,1,3,0,1,2,2,5,1,0,0,3,0,1,2,0,5,10,9,72,8
"OMG",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"EVI2B",98,4,9,14,15,25,10,45,29,35,27,35,20,27,3,10,14,3,0,72,78,17,0
"EVI2A",94,5,14,8,13,22,12,47,24,6,40,39,7,34,3,7,13,1,0,72,90,12,1
"RAB11FIP4",2,1,2,1,4,4,0,0,3,0,0,2,0,1,1,0,2,1,0,0,5,92,1
"RP1-41C23.4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1
"COPRS",20,20,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,6,8,7,121,11
"UTP6",14,4,1,0,0,1,2,3,2,4,3,2,4,1,0,2,4,3,5,7,5,122,4
"SUZ12",21,9,1,3,2,1,2,3,6,5,3,4,1,4,0,1,3,1,2,16,14,95,9
"LRRC37B",4,4,0,0,0,0,0,2,0,1,2,2,0,0,0,0,1,0,0,3,9,38,3
"CTD-2095E4.5",0,1,0,0,3,0,1,0,2,1,0,2,0,0,0,0,1,1,0,5,3,13,0
"AC090616.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
"RHOT1",27,8,2,2,1,0,1,3,3,0,2,3,1,1,0,2,0,0,2,8,8,76,4
"RHBDL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C17orf75",6,4,0,0,0,1,0,3,3,1,0,1,0,0,0,0,1,0,1,2,4,71,3
"ZNF207",87,29,5,5,6,12,10,21,26,20,15,25,22,14,2,10,8,17,11,84,61,372,32
"RP11-227G15.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-227G15.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"RP11-227G15.12",3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,4,1
"PSMD11",74,27,4,4,7,6,7,7,7,9,7,9,5,10,1,5,9,10,7,40,51,629,26
"CDK5R1",1,0,0,0,0,0,0,2,0,1,0,0,2,1,1,0,0,0,1,0,1,0,1
"MYO1D",3,5,0,2,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,0,1,143,14
"RP11-466A19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
