"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"ZDHHC13",2,0,0,0,0,0,1,1,0,0,0,0,1,0,3,501
"E2F8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"NAV2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,332
"RP11-359E10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NAV2-AS3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"HTATIP2",26,8,0,3,3,1,3,30,10,1,2,5,0,0,26,3605
"PRMT3",0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,251
"NELL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FANCF",1,1,0,0,1,1,1,11,2,0,1,0,0,0,0,340
"GAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"SVIP",11,3,2,3,3,3,9,49,11,4,12,1,2,1,14,1390
"RP11-17A1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LUZP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"SLC5A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"BBOX1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645
"CCDC34",5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1593
"LGR4",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,437
"RP11-159H22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"LIN7C",2,3,0,0,0,0,2,10,0,1,1,0,0,0,3,682
"BDNF-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"BDNF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"KIF18A",1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,48
"METTL15",4,7,0,5,5,3,2,49,5,0,5,1,0,0,12,597
"ARL14EP",2,1,0,1,0,0,3,13,2,0,1,0,0,0,7,239
"MPPED2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DNAJC24",3,2,0,0,2,0,2,3,3,1,2,1,0,0,5,134
"IMMP1L",1,1,0,2,1,0,2,7,3,1,0,1,1,1,2,1109
"ELP4",1,1,0,0,0,0,2,4,0,0,0,1,0,1,0,208
"PAX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RCN1",22,0,0,0,0,0,2,11,2,0,0,2,0,2,1,5146
"RP1-17K7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WT1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87
"WT1-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EIF3M",34,6,3,3,11,0,8,128,22,3,15,3,3,4,45,5603
"CCDC73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PRRG4",0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,869
"QSER1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,299
"DEPDC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"TCP11L1",3,2,0,0,1,0,1,6,1,0,0,0,0,1,0,46
"LINC00294",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,61
"CSTF3",5,2,1,1,0,0,1,5,1,0,1,2,0,1,7,704
"CSTF3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HIPK3",8,4,0,0,1,0,1,13,1,0,2,0,0,2,3,526
"KIAA1549L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"RP4-541C22.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"C11orf91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CD59",68,8,3,2,9,1,5,49,7,0,9,2,0,9,40,3525
"FBXO3",2,0,4,0,2,0,4,10,3,1,4,0,1,0,7,391
"FBXO3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LMO2",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"CAPRIN1",13,2,3,1,3,1,2,12,7,0,2,0,0,1,6,1431
"NAT10",1,1,0,0,0,0,0,6,0,0,1,0,0,0,3,414
"ABTB2",0,6,0,1,1,0,0,4,3,0,0,2,0,0,2,237
"CAT",12,7,1,0,2,0,1,20,3,0,3,3,0,1,14,1235
"ELF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
"EHF",6,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1883
"APIP",16,3,1,1,0,1,0,16,5,0,2,2,2,1,10,3525
"PDHX",5,1,0,0,0,0,1,5,0,0,1,2,0,1,5,482
"RP4-607I7.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD44",227,34,13,6,39,8,41,267,68,18,46,13,9,68,156,3112
"FJX1",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126
"TRIM44",13,0,0,0,3,0,5,16,2,2,1,1,1,2,4,1523
"LDLRAD3",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,87
"COMMD9",19,0,0,0,0,0,2,9,3,0,0,2,0,1,5,798
"PRR5L",5,0,2,1,1,1,0,1,1,0,0,0,0,0,1,238
"TRAF6",0,1,0,0,0,0,1,3,2,1,0,0,0,0,5,134
"RAG1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36
"C11orf74",5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,309
"LRRC4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"API5",5,3,0,0,7,2,0,11,5,0,0,3,1,0,2,715
"TTC17",12,1,0,0,3,2,3,15,4,1,4,1,0,0,9,970
"HSD17B12",17,1,0,0,3,0,2,20,2,1,0,4,0,0,1,1974
"ALKBH3",3,1,0,1,0,1,0,7,0,0,0,0,0,0,4,481
"C11orf96",14,1,0,0,0,1,0,16,0,0,0,0,0,0,0,343
