"","Anti-inflammatory macro/mono","CAFs","CXCL13+ CD8 Tcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"TLR4",4,0,0,0,0,0,0,2,0,199,0
"RP11-281A20.2",0,0,0,0,0,0,0,0,0,1,0
"CDK5RAP2",0,0,1,2,2,0,2,0,0,702,1
"MEGF9",1,1,0,2,0,0,0,0,0,460,0
"FBXW2",1,1,1,1,3,2,1,0,1,1358,1
"PSMD5",6,1,0,2,1,0,0,0,0,762,2
"PSMD5-AS1",0,2,0,0,1,2,0,0,1,424,1
"PHF19",8,0,1,1,0,1,0,0,4,1708,0
"TRAF1",8,0,1,4,5,1,2,3,11,42,1
"C5",0,0,0,0,0,0,0,0,0,18,0
"CNTRL",1,0,0,0,1,2,2,0,1,426,0
"RAB14",5,2,1,0,1,4,0,1,5,2841,1
"GSN",42,24,0,0,0,0,0,2,1,4639,24
"RP11-477J21.6",0,0,0,0,0,0,0,0,0,5,0
"GSN-AS1",0,0,0,0,0,0,0,0,0,21,0
"STOM",9,15,0,3,2,3,2,0,1,67,8
"DAB2IP",0,1,1,0,0,0,0,0,0,841,1
"TTLL11",0,0,0,0,0,0,0,0,0,56,0
"NDUFA8",5,7,1,4,0,5,0,1,6,6062,4
"MORN5",0,0,0,0,0,0,0,0,0,5,0
"LHX6",0,0,0,0,0,0,0,0,0,1,2
"RBM18",3,2,0,1,1,2,0,0,2,1104,1
"MRRF",4,2,0,0,1,0,0,0,1,2337,2
"PTGS1",10,17,0,0,0,0,0,1,0,85,1
"RP11-542K23.7",0,0,0,0,0,0,0,0,0,1,0
"RP11-64P14.7",0,2,0,0,0,0,0,0,0,0,0
"PDCL",2,4,0,1,0,0,1,1,1,616,1
"RC3H2",2,4,1,1,0,0,0,2,1,1062,3
"ZBTB6",0,1,0,0,0,0,0,0,0,118,0
"ZBTB26",0,0,0,0,0,0,0,1,0,94,0
"RABGAP1",0,3,1,0,3,0,0,0,0,1204,1
"STRBP",1,1,1,0,0,0,1,0,0,1984,2
"CRB2",0,0,0,0,0,0,0,0,0,21,0
"DENND1A",2,0,0,0,0,0,0,0,1,423,1
"NEK6",5,3,0,0,0,0,0,0,0,3523,0
"PSMB7",23,16,2,10,3,3,0,3,8,11963,7
"ADGRD2",0,0,0,0,0,0,0,0,0,1,0
"NR6A1",1,0,0,0,0,0,0,0,0,609,0
"MIR181A2HG",0,0,0,0,0,0,0,0,0,15,0
"OLFML2A",0,3,0,0,0,0,0,0,0,27,2
"RPL35",217,199,26,184,75,159,21,51,114,209515,102
"ARPC5L",4,9,1,3,3,2,4,1,4,8723,14
"GOLGA1",0,0,1,0,0,0,0,0,0,330,0
"SCAI",0,1,0,0,0,1,1,0,1,440,0
"PPP6C",5,2,2,2,3,1,1,2,1,2283,1
"RABEPK",2,3,0,1,2,1,1,0,2,1356,1
"HSPA5",27,21,3,15,4,4,1,4,17,8451,3
"RP11-65N13.8",0,0,0,0,0,0,0,0,0,5,0
"GAPVD1",2,4,0,0,0,0,1,1,2,848,3
"MAPKAP1",3,4,0,1,2,0,0,0,2,1589,0
"PBX3",2,0,0,1,0,1,0,1,2,391,0
"MVB12B",0,1,0,0,1,0,0,0,0,371,1
"RP11-123K19.1",0,0,0,0,0,0,0,0,0,1,0
"ZBTB43",2,3,0,4,0,3,0,2,2,2522,1
"ZBTB34",1,0,0,0,0,0,0,1,0,144,0
"RALGPS1",0,1,0,0,0,0,0,0,0,433,0
"ANGPTL2",0,4,0,0,0,0,0,0,0,2,12
"GARNL3",0,0,0,0,0,0,0,0,0,45,0
"SLC2A8",1,0,1,0,0,0,0,1,1,804,0
"ZNF79",0,0,0,0,0,0,0,0,0,33,0
"RPL12",475,338,42,245,121,235,30,129,175,483074,198
"LRSAM1",0,0,1,1,0,0,0,0,1,296,0
"FAM129B",4,4,0,2,1,0,0,3,0,2974,7
"STXBP1",0,2,0,0,0,0,0,0,0,620,6
"RP11-56D16.8",0,0,0,0,0,0,0,0,0,28,0
"PTRH1",2,1,1,2,0,1,0,1,3,2146,1
"CFAP157",0,0,0,0,0,0,0,0,0,54,0
"TTC16",0,0,0,0,0,0,0,0,0,3,0
"TOR2A",4,2,1,0,2,2,0,0,0,1494,0
"SH2D3C",0,0,0,0,0,0,0,0,0,2,0
"CDK9",2,0,0,2,1,2,0,1,3,577,0
"FPGS",4,1,1,5,0,0,0,0,2,1499,0
"ENG",7,27,0,1,0,0,0,1,0,202,25
"RP11-228B15.4",0,0,0,0,0,0,0,0,0,3,0
"AK1",3,4,0,1,0,1,0,2,1,6142,10
"ST6GALNAC6",1,4,1,3,1,0,1,0,0,371,4
"ST6GALNAC4",3,1,0,0,0,0,0,0,0,523,3
"PIP5KL1",0,0,0,0,0,0,0,0,0,63,0
"RP11-203J24.8",0,0,0,0,0,0,0,0,0,2,0
"DPM2",4,6,0,0,2,0,0,0,2,3007,1
"FAM102A",2,3,0,5,3,1,0,0,1,2234,0
"NAIF1",0,1,0,0,0,0,0,0,1,175,0
"SLC25A25",0,4,0,0,1,0,1,0,0,2233,3
"RP11-379C10.4",0,0,0,0,0,0,0,0,0,1,0
"SLC25A25-AS1",0,0,0,0,0,0,0,1,0,311,0
"PTGES2",9,4,0,1,1,1,1,3,3,4443,4
"PTGES2-AS1",0,0,0,0,0,0,0,0,0,18,0
"LCN2",15,7,0,4,1,2,1,2,4,54752,5
"C9orf16",26,44,6,27,15,13,4,4,26,26571,19
"CIZ1",3,4,1,2,0,0,1,1,1,2183,2
"DNM1",0,0,0,0,0,0,0,0,0,216,0
"GOLGA2",2,7,1,0,1,0,0,0,0,1916,1
"SWI5",1,5,1,1,0,0,0,0,1,1974,1
"TRUB2",2,3,1,3,0,2,0,0,2,1580,0
