"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"LGR5",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,290,3
"ZFC3H1",8,19,0,4,6,1,0,0,7,7,0,1,15,14,3,2,7,3,1,2,11,0,3,0,23,75,24
"THAP2",27,12,1,12,3,1,1,2,10,2,2,1,11,14,6,6,12,0,2,17,12,2,28,0,23,54,13
"TMEM19",16,12,2,5,2,2,0,2,2,1,0,2,20,6,3,9,2,0,0,0,5,3,3,0,7,38,15
"RAB21",35,69,2,17,4,3,2,2,16,10,1,2,22,29,6,4,13,2,6,7,57,3,16,0,30,294,80
"RP11-2H8.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TBC1D15",14,16,3,1,10,1,0,5,18,10,1,1,10,22,4,3,7,0,5,0,25,2,4,2,42,91,65
"TPH2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRHDE",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATXN7L3B",5,15,0,2,4,0,0,0,6,4,2,0,13,9,3,2,4,0,2,1,7,0,0,1,13,96,18
"RP11-81K13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAPS2",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2
"GLIPR1L1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
