"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0
"RNF123",7,0,0,1,0,0,0,1,0,1,0,0,8,0,0,1,1,0,0,0,3,4,18,2
"GMPPB",21,1,1,5,1,1,0,1,0,0,0,3,17,1,0,3,1,0,6,4,7,8,57,2
"IP6K1",12,5,2,1,1,1,1,0,0,1,2,2,17,4,0,1,3,1,3,0,0,8,33,3
"FAM212A",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"UBA7",11,7,0,1,1,5,1,2,0,2,1,1,11,4,0,5,0,0,0,3,6,5,40,2
"TRAIP",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
"CAMKV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MST1R",2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,58,0
"MON1A",5,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,2,2,25,1
"RBM6",28,3,1,5,2,4,3,3,1,2,1,0,22,7,1,6,4,0,6,11,8,15,138,5
"RBM5",31,9,2,3,1,5,4,3,2,5,3,4,37,8,1,13,2,7,4,3,8,14,84,7
"RBM5-AS1",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"SEMA3F-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SEMA3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,23
"GNAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SLC38A3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GNAI2",376,23,4,43,1,10,4,3,8,8,9,4,62,10,1,21,11,3,13,9,130,41,58,65
"U73166.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14,0
"SEMA3B-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SEMA3B",2,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,2,138,0
"LSMEM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"IFRD2",17,4,0,5,0,0,0,1,0,0,1,0,14,2,0,7,0,0,2,0,11,3,163,10
"HYAL3",2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,2,0,9,1
"NAT6",3,1,0,1,0,1,0,0,0,0,1,0,7,1,0,2,0,2,0,1,2,2,20,2
"HYAL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"HYAL2",13,8,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,1,74,57
"TUSC2",48,2,0,4,0,3,1,3,1,2,1,3,37,6,1,9,4,2,5,2,8,21,149,9
"RASSF1",35,6,0,2,0,3,0,0,1,0,2,2,17,1,2,4,3,1,2,5,7,6,51,11
"RASSF1-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ZMYND10",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPRL2",6,1,1,3,0,2,1,0,0,0,1,0,7,0,0,3,0,0,2,0,1,3,39,1
"CYB561D2",35,2,1,3,2,1,1,2,3,0,3,2,26,8,4,6,2,3,2,3,3,15,58,2
"TMEM115",17,0,0,2,0,1,0,0,2,1,1,1,14,3,3,5,1,0,1,0,3,9,60,1
"CACNA2D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CYB561D2.1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,6,0
"C3orf18",0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"HEMK1",9,2,1,0,0,0,0,0,1,0,1,0,3,0,0,1,1,0,0,0,2,0,51,0
"CISH",5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,2,2,21,1
"MAPKAPK3",48,3,0,11,2,2,1,0,1,2,0,0,22,0,0,4,0,1,6,0,35,11,67,0
"RP11-804H8.6",2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0
"DOCK3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MANF",100,20,3,11,4,6,4,4,4,0,2,5,77,10,2,21,2,3,11,41,38,22,458,20
"RBM15B",13,4,0,2,0,0,1,1,1,1,0,0,5,2,1,5,2,0,2,0,2,3,59,3
"VPRBP",4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,22,0
"RAD54L2",5,3,0,0,0,3,1,1,0,1,0,0,4,1,0,2,0,1,0,0,4,4,22,3
"TEX264",64,8,1,6,1,2,1,0,1,1,3,2,37,8,0,8,0,2,1,1,16,12,151,7
"GRM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
