"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CTB-22K21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ABCC3",5,0,0,1,0,0,1,1,0,0,0,2,1,2405,0
"ANKRD40",10,0,1,0,3,0,0,1,1,0,0,3,2,374,3
"RP11-294J22.6",1,0,1,0,4,1,0,1,1,0,0,0,3,158,3
"LUC7L3",10,2,10,0,15,2,27,6,8,0,0,0,5,2372,13
"TOB1",11,4,17,4,6,0,14,14,8,1,4,2,11,6807,0
"RP11-700H6.1",0,0,1,0,0,0,0,0,0,0,0,0,0,17,0
"RP11-700H6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SPAG9",13,0,6,2,5,1,7,1,1,1,2,4,2,1257,9
"NME1",42,0,19,2,15,4,16,5,7,0,0,8,17,9411,6
"NME1-NME2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NME2",4,0,0,0,0,1,2,1,0,0,1,0,0,1133,0
"MBTD1",0,1,0,0,1,0,4,0,0,0,0,0,0,188,1
"UTP18",8,0,0,0,1,2,4,0,3,1,0,2,4,965,2
"CA10",0,0,1,0,2,0,3,0,1,0,0,0,0,1,0
"TOM1L1",2,0,0,0,1,0,0,0,0,0,0,0,0,1033,0
"COX11",5,0,10,1,6,0,11,2,2,0,2,1,9,1747,2
"RP11-257O5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"STXBP4",0,0,0,0,0,0,0,0,0,0,0,0,1,37,1
"HLF",0,0,1,0,1,0,3,0,2,0,0,0,4,2,0
"RP11-515O17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MMD",14,1,2,1,3,0,7,2,2,2,0,3,9,458,2
"TMEM100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCTP",5,1,1,1,2,0,1,2,0,0,0,0,2,381,0
"ANKFN1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NOG",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C17orf67",1,0,2,0,2,0,0,0,0,0,0,0,1,385,0
"DGKE",1,0,1,1,3,0,3,0,1,0,0,0,2,365,2
"TRIM25",6,0,2,0,0,1,4,1,0,0,0,4,4,1201,1
"RP11-670E13.6",7,0,2,0,2,1,2,0,0,0,0,15,5,1297,3
"COIL",2,0,2,0,2,0,6,0,1,0,0,1,2,514,2
"SCPEP1",37,0,5,0,1,2,5,2,0,1,1,9,5,200,1
"RP11-166P13.3",1,0,0,0,1,0,0,0,0,0,0,0,1,150,0
"AKAP1",6,0,0,0,0,0,2,0,0,0,0,0,1,2378,2
"RP11-166P13.4",0,0,1,0,0,0,2,0,0,0,0,0,2,112,0
"MSI2",1,2,9,2,8,1,17,0,2,0,1,1,21,2348,0
"RP11-60A24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"MRPS23",7,0,5,0,3,2,9,2,2,1,1,0,2,2276,2
