"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",0,0,0
"8639",0,NA,0
"1591",0,NA,0
"1594",1,0,0
"10993",0,0,0
"6818",2,1,2
"89874",0,NA,0
"3945",2,2,2
"3948",0,NA,0
"55293",0,1,0
"160287",0,NA,0
"92483",0,NA,0
"3939",2,0,0
"9194",1,1,1
"6566",1,1,1
"9123",0,0,0
"57835",0,NA,0
"8671",1,0,0
"1738",2,2,2
"4967",1,2,2
"1743",2,2,2
"8050",2,1,2
"128",1,2,2
"137872",1,NA,0
"130",0,NA,0
"127",0,1,0
"131",0,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",1,2,2
"117247",0,0,0
"220",0,NA,0
"221",0,0,0
"218",0,NA,0
"222",0,NA,0
"3242",0,NA,0
"18",0,1,0
"2531",1,1,1
"23498",0,0,0
"55268",1,1,1
"883",0,1,0
"51166",0,NA,0
"1644",0,NA,0
"4128",0,0,0
"4129",0,1,0
"8604",1,2,2
"10165",0,1,0
"2572",0,NA,0
"2571",0,NA,0
"51380",1,NA,0
"2805",2,2,2
"2806",2,2,2
"8659",0,1,0
"6817",1,0,0
"6799",1,NA,0
"6822",0,NA,0
"6573",0,0,0
"316",0,NA,0
"6570",0,NA,0
"6571",0,0,0
"2348",0,NA,0
"2352",0,0,0
"4125",2,1,2
"53947",0,NA,0
"51146",0,NA,0
"28",0,NA,0
"206358",0,0,0
"6538",0,NA,0
"6529",0,NA,0
"6539",0,0,0
"6540",1,NA,0
"3032",2,2,2
"10449",1,0,0
"38",1,0,0
"3030",2,2,2
"39",2,2,2
"30",2,2,2
"32",0,NA,0
"9197",0,1,0
"79611",0,NA,0
"84532",1,1,1
"64841",1,1,1
"55577",2,2,2
"5238",1,1,1
"9487",1,NA,0
"162417",0,NA,0
"43",0,NA,0
"6572",0,NA,0
"47",2,2,2
"54187",1,1,1
"26503",1,0,0
"54",0,1,0
"140838",1,1,1
"51205",1,1,1
"36",1,2,2
"34",1,2,2
"35",1,2,2
"84129",1,NA,0
"28976",1,2,2
"80724",1,1,1
"27034",1,1,1
"3712",1,2,2
"134526",0,NA,0
"51",1,1,1
"95",0,1,0
"50",2,2,2
"48",1,1,1
"8309",0,NA,0
"52",2,0,0
"55",0,0,0
"788",2,2,2
"55902",0,1,0
"65985",0,1,0
"438",0,NA,0
"1571",0,NA,0
"100",2,2,2
"3177",0,NA,0
"205",0,1,0
"204",1,2,2
"26289",0,0,0
"50808",2,2,2
"262",2,0,1
"113",1,1,1
"109",0,NA,0
"115",0,NA,0
"112",0,0,0
"107",0,NA,0
"114",0,NA,0
"55811",0,NA,0
"196883",0,NA,0
"111",0,NA,0
"108",0,NA,0
"2030",0,1,0
"9154",0,NA,0
"64078",0,0,0
"9153",0,NA,0
"55315",1,0,0
"11164",2,2,2
"952",0,1,0
"1375",1,NA,0
"1374",0,2,1
"126129",0,NA,0
"1376",1,1,1
"9061",2,1,2
"9060",0,1,0
"158",2,2,2
"10331",0,NA,0
"374907",0,0,0
"10678",2,0,1
"79369",0,NA,0
"11041",0,1,0
"93010",0,NA,0
"79814",1,1,1
"56894",0,1,0
"10555",0,0,0
"137964",1,1,1
"56895",0,1,0
"55326",0,1,0
"129642",0,0,0
"64850",0,NA,0
"64902",0,NA,0
"189",0,NA,0
"3074",2,2,2
"3073",1,1,1
"10606",1,2,2
"8402",1,2,2
"1468",0,1,0
"64849",0,NA,0
"1645",0,0,0
"1109",0,NA,0
"6718",0,1,0
"6510",1,1,1
"6509",1,1,1
"56301",0,NA,0
"6520",2,2,2
"211",2,1,2
"23464",1,0,0
"212",0,NA,0
"59272",0,NA,0
"6542",0,NA,0
"6541",1,1,1
"84889",0,NA,0
"54407",2,0,1
"81539",2,1,2
"340024",0,NA,0
"11254",0,NA,0
"57393",0,NA,0
"55089",0,NA,0
"2875",0,NA,0
"84706",0,0,0
"92745",1,1,1
"10991",0,NA,0
"284273",1,0,0
"10327",2,2,2
"8854",0,1,0
"224",1,1,1
"223",2,2,2
"216",0,0,0
"501",0,1,0
"217",0,1,0
"219",0,1,0
"239",0,0,0
"247",0,0,0
"246",0,0,0
"231",2,2,2
"8574",1,2,2
"23600",0,1,0
"115286",2,0,1
"271",2,1,2
"272",0,0,0
"270",0,NA,0
"290",0,1,0
"278",0,NA,0
"277",0,0,0
"279",1,0,0
"280",1,0,0
"6519",1,NA,0
"276",0,0,0
"11136",1,NA,0
"10998",0,NA,0
"113451",0,NA,0
"9057",2,1,2
"384",1,0,0
"445",1,0,0
"83884",0,NA,0
"10166",0,1,0
"410",1,0,0
"427",2,0,1
"9963",0,NA,0
"9962",1,NA,0
"80150",0,0,0
"440",1,1,1
"790",0,0,0
"6505",0,NA,0
"6512",0,NA,0
"6511",0,NA,0
"6507",0,0,0
"6506",0,0,0
"9296",2,1,2
"51606",2,1,2
"533",2,NA,1
"90423",0,1,0
"528",1,1,1
"525",0,NA,0
"10312",2,1,2
"127124",0,NA,0
"245973",0,NA,0
"50617",0,NA,0
"9114",2,0,1
"23545",0,1,0
"8992",2,NA,1
"535",0,1,0
"527",1,1,1
"526",2,2,2
"523",1,2,2
"529",2,2,2
"9550",2,2,2
"51382",1,1,1
"245972",0,1,0
"957",1,NA,0
"956",0,NA,0
"955",0,NA,0
"953",0,1,0
"954",0,NA,0
"377841",0,NA,0
"293",2,2,2
"291",0,1,0
"292",2,2,2
"4126",1,1,1
"8706",0,NA,0
"10317",0,NA,0
"84002",0,NA,0
"3141",1,1,1
"140679",1,NA,0
"8424",0,NA,0
"53630",0,NA,0
"635",0,0,0
"23743",0,NA,0
"10599",0,NA,0
"1244",0,NA,0
"8714",0,0,0
"28234",0,NA,0
"645",1,2,2
"644",2,2,2
"9488",1,0,0
"10380",1,2,2
"686",1,0,0
"8884",1,1,1
"80704",0,NA,0
"51733",0,NA,0
"7108",1,1,1
"50814",1,1,1
"3295",2,2,2
"6307",1,0,0
"493",2,1,2
"492",0,1,0
"491",0,NA,0
"490",2,1,2
"847",2,2,2
"6543",0,NA,0
"6547",1,NA,0
"6546",0,0,0
"166785",1,1,1
"2538",0,NA,0
"92579",1,1,1
"1373",0,0,0
