"","ImmProt_T8.EM_01","ImmProt_T8.EM_02","ImmProt_T8.EM_03","ImmProt_T8.EM_04","ImmProt_T8.EM_01_activated","ImmProt_T8.EM_02_activated","ImmProt_T8.EM_03_activated","ImmProt_T8.EM_04_activated"
"8394",1,1,0,0,1,0,1,1
"23396",1,0,0,1,1,0,1,0
"5297",1,1,0,0,1,0,1,1
"55361",0,1,0,1,0,1,1,1
"5298",1,0,0,1,1,0,1,1
"5295",1,0,0,0,1,0,0,1
"23533",0,1,0,1,0,1,1,0
"5290",1,0,1,0,1,1,0,0
"5293",1,0,0,1,1,0,1,1
"5296",NA,NA,NA,NA,NA,NA,NA,NA
"8503",NA,NA,NA,NA,NA,NA,NA,NA
"5291",1,0,0,0,1,1,0,0
"5294",0,1,0,0,1,1,0,1
"10870",1,1,1,0,0,0,1,0
"4952",0,0,0,1,0,0,0,0
"23236",0,0,0,1,0,0,0,0
"5336",0,1,1,0,1,0,0,1
"5335",0,0,0,0,0,0,0,0
"5334",0,1,1,0,0,1,1,1
"5331",1,0,1,0,1,0,0,1
"257068",NA,NA,NA,NA,NA,NA,NA,NA
"84812",NA,NA,NA,NA,NA,NA,NA,NA
"5330",0,0,0,0,0,0,0,0
"23007",NA,NA,NA,NA,NA,NA,NA,NA
"51196",NA,NA,NA,NA,NA,NA,NA,NA
"5332",0,0,0,0,1,0,0,1
"113026",NA,NA,NA,NA,NA,NA,NA,NA
"5333",1,1,0,1,0,1,0,1
"89869",0,1,0,0,0,0,1,1
"5288",NA,NA,NA,NA,NA,NA,NA,NA
"5286",1,0,0,0,1,0,1,1
"5287",0,1,1,1,1,0,1,0
"200576",0,1,0,1,1,0,1,1
"5305",1,1,1,1,1,1,1,1
"79837",1,0,1,0,1,0,1,0
"5289",0,1,1,1,0,0,0,0
"5277",NA,NA,NA,NA,NA,NA,NA,NA
"51227",NA,NA,NA,NA,NA,NA,NA,NA
"8818",NA,NA,NA,NA,NA,NA,NA,NA
"9091",1,0,0,1,0,1,1,1
"5279",NA,NA,NA,NA,NA,NA,NA,NA
"5283",NA,NA,NA,NA,NA,NA,NA,NA
"123745",NA,NA,NA,NA,NA,NA,NA,NA
"8398",1,0,1,1,0,0,0,1
"64600",NA,NA,NA,NA,NA,NA,NA,NA
"81579",NA,NA,NA,NA,NA,NA,NA,NA
"100137049",NA,NA,NA,NA,NA,NA,NA,NA
"5322",NA,NA,NA,NA,NA,NA,NA,NA
"5320",NA,NA,NA,NA,NA,NA,NA,NA
"30814",NA,NA,NA,NA,NA,NA,NA,NA
"26279",0,0,0,0,0,0,0,0
"5319",NA,NA,NA,NA,NA,NA,NA,NA
"10654",1,1,1,1,1,1,1,1
"117283",NA,NA,NA,NA,NA,NA,NA,NA
"9807",0,0,0,1,0,0,0,1
"51447",NA,NA,NA,NA,NA,NA,NA,NA
"8876",0,0,0,1,0,0,1,0
"8875",0,0,1,0,0,0,1,0
"55350",NA,NA,NA,NA,NA,NA,NA,NA
"27068",1,1,1,1,1,1,1,1
"8613",NA,NA,NA,NA,NA,NA,NA,NA
"8611",0,0,0,1,1,0,1,1
"8612",NA,NA,NA,NA,NA,NA,NA,NA
"5498",1,1,0,0,1,0,1,1
"8288",1,0,1,0,0,1,0,0
"9588",1,1,1,1,1,1,1,1
"4353",0,0,0,0,0,0,0,0
"5625",NA,NA,NA,NA,NA,NA,NA,NA
"6578",NA,NA,NA,NA,NA,NA,NA,NA
"23761",1,0,1,0,0,0,1,1
"9791",1,1,0,1,1,0,1,0
"81490",0,0,0,0,1,0,0,0
"10005",1,1,0,0,1,1,0,1
"10965",0,0,0,1,1,0,1,1
"122970",NA,NA,NA,NA,NA,NA,NA,NA
