"","GSM2859413","GSM2859441","GSM2859470","GSM2859499","GSM3109311","GSM3109312","GSM3109313","GSM3109314","GSM3109315","GSM3319754","GSM3319755","GSM3319793","GSM3319794","GSM3319828","GSM3319829","GSM3319863","GSM3319864"
"79611",1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
"84532",0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1
"64841",1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"55577",0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1
"5238",0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
"9487",0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
"162417",1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"43",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"54187",0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
"26503",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
"54",1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"140838",1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
"51205",0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
"36",1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0
"34",1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
"35",1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
"84129",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"28976",1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"80724",0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0
"27034",1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
"3712",0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
"134526",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"51",0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1
"95",1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"50",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
"48",0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
"8309",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"788",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
"55902",0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
"65985",0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
"438",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1571",0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"3177",0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"205",1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
"204",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"26289",0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"50808",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0
"109",1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
"115",1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"114",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"196883",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"108",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
