"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"9114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11164",0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
"2571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952",1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1
"51380",0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
"1375",0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2805",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1374",0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
"126129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6817",0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
"535",0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
"127124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"523",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1376",0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"6799",0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1
"9060",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9061",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4363",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
"146712",1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1
"528",1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6571",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10331",1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
"51382",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"2348",0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"90423",0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
