"","Transcriptomics","Final"
"284273",0,0
"10327",2,1
"8854",0,0
"224",0,0
"223",2,1
"216",0,0
"501",0,0
"217",0,0
"219",1,1
"239",0,0
"247",0,0
"246",0,0
"231",2,1
"8574",2,1
"23600",1,1
"115286",1,1
"271",1,1
"272",1,1
"270",0,0
"290",0,0
"278",1,1
"277",1,1
"279",1,1
"280",1,1
"6519",0,0
"276",1,1
"11136",0,0
"10998",1,1
"113451",0,0
"9057",0,0
"384",2,1
"445",1,1
"83884",0,0
"10166",1,1
"410",0,0
"427",2,1
"9963",0,0
"9962",0,0
"80150",0,0
"440",2,1
"790",1,1
"6505",0,0
"6512",0,0
"6511",0,0
"6507",1,1
"6506",0,0
"9296",2,1
"51606",2,1
"533",2,1
"90423",0,0
"528",1,1
"525",0,0
"10312",2,1
"127124",0,0
"245973",0,0
"50617",0,0
"9114",2,1
"23545",1,1
"8992",2,1
"535",0,0
"527",2,1
"526",2,1
"523",2,1
"529",2,1
"9550",2,1
"51382",2,1
"245972",0,0
"957",0,0
"956",0,0
"955",1,1
"953",0,0
"954",0,0
"377841",-1,0
"293",2,1
"291",1,1
"292",2,1
"4126",0,0
"8706",0,0
"10317",0,0
"84002",0,0
"3141",1,1
"140679",0,0
"8424",0,0
"53630",0,0
"635",0,0
"23743",0,0
"10599",0,0
"1244",1,1
"8714",0,0
"28234",0,0
"645",1,1
"644",2,1
"9488",0,0
"10380",1,1
"686",1,1
"8884",2,1
"80704",0,0
"51733",0,0
"7108",1,1
"50814",1,1
"3295",2,1
"6307",2,1
"493",2,1
"492",0,0
"491",0,0
"490",0,0
"847",2,1
"6543",1,1
"6547",0,0
"6546",0,0
"166785",0,0
"2538",0,0
"92579",0,0
"1373",0,0
"873",0,0
"10423",2,1
"8760",2,1
"1040",0,0
"56994",0,0
"10390",1,1
"64781",2,1
"10087",2,1
"6565",0,0
"9023",0,0
"1103",1,1
"162466",1,1
"9468",0,0
"5130",0,0
"6579",0,0
"6555",0,0
"6554",1,1
"55349",0,0
"1120",2,1
"1119",0,0
"60482",0,0
"6582",1,1
"6584",0,0
"6820",1,1
"10948",0,0
"19",0,0
"1118",0,0
"27159",0,0
"54682",0,0
"9058",1,1
"6576",1,1
"1159",0,0
"548596",0,0
"1160",0,0
"1158",0,0
"1152",1,1
"5172",0,0
"65010",1,1
"54675",1,1
"10559",2,1
"55907",2,1
"8034",0,0
"8824",0,0
"51805",0,0
"51004",0,0
"10229",1,1
"2650",1,1
"9245",0,0
"51301",0,0
"192134",1,1
"386757",0,0
"6535",1,1
"1384",1,1
"6583",0,0
"1431",2,1
"54677",0,0
"8140",2,1
"23428",1,1
"1036",0,0
"23657",0,0
"57379",0,0
"978",0,0
"7371",2,1
"83549",0,0
"51727",2,1
"129607",0,0
"160851",1,1
"8526",0,0
"1606",0,0
"8527",2,1
"1607",0,0
"1608",0,0
"1609",0,0
"8525",1,1
"9162",0,0
"1610",0,0
"51022",2,1
"2745",2,1
"8528",0,0
"10455",2,1
"1632",0,0
"1633",2,1
"1638",0,0
"6319",0,0
"9415",1,1
"3992",0,0
"8694",1,1
"84649",0,0
"1716",2,1
"6513",0,0
"6517",0,0
"6515",2,1
"1718",1,1
"1581",0,0
"1717",0,0
"8560",2,1
"123099",0,0
"11309",1,1
"6783",0,0
"1723",1,1
"1809",0,0
"1808",2,1
"1807",0,0
"23539",1,1
"2224",2,1
"29958",0,0
"60386",0,0
"84920",0,0
"79087",0,0
"26002",0,0
"1621",0,0
"7299",0,0
"6530",1,1
"6581",0,0
"669",2,1
"5224",1,1
"5223",2,1
"4597",0,0
"51071",2,1
"1806",1,1
"7083",0,0
"7084",0,0
"1854",2,1
"3704",2,1
"10682",2,1
"1892",2,1
"549",2,1
"1962",0,0
"1891",2,1
"11001",0,0
"28231",1,1
"53919",0,0
"10257",0,0
"28232",0,0
"2109",2,1
"2108",2,1
"2110",1,1
"55500",2,1
"55224",0,0
"8790",1,1
"51086",0,0
"2181",0,0
"2180",1,1
"2182",0,0
"81616",0,0
"51703",2,1
"23305",0,0
"116285",0,0
"5167",0,0
"5169",0,0
"6785",1,1
"60481",2,1
"54898",0,0
"79071",1,1
"1579",0,0
"2194",0,0
"10999",0,0
"376497",0,0
"230",0,0
"226",2,1
"229",0,0
"5208",0,0
"5207",0,0
"2203",1,1
"5210",1,1
"5209",2,1
"8789",1,1
"2235",0,0
"10840",0,0
"79901",0,0
"197258",0,0
"125061",0,0
"1719",2,1
"2356",1,1
"155184",-1,0
"29988",1,1
"66035",0,0
"6518",0,0
"6514",0,0
"160428",0,0
"25902",1,1
"4522",2,1
"2519",1,1
"2517",0,0
"2184",0,0
"2271",2,1
"2523",1,1
"2525",0,0
"10690",0,0
"2683",2,1
"9334",2,1
"8704",0,0
"8703",1,1
"2820",0,0
"5832",2,1
"9563",0,0
"2539",1,1
"2542",1,1
"2593",0,0
"9514",0,0
"5476",2,1
"2720",2,1
"2588",0,0
"2581",2,1
"2583",0,0
"55454",2,1
"55790",0,0
"79586",1,1
"337876",0,0
"22856",2,1
"63917",2,1
"11226",1,1
"55568",1,1
"2589",2,1
"51809",2,1
"8693",0,0
"2591",0,0
"117248",0,0
"26290",1,1
"114805",0,0
"79695",1,1
"50614",1,1
"79623",0,0
"2590",0,0
"11227",0,0
"81031",0,0
"126792",0,0
"11285",1,1
"8972",1,1
"175",2,1
"26301",0,0
"4329",0,0
"7915",1,1
"2731",0,0
"275",1,1
"2653",2,1
"2651",0,0
"55343",1,1
"8836",1,1
"79017",2,1
"8908",0,0
"2992",2,1
"2997",0,0
"2998",0,0
"2687",0,0
"6472",2,1
"6470",0,0
"2717",2,1
"2632",1,1
"2990",2,1
"8372",0,0
"26035",0,0
"54480",2,1
"2131",1,1
"2132",0,0
"27087",0,0
"26229",1,1
"135152",1,1
"4669",0,0
"64579",0,0
"9348",0,0
"8509",1,1
"3340",1,1
"2137",0,0
"2135",1,1
"2134",1,1
"144195",2,1
"154091",1,1
"11182",0,0
"56606",0,0
"6523",0,0
"178",2,1
"5837",0,0
"5834",0,0
"5836",0,0
"2729",2,1
"2730",2,1
"2746",2,1
"2747",0,0
"10841",0,0
"27165",0,0
"2744",2,1
"79751",0,0
"83733",0,0
"2639",0,0
"57084",0,0
"57030",1,1
"246213",0,0
"51179",0,0
"54363",0,0
"2628",0,0
"9380",2,1
"2712",0,0
"2713",1,1
"2710",1,1
"3029",2,1
"6536",0,0
"5226",0,0
"27232",1,1
"57678",1,1
"80055",0,0
"54965",0,0
"93183",0,0
"2936",2,1
"2876",2,1
"7001",2,1
"5052",2,1
"2879",2,1
"2877",0,0
"257202",-1,0
"2878",0,0
"2882",1,1
"10935",0,0
"2937",2,1
"2678",0,0
"2679",0,0
"2983",0,0
"4881",0,0
"3000",0,0
"2974",1,1
"4882",1,1
"2986",0,0
"2982",0,0
"2984",0,0
"2977",0,0
"9615",0,0
"763",0,0
"11238",1,1
"23556",0,0
"55650",0,0
"53905",1,1
"50506",0,0
"343",0,0
"5281",2,1
"84720",0,0
"54872",1,1
"80235",0,0
"128869",0,0
"10026",1,1
"51604",1,1
"94005",1,1
"8733",2,1
"3028",2,1
"3033",0,0
"3037",0,0
"3038",0,0
"3036",1,1
"27235",1,1
"6522",1,1
"83697",0,0
"6521",0,0
"6508",0,0
"2645",1,1
"3098",2,1
"3099",0,0
"80201",1,1
"3101",0,0
"3081",0,0
"11112",1,1
"3067",0,0
"496",0,0
"495",1,1
"8942",0,0
"3157",0,0
"3158",0,0
"54511",0,0
"3155",1,1
"3162",0,0
"26062",0,0
"197257",0,0
"6448",1,1
"3290",0,0
"3291",0,0
"3292",0,0
"3294",0,0
"51478",1,1
"3283",0,0
"3284",0,0
"80270",0,0
"57026",1,1
"3419",1,1
"3421",2,1
"3420",2,1
"3417",1,1
"3418",2,1
"7173",0,0
"3425",1,1
"587",1,1
"8501",0,0
"55586",0,0
"114134",0,0
"6526",0,0
"3422",2,1
"91734",1,1
"160728",0,0
"8801",2,1
"8802",1,1
"8803",2,1
"9990",1,1
"6560",0,0
"57468",0,0
"3795",1,1
"84679",0,0
"23315",1,1
"8564",0,0
"3938",0,0
"53",0,0
"3931",1,1
"387775",-1,0
"124637",0,0
"366",0,0
"11283",0,0
"4047",0,0
"1178",0,0
"5321",0,0
"29124",0,0
"51268",0,0
"4023",0,0
"1056",0,0
"3990",0,0
"80339",0,0
"11343",0,0
"50487",0,0
"9227",0,0
"6309",0,0
"4048",2,1
"4258",0,0
"4259",2,1
"4056",0,0
"2954",0,0
"2548",0,0
"56922",1,1
"64087",0,0
"23417",1,1
"4357",0,0
"4190",2,1
"4191",2,1
"4200",2,1
"4199",0,0
"10873",1,1
"3620",1,1
"1545",0,0
"1543",0,0
"1557",0,0
"1544",1,1
"27430",2,1
"4144",2,1
"4143",1,1
"4548",2,1
"4598",0,0
"8867",0,0
"3635",1,1
"3632",1,1
"3636",0,0
"27124",0,0
"3633",0,0
"56623",1,1
"3628",2,1
"3706",0,0
"3707",2,1
"80271",0,0
"51477",1,1
"8821",1,1
"3631",2,1
"2595",0,0
"84693",1,1
"4594",0,0
"80168",0,0
"116255",0,0
"4507",0,0
"10797",2,1
"56913",2,1
"91703",0,0
"443",0,0
"4668",0,0
"9498",0,0
"57282",-1,0
"6528",0,0
"482",1,1
"476",2,1
"480",0,0
"483",2,1
"23439",0,0
"477",0,0
"481",1,1
"478",1,1
"6549",1,1
"6550",1,1
"6548",0,0
"84735",0,0
"55748",2,1
"6559",1,1
"57419",0,0
"123041",0,0
"9187",1,1
"25769",0,0
"124583",2,1
"79077",2,1
"9583",0,0
"1841",0,0
"4832",0,0
"4830",2,1
"29922",2,1
"10201",0,0
"4831",2,1
"4833",0,0
"57127",1,1
"6005",0,0
"6557",0,0
"6558",2,1
"349565",0,0
"64802",0,0
"23057",0,0
"10135",2,1
"4837",1,1
"5409",0,0
"4843",2,1
"4846",1,1
"4842",0,0
"4860",2,1
"6580",1,1
"55808",0,0
"30833",0,0
"5251",0,0
"56953",0,0
"4907",0,0
"6476",0,0
"5009",0,0
"5019",2,1
"64064",0,0
"1629",0,0
"594",0,0
"593",0,0
"26873",0,0
"4942",2,1
"7372",0,0
"10861",0,0
"1811",0,0
"1836",0,0
"1583",0,0
"1584",0,0
"1585",0,0
"1586",0,0
"1588",0,0
"1576",1,1
"1593",0,0
"1548",0,0
"1553",1,1
"1562",0,0
"1558",0,0
"1559",0,0
"1565",1,1
"1572",0,0
"51302",0,0
"64816",0,0
"1577",0,0
"1551",0,0
"10858",0,0
"66002",0,0
"8529",0,0
"4051",0,0
"9420",0,0
"1582",0,0
"5831",1,1
"5050",0,0
"5051",0,0
"5049",1,1
"5048",2,1
"7941",0,0
"347734",0,0
"57194",0,0
"5337",0,0
"5338",0,0
"130013",0,0
"5091",0,0
"5244",0,0
"5136",0,0
"5142",2,1
"5137",1,1
"5151",0,0
"50940",0,0
"5139",0,0
"5140",1,1
"27115",0,0
"5144",2,1
"5153",1,1
"5150",1,1
"5138",0,0
"8622",0,0
"5141",0,0
"5143",1,1
"10846",0,0
"5152",0,0
"5148",0,0
"8654",0,0
"5145",0,0
"5147",2,1
"5146",0,0
"5158",0,0
"5149",0,0
"1737",2,1
"5162",2,1
"5160",2,1
"5161",0,0
"55163",1,1
"10396",1,1
"5105",0,0
"5106",1,1
"8310",0,0
"5833",0,0
"10400",0,0
"26227",0,0
"5730",0,0
"27306",0,0
"9536",1,1
"80142",0,0
"5740",0,0
"114971",1,1
"9489",0,0
"5743",0,0
"5742",0,0
"6898",0,0
"5053",0,0
"5264",2,1
"5728",2,1
"8871",1,1
"8395",1,1
"8394",0,0
"23396",0,0
"5297",2,1
"55361",0,0
"5298",1,1
"5295",2,1
"23533",2,1
"5290",0,0
"5293",2,1
"5296",1,1
"8503",1,1
"5291",0,0
"5294",2,1
"10870",1,1
"4952",1,1
"23236",0,0
"5336",1,1
"5335",0,0
"5334",0,0
"5331",0,0
"257068",1,1
"84812",0,0
"5330",0,0
"23007",0,0
"51196",0,0
"5332",0,0
"113026",1,1
"5333",0,0
"89869",0,0
"5288",0,0
"5286",1,1
"5287",0,0
"200576",0,0
"5305",2,1
"79837",2,1
"5289",0,0
"5277",1,1
"51227",2,1
"8818",0,0
"9091",1,1
"5279",1,1
"5283",0,0
"123745",-1,0
"8398",0,0
"64600",0,0
"81579",0,0
"100137049",1,1
"5322",0,0
"5320",1,1
"30814",1,1
"26279",0,0
"5319",0,0
"10654",2,1
"117283",0,0
"9807",1,1
"51447",2,1
"8876",0,0
"8875",0,0
"55350",0,0
"27068",2,1
"8613",0,0
"8611",2,1
"8612",0,0
"5498",0,0
"8288",0,0
"9588",2,1
"4353",0,0
"5625",0,0
"6578",0,0
"23761",1,1
"9791",2,1
"81490",0,0
"10005",1,1
"10965",1,1
"122970",0,0
"5805",2,1
"6303",2,1
"112483",1,1
"8566",0,0
"151531",0,0
"7378",2,1
"2944",0,0
"64080",0,0
"5959",0,0
"8608",1,1
"112724",0,0
"157506",1,1
"51109",2,1
"57665",2,1
"195814",0,0
"145226",0,0
"50700",0,0
"8228",0,0
"113278",0,0
"54981",0,0
"6482",2,1
"6484",0,0
"6483",0,0
"10090",1,1
"9653",0,0
"3423",2,1
"222537",0,0
"9957",0,0
"9951",0,0
"9956",1,1
"9955",0,0
"9953",1,1
"55501",0,0
"113189",0,0
"50515",2,1
"166012",0,0
"411",0,0
"23563",1,1
"4166",0,0
"10164",0,0
"9435",1,1
"8534",1,1
"9469",1,1
"56548",0,0
"266722",0,0
"9394",1,1
"90161",0,0
"2799",2,1
"10157",0,0
"118881",1,1
"3176",0,0
"1757",1,1
"81537",1,1
"6652",1,1
"6342",2,1
"9056",0,0
"55304",0,0
"9517",1,1
"10558",2,1
"2098",2,1
"8879",2,1
"8869",2,1
"56848",0,0
"8877",1,1
"130752",0,0
"339221",0,0
"55627",2,1
"55512",1,1
"6609",0,0
"6610",0,0
"259230",1,1
"116369",0,0
"115111",0,0
"115019",0,0
"284129",0,0
"26266",0,0
"6646",2,1
"6649",0,0
"6648",1,1
"6647",2,1
"6697",1,1
"6723",2,1
"6611",2,1
"6713",1,1
"2222",2,1
"6715",1,1
"6716",0,0
"15",1,1
"6532",0,0
"6487",0,0
"10402",0,0
"10610",0,0
"81849",0,0
"256435",0,0
"30815",1,1
"6489",1,1
"29906",0,0
"412",1,1
"6391",2,1
"6390",2,1
"6392",2,1
"6389",2,1
"6821",0,0
"6533",0,0
"5092",0,0
"23530",0,0
"79178",1,1
"6567",0,0
"1890",1,1
"55217",0,0
"7296",2,1
"11181",0,0
"80162",0,0
"7166",0,0
"121278",0,0
"169355",0,0
"6999",0,0
"6561",0,0
"6916",1,1
"7054",0,0
"7306",0,0
"10020",2,1
"29880",2,1
"7355",1,1
"7358",0,0
"23169",2,1
"80146",2,1
"5168",0,0
"84912",0,0
"3906",0,0
"7357",1,1
"11046",1,1
"54576",0,0
"54575",1,1
"54657",1,1
"54659",1,1
"54658",1,1
"54577",1,1
"54600",0,0
"54579",1,1
"54578",1,1
"7364",-1,0
"54490",0,0
"7367",0,0
"7365",-1,0
"10720",0,0
"7363",0,0
"54963",0,0
"7498",1,1
"9942",0,0
"64132",0,0
"64131",2,1
"51181",2,1
"64077",1,1
"5464",2,1
"10724",2,1
"94033",-1,0
"2495",2,1
"1356",1,1
"2512",2,1
"1727",2,1
"51706",0,0
"51700",0,0
"10587",0,0
"80347",2,1
"84618",0,0
"22978",2,1
"51251",0,0
"93034",0,0
"100526794",2,1
"353",2,1
"3251",2,1
"56954",2,1
"5313",1,1
"728441",0,0
"124975",0,0
"91227",0,0
"102724197",0,0
"92086",0,0
"2686",0,0
"5211",0,0
"1491",0,0
"2819",1,1
"29925",1,1
"29926",0,0
"102724560",0,0
"875",0,0
"249",0,0
"22934",2,1
"2766",0,0
"51292",2,1
"57571",0,0
"8833",2,1
"5538",2,1
"641371",1,1
"11332",1,1
"55825",2,1
"51102",1,1
"37",2,1
"33",0,0
"132158",1,1
"641649",0,0
"23475",0,0
"50484",1,1
"6240",2,1
"6241",2,1
"3156",2,1
"79966",0,0
"10588",1,1
"84890",2,1
"80025",2,1
"53354",0,0
"79646",2,1
"83594",0,0
"7263",0,0
"26275",1,1
"29920",1,1
"7389",1,1
"1595",2,1
"130367",0,0
"10478",0,0
"23443",0,0
"64240",0,0
"64241",0,0
"284111",0,0
"8435",1,1
"3988",1,1
"377677",0,0
"767",0,0
"765",1,1
"759",0,0
"760",0,0
"23632",0,0
"766",1,1
"771",1,1
"768",0,0
"762",0,0
"10057",0,0
"6556",0,0
"6568",0,0
"7779",2,1
"54020",1,1
"215",0,0
"5825",2,1
"641372",0,0
"9045",2,1
"4017",0,0
"84105",1,1
"25830",1,1
"84569",0,0
"4025",0,0
"54995",2,1
"93492",-1,0
"1267",2,1
"10249",0,0
"1573",1,1
"1580",0,0
"199974",0,0
"260293",0,0
"1555",0,0
"1549",0,0
"57834",0,0
"29785",1,1
"1215",0,0
"1357",0,0
"93979",0,0
"57094",0,0
"1358",0,0
"7177",0,0
"64499",0,0
"23430",1,1
"1636",1,1
"9365",0,0
"9331",0,0
"7368",0,0
"5315",1,1
"1666",2,1
"874",0,0
"10901",1,1
"126410",1,1
"2053",0,0
"8897",1,1
"8898",2,1
"9152",1,1
"9497",1,1
"115584",0,0
"6575",0,0
"6574",2,1
"142680",0,0
"6534",1,1
"3293",0,0
"1622",2,1
"225",0,0
"28965",0,0
"23205",0,0
"26061",0,0
"54716",0,0
"6564",0,0
"113235",0,0
"1200",2,1
"2168",0,0
"51056",2,1
"9390",0,0
"5184",1,1
"4891",0,0
"30061",0,0
"248",0,0
"4524",0,0
"25796",1,1
"28982",0,0
"6120",0,0
"10864",0,0
"9376",1,1
"9356",0,0
"348932",0,0
"120103",0,0
"1080",0,0
"85320",0,0
"222962",0,0
"10351",0,0
"9429",0,0
"55867",0,0
"364",0,0
"89872",0,0
"360",0,0
"21",0,0
"24",0,0
"125206",0,0
"200010",0,0
"6524",1,1
"159963",0,0
"55065",0,0
"79581",0,0
"3767",0,0
"6833",0,0
"10060",0,0
"3764",0,0
"5947",0,0
"64220",0,0
"5950",0,0
"5948",0,0
"949",0,0
"29881",0,0
"2350",1,1
"3248",0,0
"166929",0,0
"56261",0,0
"3658",0,0
"203",1,1
"122481",0,0
"159",2,1
"122622",0,0
"11212",2,1
"383",1,1
"1371",2,1
"1503",2,1
"56474",1,1
"2987",2,1
"5860",2,1
"9453",0,0
"2027",0,0
"2026",2,1
"2023",2,1
"9843",0,0
"80308",0,0
"7360",2,1
"26330",0,0
"2597",2,1
"9945",0,0
"2673",2,1
"2752",2,1
"51557",0,0
"1800",0,0
"2762",0,0
"2643",2,1
"761",0,0
"359",1,1
"4284",0,0
"361",0,0
"358",0,0
"362",1,1
"3145",2,1
"586",0,0
"3614",1,1
"3615",2,1
"682",2,1
"4351",1,1
"441024",0,0
"100287639",-1,0
"65220",0,0
"389015",-1,0
"6553",0,0
"2821",2,1
"5230",2,1
"5232",0,0
"375056",0,0
"5236",2,1
"55276",1,1
"5373",0,0
"5372",0,0
"210",0,0
"60490",1,1
"79717",2,1
"58510",0,0
"153201",-1,0
"5634",2,1
"5631",2,1
"221823",0,0
"29968",0,0
"5723",0,0
"55312",2,1
"6888",2,1
"79896",0,0
"84076",0,0
"7086",2,1
"8277",1,1
"27010",1,1
"7167",2,1
"286016",-1,0
"2582",0,0
"6675",2,1
"91373",0,0
"7390",1,1
"8170",0,0
"6563",0,0
"374569",0,0
"100507855",0,0
"55191",0,0
"132",0,0
"97",2,1
"98",1,1
"112611",1,1
"51005",0,0
"471",2,1
"435",1,1
"171425",0,0
"10007",1,1
"132789",1,1
"2584",0,0
"2585",0,0
"2592",1,1
"5471",1,1
"84264",0,0
"3034",0,0
"144193",0,0
"2739",2,1
"3613",1,1
"3612",2,1
"8776",2,1
"2978",1,1
"4953",2,1
"5214",2,1
"5213",0,0
"6569",0,0
"10050",0,0
"10568",0,0
"10786",0,0
"10246",0,0
"5198",2,1
"113675",0,0
"7298",0,0
"131669",0,0
"5973",0,0
"1635",2,1
"286297",0,0
"10560",0,0
"191",2,1
"10768",2,1
"25874",2,1
"51660",2,1
"57198",0,0
"5205",1,1
"23250",1,1
"286410",1,1
"5243",0,0
"55856",2,1
"7350",0,0
"26027",0,0
"10058",0,0
"51458",0,0
"948",0,0
"10928",2,1
"1728",0,0
"2946",0,0
"125981",0,0
"55331",1,1
"340485",-1,0
"2760",0,0
"5660",2,1
"57704",1,1
"4759",1,1
"10825",1,1
"7903",1,1
"5407",0,0
"119548",0,0
"5408",0,0
"221955",0,0
"9388",0,0
"13",0,0
"57104",0,0
"3991",0,0
"747",0,0
"8513",0,0
"5406",0,0
"2170",0,0
"2171",2,1
"2167",0,0
"2172",0,0
"646480",-1,0
"2173",0,0
"646486",-1,0
"2169",0,0
"6296",0,0
"341392",-1,0
"54988",0,0
"123876",0,0
"348158",0,0
"344967",-1,0
"154141",1,1
"51099",1,1
"253558",1,1
"84513",1,1
"64748",0,0
"9890",0,0
"9663",2,1
"196051",0,0
"79948",0,0
"23175",2,1
"64900",0,0
"85465",1,1
"122618",0,0
"201164",2,1
"23646",0,0
"590",0,0
"91012",1,1
"204219",0,0
"10715",1,1
"253782",0,0
"29956",2,1
"79603",0,0
"56624",1,1
"55757",0,0
"145173",1,1
"644974",-1,0
"56886",2,1
"152586",0,0
"55830",2,1
"170384",1,1
"283358",0,0
"148789",0,0
"2526",1,1
"84750",0,0
"644378",-1,0
"55624",0,0
"83468",0,0
"168391",0,0
"338707",0,0
"146664",0,0
"360203",-1,0
"56983",2,1
"3703",2,1
"124872",0,0
"8473",2,1
"8708",0,0
"2529",0,0
"8702",1,1
"8707",1,1
"200810",-1,0
"84752",1,1
"201595",0,0
"140687",0,0
"51228",2,1
"284004",0,0
"79411",0,0
"27090",1,1
"129807",0,0
"2524",0,0
"2528",0,0
"2527",0,0
"113612",0,0
"493869",0,0
"64180",1,1
"64174",0,0
"10728",2,1
"11102",2,1
"91179",0,0
"10826",0,0
"266740",0,0
"3930",2,1
"4645",0,0
"3069",1,1
"4864",0,0
"285440",1,1
"79644",1,1
"1646",0,0
"51170",2,1
"51144",2,1
"8630",0,0
"158160",2,1
"83401",0,0
"64834",2,1
"79993",0,0
"401494",1,1
"192286",2,1
"201562",2,1
"9200",1,1
"51495",2,1
"253017",0,0
"9524",0,0
"283985",-1,0
"3995",1,1
"1155",2,1
"114571",0,0
"123096",0,0
"57016",0,0
"55277",0,0
"79707",2,1
"64122",1,1
"9917",2,1
"79672",2,1
"92370",1,1
"390928",-1,0
"93650",1,1
"139596",0,0
"55066",0,0
"283208",0,0
"5033",2,1
"8974",0,0
"58478",2,1
"55256",2,1
"259307",0,0
"81894",2,1
"51312",0,0
"138639",0,0
"23203",0,0
"9896",1,1
"374462",-1,0
"163404",0,0
"22908",2,1
"22876",1,1
"84814",0,0
"51559",0,0
"29085",0,0
"64419",2,1
"145553",0,0
"51496",1,1
"8446",2,1
"9107",2,1
"23371",1,1
"9108",1,1
"55613",0,0
"403313",1,1
"9562",0,0
"3705",0,0
"138429",0,0
"10170",0,0
"9249",1,1
"220074",0,0
"1733",0,0
"1735",0,0
"1734",0,0
"6819",0,0
"27284",0,0
"84274",0,0
"4297",0,0
"55904",0,0
"55870",2,1
"79723",0,0
"79813",0,0
"387893",0,0
"8085",0,0
"58508",1,1
"9869",1,1
"9757",0,0
"80854",0,0
"9739",0,0
"64754",1,1
"84444",0,0
"10919",0,0
"64324",1,1
"23067",2,1
"6839",2,1
"83852",0,0
"54904",1,1
"84787",0,0
"29072",2,1
"7468",0,0
"51111",0,0
"6419",0,0
"90701",0,0
"9789",2,1
"23478",2,1
"28972",2,1
"60559",2,1
"57171",0,0
"4249",0,0
"25834",0,0
"137902",0,0
"7837",1,1
"9677",0,0
"23262",2,1
"26007",0,0
"158584",0,0
"283209",1,1
"23491",1,1
"221223",0,0
"1208",1,1
"55244",0,0
"146802",0,0
"345274",-1,0
"116085",0,0
"123688",0,0
"56898",0,0
"51171",1,1
"84869",1,1
"51741",1,1
"10202",0,0
"1487",2,1
"93517",0,0
"121214",0,0
"10553",2,1
"100288072",-1,0
"374875",0,0
"441282",-1,0
"340811",-1,0
"133121",0,0
"85007",0,0
"250",0,0
"251",0,0
"123264",0,0
"200931",0,0
"10941",0,0
"79799",0,0
"10476",2,1
"518",2,1
"498",2,1
"516",2,1
"522",2,1
"515",2,1
"9551",2,1
"27109",0,0
"267020",-1,0
"509",2,1
"513",2,1
"514",2,1
"517",0,0
"521",2,1
"10632",2,1
"506",2,1
"539",2,1
"29796",2,1
"4519",-1,0
"1537",2,1
"7381",2,1
"10975",2,1
