"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-542G1.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0
"RCHY1",30,82,0,2,17,0,2,5,2,6,2,1,2,3,0,20,10,19,281,17,11
"THAP6",17,35,0,0,3,0,0,0,0,9,1,0,1,3,0,4,4,6,88,3,3
"C4orf26",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
"CDKL2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
"G3BP2",93,130,0,4,28,1,8,5,4,56,6,0,2,4,0,34,25,43,456,44,7
"USO1",70,259,0,3,23,2,2,3,1,6,3,2,1,3,2,23,8,18,482,38,13
"RP11-556N4.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
"NAAA",85,41,1,6,5,1,0,2,1,12,2,0,8,0,0,10,22,19,62,4,6
"SDAD1",44,123,0,3,29,0,9,6,2,15,3,0,3,2,4,17,8,11,354,23,4
"CXCL9",87,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
"ART3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"CXCL10",27,286,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,2,21,1,0
"CXCL11",1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0
"NUP54",30,114,0,1,19,1,2,2,2,12,0,1,2,4,1,8,9,7,255,16,6
"SCARB2",262,619,0,3,98,0,0,9,1,0,0,2,2,0,4,46,30,7,676,60,12
"FAM47E",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,106,2,0
"STBD1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,1
"SHROOM3",8,28,0,1,2,0,1,1,0,0,0,1,0,0,0,6,1,4,606,2,1
"SOWAHB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SEPT11",53,706,1,0,105,0,2,10,0,13,1,1,3,4,7,101,7,11,453,58,9
"CCNI",700,2217,8,30,430,8,19,29,20,149,34,31,34,31,14,306,194,194,2156,348,201
"CCNG2",37,90,0,2,23,0,0,4,0,1,0,0,2,0,0,15,13,7,163,22,8
"CXCL13",2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
