"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"PVRL1",9,3,0,0,0,3,0,0,0,0,0,0,0,1,9,3,0,173,2,0
"TRIM29",13,6,0,0,0,1,0,0,2,0,0,2,0,48,2,2,3,1507,3,0
"AP000679.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"OAF",21,31,0,0,0,89,1,0,0,1,1,1,0,3,10,6,0,263,45,0
"POU2F3",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,37,1,0
"TMEM136",6,9,0,0,0,6,0,0,1,0,0,0,0,0,12,0,8,20,14,1
"ARHGEF12",33,21,0,1,0,9,0,0,4,2,1,5,0,5,26,3,13,764,78,4
"GRIK4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"RP11-640N11.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TBCEL",7,3,0,0,0,6,0,0,0,0,1,0,0,0,2,1,3,34,4,1
"TECTA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC5D",19,6,0,2,0,15,1,0,6,5,2,1,0,8,3,9,10,687,6,2
"SORL1",125,1,1,0,0,0,0,0,13,1,10,8,3,0,0,36,25,525,2,0
"MIR100HG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBASH3B",53,1,0,0,1,3,0,0,0,1,1,1,0,1,1,8,7,52,3,0
"CRTAM",12,0,11,5,2,1,1,0,0,9,0,5,0,0,0,6,1,2,0,0
"C11orf63",5,2,0,0,1,5,1,0,2,3,1,0,1,0,1,0,3,0,6,0
"HSPA8",796,402,39,40,14,216,33,9,126,108,43,68,6,68,164,174,301,9600,384,13
"CLMP",0,72,0,0,0,72,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"GRAMD1B",14,2,0,0,0,0,0,0,3,0,0,1,1,0,1,4,3,99,9,0
"SCN3B",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,0
"ZNF202",5,1,0,0,0,2,0,0,2,0,0,1,0,0,2,1,0,59,3,0
"VWA5A",36,4,0,1,0,16,0,22,3,0,0,1,0,1,3,3,8,335,10,0
"TBRG1",79,35,0,1,5,38,0,2,11,7,6,3,1,7,17,29,29,756,28,3
"SIAE",13,5,0,0,0,5,0,0,3,1,0,0,0,13,22,3,0,567,18,0
"SPA17",13,8,0,0,0,7,0,0,0,0,0,0,0,6,3,4,1,358,2,1
"NRGN",17,2,1,0,0,0,0,0,0,0,0,0,0,0,6,19,0,33,34,1
"RP11-677M14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"VSIG2",1,2,0,0,1,1,1,0,1,0,0,0,0,7,0,0,0,279,2,0
"ESAM",5,1,0,0,0,1,0,0,0,0,0,1,0,1,86,1,2,50,407,4
"RP11-677M14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,49,3,0
"MSANTD2",6,3,1,0,0,1,1,0,1,2,0,1,0,0,0,0,2,49,7,1
"AP000866.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RP11-677M14.7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0
"ROBO3",8,17,1,0,0,7,0,0,0,0,0,1,0,0,1,1,0,12,14,0
"ROBO4",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,142,0
"HEPACAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEPN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC15",4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,25,0,0
"SLC37A2",59,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,2,6,1,0
"TMEM218",40,16,0,0,0,19,0,1,0,2,1,2,0,4,7,5,7,205,14,1
"PKNOX2",0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"FEZ1",1,35,0,0,0,57,0,0,0,0,0,0,0,0,24,0,0,10,11,0
"AP000708.1",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
"EI24",71,72,1,4,2,67,0,2,15,3,4,3,0,11,30,19,7,1103,77,8
"STT3A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"STT3A",36,27,1,2,1,17,0,0,1,4,2,1,0,9,12,6,8,968,16,0
"CHEK1",8,7,0,0,0,5,0,0,0,1,0,0,1,4,2,1,1,231,8,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HYLS1",1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,105,7,0
"PUS3",8,6,1,2,0,6,0,0,0,2,0,1,0,0,2,2,5,104,15,0
