"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"PLCD1",1,3,1,1,94,0,2,1,0,4,1,3,0,0,0,30,1,0,5,3,3
"DLEC1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACAA1",28,8,21,9,283,1,6,6,1,10,8,3,0,4,0,109,4,2,56,12,8
"MYD88",31,7,9,0,61,0,2,0,0,6,2,0,0,2,0,24,0,1,62,1,2
"OXSR1",11,6,3,4,24,1,0,2,0,4,1,1,0,3,0,24,0,0,18,5,2
"XYLB",1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0
"ACVR2B-AS1",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ACVR2B",3,0,0,4,21,0,0,1,0,0,1,0,0,1,0,12,1,1,0,0,1
"EXOG",5,1,0,3,83,3,0,4,0,4,3,3,2,3,1,11,1,1,2,2,3
"SCN5A",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCN11A",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WDR48",13,0,1,4,92,0,1,3,0,4,5,2,0,0,1,20,1,0,8,5,5
"GORASP1",10,1,2,3,41,0,1,0,0,0,0,0,0,1,0,15,2,0,6,8,2
"TTC21A",0,0,0,0,18,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0
"CSRNP1",17,57,1,12,355,0,0,3,0,6,5,2,1,4,1,9,6,0,33,39,8
"CX3CR1",2,0,6,0,2,0,0,0,0,0,1,0,0,16,0,0,1,0,20,0,0
"SLC25A38",9,2,3,4,78,1,2,1,0,8,8,2,1,4,0,39,0,0,3,2,4
"RPSA",851,631,302,139,8615,66,288,103,30,863,474,84,116,190,40,3947,89,29,790,209,193
"MOBP",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MYRIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0
"EIF1B",101,38,17,30,1039,2,8,23,3,31,15,19,1,5,1,128,13,3,91,19,28
"ENTPD3-AS1",11,3,1,3,85,0,2,3,1,0,0,1,0,2,0,23,2,0,8,2,5
"ENTPD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"RPL14",1748,784,463,190,15553,54,266,203,69,835,535,129,133,217,39,4112,168,46,1215,351,542
"ZNF619",1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ZNF620",1,0,0,1,7,0,0,2,0,0,0,0,0,2,0,3,0,0,0,2,5
"ZNF621",7,3,0,4,39,0,0,1,0,2,1,1,0,0,0,5,2,0,3,3,0
"RP11-761N21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTNNB1",62,4,9,13,309,0,1,6,2,6,7,3,1,6,0,97,5,0,58,39,17
"ULK4",2,1,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"TRAK1",13,0,4,3,51,1,0,2,0,2,0,1,0,0,0,25,1,0,8,3,6
"CCK",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIPR1",3,1,0,0,6,0,0,1,0,0,0,0,0,0,0,37,1,1,2,0,1
"VIPR1-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEC22C",19,1,4,13,296,1,0,7,0,5,7,3,0,5,0,8,5,0,1,3,12
"SS18L2",34,5,13,1,250,3,6,12,1,27,21,3,1,5,1,71,2,5,46,14,8
"NKTR",59,14,11,17,423,1,11,31,0,29,13,8,2,10,4,109,10,6,25,56,12
"RP4-613B23.1",0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB47",0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
"KLHL40",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC13",0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0
"HHATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-70C1.1",3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"HIGD1A",30,12,8,11,709,1,5,3,5,16,11,5,2,6,0,248,7,0,27,9,16
"ACKR2",0,0,0,0,16,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0
"KRBOX1",0,0,0,2,50,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
"ZNF662",1,0,0,0,21,0,0,1,0,1,0,0,0,0,0,2,1,0,0,2,0
"FAM198A",5,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"POMGNT2",3,5,1,1,151,0,1,0,0,2,1,0,1,0,0,6,2,0,4,1,3
"SNRK",19,3,2,2,59,0,0,1,0,9,9,1,0,6,0,14,5,0,17,18,5
"RP11-188P20.3",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ANO10",2,1,1,3,68,0,0,3,0,1,1,1,0,0,0,27,2,0,6,3,2
"ABHD5",19,22,3,7,181,0,3,0,0,15,1,2,0,7,0,35,4,0,79,6,1
"RP11-424N24.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCAIM",7,4,1,3,55,1,1,0,0,1,1,0,0,0,0,22,1,0,13,4,3
"LINC00694",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"ZNF445",8,1,1,2,37,0,0,1,1,1,1,0,0,2,0,6,1,0,10,2,1
"ZNF852",1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"ZKSCAN7",1,2,0,0,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"RP11-944L7.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF660",1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0
"ZNF197",10,3,1,0,34,0,1,2,0,0,2,0,0,0,0,11,0,0,2,0,1
"ZNF35",1,1,1,1,20,0,0,0,0,0,0,0,1,2,1,2,1,0,1,0,0
