"","x"
"27087",0
"4758",1
"80270",1
"57026",0
"5476",2
"135152",0
"2588",0
"26229",2
"2581",0
"4669",0
"3421",2
"2583",1
"55454",2
"3420",3
"3340",3
"8509",0
"9348",0
"55790",2
"64579",0
"3419",1
"79586",1
"3417",1
"2137",0
"3418",3
"22856",3
"337876",0
"7173",0
"2135",1
"2134",1
"55568",0
"56606",1
"2590",0
"154091",0
"3425",0
"2591",1
"144195",1
"11182",2
"114805",0
"6523",0
"587",1
"8693",0
"63917",0
"50614",0
"8501",0
"2589",2
"178",1
"51809",0
"55586",0
"114134",1
"117248",0
"11227",0
"6526",2
"11226",1
"79695",0
"79623",0
"3422",1
"91734",0
"26290",0
"81031",0
"126792",1
"5837",0
"5836",0
"5834",3
"160728",0
"8801",3
"11285",0
"8802",2
"2729",0
"8972",0
"2618",2
"2730",2
"8803",2
"10723",1
"9990",0
"2746",3
"6560",1
"2747",2
"5019",3
"10841",0
"57468",0
"3795",0
"1629",0
"27165",0
"594",0
"2744",3
"8564",0
"3938",0
"593",1
"26873",0
"79751",1
"83733",0
"4942",2
"2639",2
"53",0
"3931",0
"7372",0
"57084",0
"1811",0
"246213",0
"57030",1
"387775",1
"10861",0
"1836",1
"124637",0
"51179",1
"54363",0
"366",1
"1583",3
"2628",1
"1584",0
"1585",0
"11283",0
"9380",3
"1586",0
"2713",0
"4047",2
"1588",0
"29124",0
"5321",1
"2710",1
"1576",0
"2712",0
"1178",1
"51268",0
"1056",0
"3029",2
"6536",0
"1589",1
"1593",0
"3990",0
"1548",0
"80339",0
"4023",1
"5226",3
"1553",1
"11343",1
"1562",0
"27232",0
"1558",0
"57678",0
"50487",1
"284098",0
"1559",1
"93183",0
"9227",1
"1565",2
"54965",1
"1572",0
"51302",0
"2936",2
"6309",0
"64816",0
"4048",3
"1577",0
"4056",1
"5052",3
"7001",3
"1551",0
"4259",3
"10858",0
"2876",3
"66002",1
"8529",1
"2879",3
"4258",1
"4051",0
"9420",1
"1582",0
"2877",0
"5831",0
"2878",1
"2954",0
"257202",1
"2882",1
"5048",3
"2548",0
"10935",3
"5051",0
"5050",2
"2937",2
"5049",3
"64087",3
"7941",0
"56922",1
"23417",0
"2678",0
"347734",2
"57194",0
"5337",0
"4357",2
"5338",0
"2679",0
"4190",1
"130013",0
"4191",3
"4200",3
"4881",1
"5091",0
"4882",0
"2984",0
"2974",0
"2982",1
"2986",0
"4199",0
"10873",2
"3620",1
"2983",0
"3000",0
"1557",0
"1545",0
"5244",0
"2977",0
"1543",1
"1544",1
"9615",0
"4144",2
"4143",3
"5150",2
"27430",3
"4548",1
"763",0
"5143",1
"11238",2
"4598",0
"5137",2
"3636",1
"5151",0
"23556",0
"55650",0
"3635",3
"3633",1
"8867",0
"5140",0
"27124",0
"53905",0
"50506",1
"5142",1
"343",0
"5281",0
"3632",2
"10846",0
"84720",1
"56623",1
"5141",0
"8622",0
"3628",0
"3707",1
"80235",0
"5144",0
"3706",0
"5153",0
