"","x"
"27087",0
"4758",0
"80270",0
"57026",1
"5476",2
"135152",1
"2588",0
"26229",1
"2581",2
"4669",0
"3421",2
"2583",0
"55454",2
"3420",2
"3340",1
"8509",1
"9348",0
"55790",0
"64579",0
"3419",1
"79586",1
"3417",1
"2137",0
"3418",2
"22856",2
"337876",0
"7173",0
"2135",1
"2134",1
"55568",0
"56606",0
"2590",0
"154091",1
"3425",1
"2591",0
"144195",2
"11182",0
"114805",0
"6523",0
"587",1
"8693",0
"63917",2
"50614",1
"8501",0
"2589",2
"178",2
"51809",2
"55586",0
"114134",0
"117248",0
"11227",0
"6526",0
"11226",1
"79695",1
"79623",0
"3422",2
"91734",1
"26290",1
"81031",0
"126792",0
"5837",0
"5836",0
"5834",0
"160728",0
"8801",2
"11285",1
"8802",1
"2729",2
"8972",1
"2618",1
"2730",2
"8803",2
"10723",2
"9990",1
"2746",2
"6560",0
"2747",0
"5019",2
"10841",0
"57468",0
"3795",1
"1629",0
"27165",0
"594",0
"2744",2
"8564",0
"3938",0
"593",0
"26873",0
"79751",0
"83733",0
"4942",2
"2639",0
"53",0
"3931",1
"7372",0
"57084",0
"1811",0
"246213",0
"57030",1
"387775",-1
"10861",0
"1836",0
"124637",0
"51179",0
"54363",0
"366",0
"1583",0
"2628",0
"1584",0
"1585",0
"11283",0
"9380",2
"1586",0
"2713",1
"4047",0
"1588",0
"29124",0
"5321",0
"2710",1
"1576",1
"2712",0
"1178",0
"51268",0
"1056",0
"3029",2
"6536",0
"1589",0
"1593",0
"3990",0
"1548",0
"80339",0
"4023",0
"5226",0
"1553",1
"11343",0
"1562",0
"27232",1
"1558",0
"57678",1
"50487",0
"284098",1
"1559",0
"93183",0
"9227",0
"1565",1
"54965",0
"1572",0
"51302",0
"2936",2
"6309",0
"64816",0
"4048",2
"1577",0
"4056",0
"5052",2
"7001",2
"1551",0
"4259",2
"10858",0
"2876",2
"66002",0
"8529",0
"2879",2
"4258",0
"4051",0
"9420",0
"1582",0
"2877",0
"5831",1
"2878",0
"2954",0
"257202",-1
"2882",1
"5048",2
"2548",0
"10935",0
"5051",0
"5050",0
"2937",2
"5049",1
"64087",0
"7941",0
"56922",1
"23417",1
"2678",0
"347734",0
"57194",0
"5337",0
"4357",0
"5338",0
"2679",0
"4190",2
"130013",0
"4191",2
"4200",2
"4881",0
"5091",0
"4882",1
"2984",0
"2974",1
"2982",0
"2986",0
"4199",0
"10873",1
"3620",1
"2983",0
"3000",0
"1557",0
"1545",0
"5244",0
"2977",0
"1543",0
"1544",1
"9615",0
"4144",2
"4143",1
"5150",1
"27430",2
"4548",2
"763",0
"5143",1
"11238",1
"4598",0
"5137",1
"3636",0
"5151",0
"23556",0
"55650",0
"3635",1
"3633",0
"8867",0
"5140",1
"27124",0
"53905",1
"50506",0
"5142",2
"343",0
"5281",2
"3632",1
"10846",0
"84720",0
"56623",1
"5141",0
"8622",0
"3628",2
"3707",2
"80235",0
"5144",2
"3706",0
"5153",1
"80271",0
"94005",1
"27115",0
"128869",0
"51477",1
"10026",1
"5138",0
"51604",1
"3631",2
"5139",0
"8821",1
"50940",0
"2595",0
"84693",1
"8733",2
"5136",0
"4594",0
"3028",2
"5152",0
"3033",0
"3037",0
"80168",0
"116255",0
"5146",0
"4507",0
"3038",0
"3036",1
"27235",1
"6521",0
"83697",0
"10797",2
"56913",2
"443",0
"91703",0
"6522",1
"6508",0
"5145",0
"4668",0
"9498",0
"57282",-1
"6528",0
"3098",2
"80201",1
"8654",0
"2645",1
"483",2
"3101",0
"5149",0
"478",1
"480",0
"481",1
"3099",0
"5147",2
"482",1
"476",2
"477",0
"23439",0
"3081",0
"11112",1
"3067",0
"6549",1
"6550",1
"5148",0
"496",0
"6548",0
"495",1
"55748",2
"5158",0
"84735",0
"6559",1
"8942",0
"5162",2
"3157",0
"5161",0
"123041",0
"1737",2
"3158",0
"5160",2
"55163",1
"25769",0
"54511",0
"10396",1
"57419",0
"9187",1
"5105",0
"124583",2
"3155",1
"5106",1
"3162",0
"3163",2
"79077",2
"8310",0
"9583",0
"26062",0
"197257",0
"5833",0
"1841",0
"10400",0
"6448",1
"29922",2
"26227",0
"10201",0
"5730",0
"4830",2
"27306",0
"80142",0
"4831",2
"4832",0
"200576",0
"8396",1
"9536",1
"4833",0
"6005",0
"79837",2
"5740",0
"5289",0
"57127",1
"6557",0
"5277",1
"114971",1
"6558",2
"349565",0
"9489",0
"64802",0
"23057",0
"8818",0
"5743",0
"5742",0
"10135",2
"6898",0
"5053",0
"5283",0
"5264",2
"4837",1
"5409",0
"5728",2
"645740",-1
"8871",1
"51227",2
"8395",1
"9091",1
"4842",0
"23396",0
"4843",2
"5279",1
"8394",0
"55361",0
"201288",-1
"4846",1
"5297",2
"4860",2
"5298",1
"5294",2
"123745",-1
"5290",0
"6580",1
"5295",2
"10870",1
"55808",0
"5251",0
"5320",1
"8503",1
"30833",0
"81579",0
"56953",0
"23533",2
"8398",0
"5296",1
"5322",0
"4907",0
"5291",0
"5293",2
"6476",0
"5009",0
"4952",1
"64600",0
"64064",0
"23236",0
"100137049",1
"30814",1
"26279",0
"5335",0
"8399",0
"5332",0
"257068",1
"5319",0
"6489",1
"5336",1
"23007",0
"29906",0
"5334",0
"10654",2
"9651",0
"9807",1
"412",1
"51196",0
"117283",0
"5331",0
"84812",0
