"";"x"
"27087";0
"4758";0
"80270";0
"57026";0
"5476";2
"135152";0
"2588";0
"26229";2
"2581";1
"4669";0
"3421";3
"2583";0
"55454";1
"3420";3
"3340";0
"8509";2
"9348";0
"55790";0
"64579";0
"3419";2
"79586";0
"3417";0
"2137";0
"3418";3
"22856";0
"337876";0
"7173";0
"2135";2
"2134";0
"55568";0
"56606";0
"2590";0
"154091";0
"3425";0
"2591";0
"144195";0
"11182";0
"114805";0
"6523";0
"587";1
"8693";0
"63917";0
"50614";0
"8501";0
"2589";1
"178";2
"51809";0
"55586";0
"114134";1
"117248";0
"11227";0
"6526";0
"11226";0
"79695";0
"79623";0
"3422";1
"91734";0
"26290";0
"81031";0
"126792";1
"5837";0
"5836";0
"5834";3
"160728";0
"8801";3
"11285";0
"8802";3
"2729";0
"8972";0
"2618";3
"2730";0
"8803";1
"10723";1
"9990";1
"2746";3
"6560";0
"2747";2
"5019";3
"10841";0
"57468";0
"3795";0
"1629";1
"27165";0
"594";1
"2744";3
"8564";0
"3938";0
"593";1
"26873";0
"79751";0
"83733";0
"4942";1
"2639";1
"53";1
"3931";1
"7372";1
"57084";0
"1811";0
"246213";0
"57030";0
"387775";0
"10861";0
"1836";0
"124637";0
"51179";0
"54363";0
"366";1
"1583";1
"2628";0
"1584";0
"1585";0
"11283";1
"9380";3
"1586";0
"2713";0
"4047";1
"1588";0
"29124";0
"5321";0
"2710";0
"1576";0
"2712";0
"1178";0
"51268";0
"1056";0
"3029";1
"6536";0
"1589";0
"1593";0
"3990";0
"1548";0
"80339";0
"4023";0
"5226";3
"1553";0
"11343";1
"1562";0
"27232";0
"1558";0
"57678";0
"50487";0
"284098";0
"1559";0
"93183";1
"9227";0
"1565";2
"54965";1
"1572";0
"51302";0
"2936";1
"6309";0
"64816";0
"4048";3
"1577";0
"4056";0
"5052";3
"7001";3
"1551";0
"4259";1
"10858";0
"2876";3
"66002";0
"8529";0
"2879";3
"4258";1
"4051";0
"9420";1
"1582";0
"2877";0
"5831";0
"2878";0
"2954";1
"257202";0
"2882";1
"5048";3
"2548";0
"10935";3
"5051";0
"5050";3
"2937";3
"5049";2
"64087";2
"7941";0
"56922";1
"23417";0
"2678";0
"347734";2
"57194";0
"5337";0
"4357";0
"5338";0
"2679";0
"4190";2
"130013";0
"4191";3
"4200";2
"4881";0
"5091";0
"4882";0
"2984";0
"2974";0
"2982";0
"2986";0
"4199";0
"10873";1
"3620";0
"2983";0
"3000";0
"1557";0
"1545";0
"5244";0
"2977";0
"1543";0
"1544";0
"9615";0
"4144";2
"4143";1
"5150";1
"27430";3
"4548";0
"763";0
"5143";0
"11238";0
"4598";0
"5137";0
"3636";0
"5151";0
"23556";0
"55650";0
"3635";3
"3633";1
"8867";1
"5140";2
"27124";0
"53905";0
"50506";0
"5142";1
"343";0
"5281";0
"3632";1
"10846";0
"84720";0
"56623";0
"5141";0
"8622";0
"3628";0
"3707";2
"80235";0
"5144";0
"3706";0
"5153";0
"80271";0
"94005";2
"27115";0
"128869";1
"51477";1
"10026";0
"5138";0
"51604";0
"3631";2
"5139";0
"8821";0
"50940";0
"2595";0
"84693";0
"8733";1
"5136";0
"4594";1
"3028";3
"5152";0
"3033";2
"3037";0
"80168";0
"116255";0
"5146";0
"4507";2
"3038";0
"3036";0
"27235";0
"6521";0
"83697";0
"10797";2
"56913";1
"443";0
"91703";0
"6522";0
"6508";0
"5145";0
"4668";0
"9498";0
"57282";1
"6528";0
"3098";3
"80201";0
"8654";0
"2645";0
"483";3
"3101";0
"5149";1
"478";2
"480";0
"481";0
"3099";1
"5147";0
"482";0
"476";3
"477";0
"23439";0
"3081";2
"11112";3
"3067";1
"6549";0
"6550";0
"5148";0
"496";0
"6548";0
"495";1
"55748";2
"5158";0
"84735";0
"6559";0
"8942";0
"5162";3
"3157";0
"5161";0
"123041";0
"1737";1
"3158";0
"5160";3
"55163";0
"25769";0
"54511";0
"10396";0
"57419";0
"9187";0
"5105";0
"124583";0
"3155";0
"5106";2
"3162";0
"3163";3
"79077";2
"8310";0
"9583";2
"26062";0
"197257";1
"5833";1
"1841";2
"10400";1
"6448";1
"29922";1
"26227";1
"10201";1
"5730";1
"4830";1
"27306";0
"80142";1
"4831";1
"4832";1
"200576";0
"8396";1
"9536";0
"4833";1
"6005";1
"79837";2
"5740";0
"5289";0
"57127";0
"6557";0
"5277";0
"114971";1
"6558";0
"349565";1
"9489";2
"64802";1
"23057";0
"8818";1
"5743";1
"5742";0
"10135";1
"6898";0
"5053";0
"5283";1
"5264";0
"4837";0
"5409";0
"5728";1
"645740";0
"8871";1
"51227";0
"8395";2
"9091";0
"4842";0
"23396";0
"4843";0
"5279";1
"8394";1
"55361";0
"201288";0
"4846";0
"5297";2
"4860";3
"5298";1
"5294";0
"123745";0
"5290";2
"6580";0
"5295";2
"10870";1
"55808";0
"5251";0
"5320";0
"8503";0
"30833";1
"81579";0
"56953";0
"23533";1
"8398";0
"5296";0
"5322";0
"4907";0
"5291";0
"5293";1
"6476";0
"5009";0
"4952";0
"64600";0
"64064";0
"23236";1
"100137049";0
"30814";0
"26279";1
"5335";1
"8399";0
"5332";0
"257068";0
"5319";0
"6489";0
"5336";1
"23007";0
"29906";0
"5334";1
"10654";2
"9651";0
"9807";0
"412";2
"51196";0
"117283";0
"5331";1
"84812";0
"5330";2
