HG	Boundary_Reaction	HMDB	concentration	Name
m01786s	HMR_9129	HMDB0006224	3.86666666666667e-05	estradiol-17beta 3-glucuronide
m01787s	HMR_9314	HMDB0000151	0.000272288888888889	Estradiol-17beta
m01788s	HMR_9452	HMDB0000153	0.004775	Estriol
m01796s	HMR_9099	HMDB0000108	23.8333333333333	Ethanol
m01797s	HMR_9084	HMDB0000149	26.95	Ethanolamine
m01800s	HMR_9453	HMDB0000490	0.00125	Etiocholanolone
m01802s	EX_fad[e]	HMDB0001248	0.0713333333333333	FAD
m01821s	HMR_9076	HMDB0000692	8922	Fe2+
m01830s	HMR_9146	HMDB0000121	0.0237094444444444	Folate
m01833s	HMR_9318	HMDB0000142	103.173333333333	Formate
m01840s	HMR_9139	HMDB0000660	39.5	Fructose
m01910s	HMR_9140	HMDB0000143	59.3033333333333	Galactose
m01932s	EX_lnlncg[e]	HMDB0003073	12.13	Gamma-Linolenate
m01948s	MR_9340	HMDB0001201	16.5	GDP
m01962s	HMR_9168	HMDB0001514	0.29	Glucosamine
m01965s	HMR_9034	HMDB0000122	4687.66413235294	Glucose
m01974s	HMR_9071	HMDB0000148	65.4185714285714	glutamate
m01975s	HMR_9063	HMDB0000641	587.715	Glutamine
m01982s	HMR_9342	HMDB0000139	10	Glycerate
m01983s	HMR_9085	HMDB0000131	140.733333333333	Glycerol
m01986s	HMR_9067	HMDB0000123	456.6755	Glycine
m01987s	HMR_9283	HMDB0000637	0.68	glycochenodeoxycholate
m01988s	HMR_9281	HMDB0000138	0.513333333333333	Glycocholate
m02004s	EX_HC02196[e]	HMDB0000708	0.145	Glycoursodeoxycholate
m02026s	HMR_9351	HMDB0000125	89.83494	GSH
m02027s	HMR_9350	HMDB0003337	10.825	GSSG
m02034s	HMR_9352	HMDB0001273	56	GTP
m02038s	HMR_9348	HMDB0000133	0.8	Guanosine
m02041s	HMR_9354	HMDB0003125	10.5	H2O2
m02046s	HMR_9078	HMDB0000595	23027.6792146429	HCO3-
m02104s	HMR_9239	HMDB0006559	0.0076	heptaglutamyl-folate(DHF)
m02120s	HMR_9811	HMDB0000535	17	hexanoic acid
m02124s	EX_hista[e]	HMDB0000870	0.075335	Histamine
m02125s	HMR_9038	HMDB0000177	120.660676470588	Histidine
m02136s	HMR_9161	HMDB0000719	12	Homoserine
m02137s	HMR_9694	HMDB0000118	0.0595555555555556	Homovanillate
m02159s	HMR_9358	HMDB0000157	6.32230769230769	Hypoxanthine
m02167s	HMR_9360	HMDB0000175	63	IMP
m02170s	HMR_9362	HMDB0000195	1.3875	Inosine
m02171s	HMR_9361	HMDB0000211	23.525	Inositol
m02184s	HMR_9039	HMDB0000172	63.7096774193548	Isoleucine
m02200s	HMR_9081	HMDB0000586	4398.09523809524	K+
m02325s	HMR_9221	HMDB0002166	1.03	L-3-amino-isobutanoate
m02328s	HMR_10027	HMDB0004866;HMDB0000173	10	LacCer pool
m02337s	HMR_9270	HMDB0000646	2.5	L-Arabinose
m02338s	HMR_9241	HMDB0001851	2	L-Arabitol
m02344s	EX_ddca[e]	HMDB0000638	5.82225	lauric acid
m02348s	HMR_9292	HMDB0000062	40.938	L-Carnitine
m02354s	HMR_9219	HMDB0000181	0.00723	L-Dopa
m02360s	HMR_9040	HMDB0000687	133.28	Leucine
m02364s	HMR_9365	HMDB0001085	0.007832465	Leukotriene B4
m02366s	HMR_9366	HMDB0001198	0.0041915	Leukotriene C4
m02369s	HMR_9368	HMDB0002200	0.00753075	Leukotriene E4
m02385s	EX_lgnc[e]	HMDB0002003	5.95833333333333	lignocerate
m02386s	HMR_9369	HMDB0003375	0.19	Limonene
m02387s	HMR_9035	HMDB0000673	637.382496774194	Linoleate
m02389s	HMR_9036	HMDB0001388	28.6517555555556	Linolenate
m02394s	HMR_9167	HMDB0001451	0.077	lipoic acid
m02402s	EX_HC02191[e]	HMDB0000761	0.205	Lithocholate
m02403s	HMR_9135	HMDB0000190	1612.55416666667	L-Lactate
m02407s	HMR_9373	HMDB0004063	0.0016	L-Metanephrine
m02426s	HMR_9041	HMDB0000182	187.737931034483	Lysine
m02440s	HMR_9164	HMDB0000691	12.326	Malonate
m02453s	HMR_9137	HMDB0000169	51.5	Mannose
m02456s	EX_hpdca[e]	HMDB0002259	266.618	margaric acid
m02457s	EX_M02457[e]	HMDB0010378	3.4578	mead acid 
m02470s	HMR_9372	HMDB0001875	167.6	Methanol
m02471s	HMR_9042	HMDB0000696	215.0465625	Methionine
m02477s	HMR_9090	HMDB0002820	0.08457	Methylimidazoleacetic acid
m02494s	EX_ttdca[e]	HMDB0000806	20.258875	Myristic acid
m02519s	HMR_9077	HMDB0000588	140381.818181818	Na+
m02552s	HMR_9376	HMDB0000902	24.3	NAD+
m02553s	EX_nadh[e]	HMDB0001487	22	NADH
m02554s	HMR_9377	HMDB0000217	19.6	NADP+
m02564s	EX_nrvnc[e]	HMDB0002368	26.0005	Nervonic acid
m02578s	HMR_9073	HMDB0000051	110.194805555556	NH3
m02586s	HMR_9142	HMDB0001488	43.075	Nicotinate
m02588s	HMR_9149	HMDB0002786	19.736	Nitrite
m02609s	HMR_9381	HMDB0003378	1.2e-05	NO
m02617s	HMR_9093	HMDB0000216	0.0028125	noradrenaline
m02620s	HMR_9382	HMDB0002062	0.008	Norepinephrine sulfate
m02642s	HMR_9813	HMDB0000482	5.25	octanoic acid
m02646s	EX_ocdcea[e]	HMDB0000207	303.668041666667	Oleate
m02648s	EX_eicostet[e]	HMDB0002177	0.007	omega-3-arachidonic acid
m02653s	HMR_9387	HMDB0001913	0.34	Omeprazole
m02658s	HMR_9087	HMDB0000214	78.2709677419355	Ornithine
m02659s	HMR_9690	HMDB0000226	2.945	Orotate
m02674s	EX_hdca[e]	HMDB0000220	487.07375862069	Palmitate
m02675s	EX_hdcea[e]	HMDB0003229	50.340695	Palmitolate
m02680s	HMR_9145	HMDB0000210	2.744	Pantothenate
m02690s	EX_ptdca[e]	HMDB0000826	100.780833333333	pentadecylic acid
m02722s	HMR_9391	HMDB0006344	3.34	Phenylacetylglutamine
m02724s	HMR_9043	HMDB0000159	69.45	Phenylalanine
m02744s	HMR_9392	HMDB0003555	0.00145461538461538	phylloquinone (Vitamin K)
m02745s	EX_M02745[e]	HMDB0000521	1.5	physeteric acid
m02746s	HMR_9037	HMDB0000801	4.69725	Phytanic acid
m02759s	EX_ppi[e]	HMDB0000250	1.8	PPi
m02769s	HMR_9393	HMDB0001830	2.36768147058824	Progesterone
m02770s	HMR_9068	HMDB0000162	198.862916666667	Proline
m02772s	HMR_9808	HMDB0000237	1.25	Propanoate
m02776s	EX_HC02202[e]	HMDB0002656	7.4e-05	Prostaglandin A1
m02777s	EX_HC02203[e]	HMDB0002752	0.000955214285714286	Prostaglandin A2
m02779s	EX_HC02205[e]	HMDB0004236	0.000446	Prostaglandin B2
m02783s	HMR_9395	HMDB0001403	0.000192866666666667	Prostaglandin D2
m02785s	HMR_9396	HMDB0001442	3.7e-06	Prostaglandin E1
m02786s	HMR_9397	HMDB0001220	0.00073095	Prostaglandin E2
m02789s	HMR_9398	HMDB0001139	0.0002505	Prostaglandin F2alpha
m02812s	EX_ptrc[e]	HMDB0001414	0.156	Putrescine
m02814s	HMR_9691	HMDB0001491	0.0344421565217391	Pyridoxal-phosphate
m02817s	HMR_9144	HMDB0000239	0.025	Pyridoxine
m02819s	HMR_9133	HMDB0000243	72.6928235294118	Pyruvate
m02833s	HMR_9404	HMDB0001852	0.10725	retinoate
m02834s	HMR_9147	HMDB0000305	84.8792841029851	retinol
m02836s	HMR_9405	HMDB0003141	0.0066	Retinoyl-glucuronide
m02841s	HMR_9401	HMDB0000508	1.16666666666667	Ribitol
m02842s	HMR_9143	HMDB0000244	0.3498225	Riboflavin
m02843s	HMR_9406	HMDB0000283	2.3	Ribose
m02880s	HMR_9131	HMDB0000271	0.7	Sarcosine
m02896s	HMR_9069	HMDB0000187	139.7	Serine
m02897s	HMR_9412	HMDB0000259	0.75375	Serotonin
m02923s	EX_spmd[e]	HMDB0001257	4.77625	Spermidine
m02926s	HMR_9715	HMDB0001256	2.60375	Spermine
m02929s	EX_sphings[e]	HMDB0000252	0.05	Sphingosine
m02938s	EX_ocdca[e]	HMDB0000827	286.2885535	Stearate
m02939s	EX_strdnc[e]	HMDB0006547	0.212	Stearidonic acid
m02943s	HMR_9415	HMDB0000254	14.275	Succinate
m02945s	HMR_9416	HMDB0000258	1.8	Sucrose
m02946s	HMR_9074	HMDB0001448	352.75	Sulfate
m02961s	HMR_9418	HMDB0000251	103.561111111111	Taurine
m02962s	HMR_9284	HMDB0000951	0.3	Taurochenodesoxycholate
m02963s	HMR_9282	HMDB0000036	0.24	taurocholate
m02965s	EX_HC02192[e]	HMDB0000722	1.212	taurolithocholate
m02969s	HMR_9429	HMDB0000234	0.00593413947368421	Testosterone
m02980s	HMR_9421	HMDB0001846	0.0025	THF
m02982s	HMR_9159	HMDB0000235	0.1602	Thiamin
m02986s	HMR_9420	HMDB0001453	31.83	Thiocyanate
m02991s	HMR_9432	HMDB0000257	51.15	Thiosulfate
m02993s	HMR_9044	HMDB0000167	147.783333333333	Threonine
m02994s	HMR_9433	HMDB0001452	0.00024	Thromboxane A2
m02996s	HMR_9423	HMDB0000273	0.205	Thymidine
m02998s	HMR_9424	HMDB0000248	6.51813525882353	Thyroxine
m03045s	EX_M03045[e]	HMDB0001160	0.033	Tricosanoic acid
m03052s	HMR_9427	HMDB0000265	0.00098616	triiodothyronine
m03089s	HMR_9045	HMDB0000929	61.0829411764706	tryptophan
m03101s	HMR_9064	HMDB0000158	77.7875	Tyrosine
m03106s	HMR_9435	HMDB0000295	41	UDP
m03118s	HMR_9437	HMDB0000300	1.135	Uracil
m03120s	HMR_9075	HMDB0000289	283.024446428571	urate
m03121s	HMR_9438	HMDB0000294	3749.08557142857	Urea
m03123s	HMR_9439	HMDB0000296	9.10666666666667	Uridine
m03134s	HMR_9810	HMDB0000892	0.6	Valeric acid
m03135s	HMR_9046	HMDB0000883	216.566666666667	Valine
m03141s	HMR_9441	HMDB0000900	0.00275	Vitamin D2
m03142s	HMR_9442	HMDB0000876	0.0458666666666667	Vitamin D3
m03151s	HMR_9693	HMDB0000881	0.011	Xanthurenate
m03155s	HMR_9138	HMDB0002917	1.5885	xylitol
phyt_s	EX_phyt[e]	HMDB0000801	4.69725	Phytanate
m01831s	EX_fald[e]	HMDB0001426	16.3	Formaldehyde
m01605s	EX_HC01610[e]	HMDB0002158	0.015	Coproporphyrinogen I
C02528_s	EX_C02528[e]	HMDB0000518	1.0825	Chenodeoxycholate
m01973s	EX_glcur[e]	HMDB0000127	165	Glucuronate
c10crn_s	EX_c10crn[e]	HMDB0000651	0.237333333333333	Decanoyl carnitine
m02635s	EX_c4crn[e]	HMDB0002013	0.238444444444444	O-Butyrylcarnitine
m02409s	EX_c8crn[e]	HMDB0000791	0.210285714285714	L-Octanoylcarnitine
m03037s	EX_4hpro[e]	HMDB0000725	21.5653846153846	trans-4-hydroxy-L-proline
m02964s	EX_tdechola[e]	HMDB0004011	0.062	Taurodeoxycholate
m01423s	EX_carn[e]	HMDB0000033	3.23	Carnosine
m00745s	EX_dchac[e]	HMDB0000626	0.45	3alpha,12alpha-dihydroxy-5beta-cholanate
m01828s	EX_fmn[e]	HMDB0001520	0.0106333333333333	FMN
m01005s	EX_34hpp[e]	HMDB0000707	0.37	4-Hydroxyphenylpyruvate
m00824s	EX_3mob[e]	HMDB0000019	12.5	3-methyl-2-oxobutyrate
m00669s	EX_3mop[e]	HMDB0000491	20.35	2-oxo-3-methylvalerate
m01013s	EX_4mop[e]	HMDB0000695	26.5	4-methyl-2-oxopentanoate
m01127s	EX_5oxpro[e]	HMDB0000267	19.5	5-oxoproline
m02871s	EX_ahcys[e]	HMDB0000939	0.2435	SAH
m01342s	EX_anth[e]	HMDB0001123	0.0155	anthranilate
m02439s	EX_mal_L[e]	HMDB0000156	7.6	malate
m01103s	EX_5hoxindoa[e]	HMDB0000763	0.0516	5-Hydroxyindoleacetate
m01981s	EX_glyald[e]	HMDB0001051	1476	Glyceraldehyde
m02696s	EX_pep[e]	HMDB0000263	12.5	PEP
m02036s	EX_gudac[e]	HMDB0000128	4.88958333333333	guanidinoacetate
m02319s	EX_Lkynr[e]	HMDB0000684	2.68111111111111	Kynurenine
m00990s	EX_kynate[e]	HMDB0000715	0.0265	4-hydroxy-2-quinolinecarboxylic acid
m02822s	EX_quln[e]	HMDB0000232	0.47	Quinolinate
m02738s	EX_cholp[e]	HMDB0001565	2.2	phosphocholine
m02349s	EX_cyst_L[e]	HMDB0000099	0.3636	L-Cystathionine
m01708s	EX_dmgly[e]	HMDB0000092	2.5	Dimethylglycine
m01798s	EX_ethamp[e]	HMDB0000224	11.5	ethanolamine-phosphate
m01862s	EX_fum[e]	HMDB0000134	1.2225	Fumarate
m02912s	EX_g3pc[e]	HMDB0000086	34	sn-glycerol-3-PC
m02183s	EX_icit[e]	HMDB0000193	6	Isocitrate
m02322s	EX_L2aadp[e]	HMDB0000510	1.368	L-2-aminoadipate
m03148s	EX_xan[e]	HMDB0000292	19.7309090909091	Xanthine
m03149s	EX_xtsn[e]	HMDB0000299	5.08	Xanthosine
m02133s	EX_hcys_L[e]	HMDB0000742	8.80810416666667	Homocysteine
m02832s	EX_retinal[e]	HMDB0001358	0.155	Retinal
m01366s	EX_argsuc[e]	HMDB0000052	2.1	Argininosuccinate
m02634s	EX_acrn[e]	HMDB0000201	6.47307692307692	O-Acetylcarnitine
m02657s	EX_pcrn[e]	HMDB0000824	0.413777777777778	O-propanoylcarnitine
m02639s	EX_odecrn[e]	HMDB0005065	0.295	octadecenoylcarnitine(5)
m02411s	EX_pmtcrn[e]	HMDB0000222	0.117	L-Palmitoylcarnitine
m01372s	EX_C08261[e]	HMDB0000784	27	Azelaic acid
m02123s	EX_bgly[e]	HMDB0000714	11.4133333333333	Hippurate
pcholmyr_hs_s	EX_pcholmyr_hs[e]	HMDB0010385	16.6586666666667	1-Myristoylglycerophosphocholine
pcholole_hs_s	EX_pcholole_hs[e]	HMDB0002815	24.124375	1-Oleoylglycerophosphocholine (Delta 9)
pcholste_hs_s	EX_pcholste_hs[e]	HMDB0010384	32.75575	1-Stearoylglycerophosphocholine
pcholn204_hs_s	EX_pcholn204_hs[e]	HMDB0010396	5.373125	1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4)
pcholn24_hs_s	EX_pcholn24_hs[e]	HMDB0010405	0.291333333333333	1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24
pcholhep_hs_s	EX_pcholhep_hs[e]	HMDB0012108	1.558	1-Heptadecanoylglycerophosphocholine
m00380s	EX_15HPET[e]	HMDB0004244	0.00106	15(S)-HPETE
m01004s	EX_34hpl[e]	HMDB0000755	0.64	4-hydroxyphenyllactate
m00784s	EX_3hmp[e]	HMDB0000023	20.5	3-Hydroxyisobutyrate
m02142s	EX_3hpp[e]	HMDB0000700	4.1	hydracrylate
m00821s	EX_3moxtyr[e]	HMDB0000022	0.0025	3-Methoxytyramine
m00952s	EX_4aabutn[e]	HMDB0003681	0.5	4-Acetamidobutanoate
m01052s	EX_56dura[e]	HMDB0000076	0.313333333333333	5,6-dihydrouracil
m01074s	EX_5aop[e]	HMDB0001149	0.35	5-Aminolevulinate
m02805s	EX_7dhchsterol[e]	HMDB0000032	5	provitamin D3
m02546s	EX_acorn[e]	HMDB0003357	1.09333333333333	N-Acetylornithine
adpac_s	EX_adpac[e]	HMDB0000448	0.09	Adipic acid
m01313s	EX_alltn[e]	HMDB0000462	2.1	Allantoin
m02877s	EX_amet[e]	HMDB0001185	0.0855	SAM
m00169s	EX_C02356[e]	HMDB0000452	22.8	(S)-2-aminobutanoate
m00337s	EX_C04717[e]	HMDB0003871	0.00601	13(S)-HPODE
m01040s	EX_C04805[e]	HMDB0011134	0.500552375	5(S)-HETE
m02796s	EX_C05957[e]	HMDB0002710	4.95e-05	Prostaglandin J2
m02395s	EX_C06314[e]	HMDB0004385	7.85e-05	Lipoxin A4
m01335s	EX_C11695[e]	HMDB0004080	2.03933333333333	Anandamide
m01054s	EX_C14768[e]	HMDB0002190	0.003555	5,6-EET
m01209s	EX_C14769[e]	HMDB0002232	0.000627	8,9-EET
m00366s	EX_C14771[e]	HMDB0004264	0.000942	14,15-EET
m01216s	EX_C14825[e]	HMDB0004701	0.00304666666666667	9(10)-EpOME
m00305s	EX_C14826[e]	HMDB0004702	0.00644666666666667	12(13)-EpOME
m01168s	EX_CE0955[e]	HMDB0002886	0.000268925	6-oxo-prostaglandin F1alpha
m01392s	EX_CE2028[e]	HMDB0000754	4	beta-hydroxy-beta-methylbutyrate
m00830s	EX_CE2176[e]	HMDB0001434	0.089	3-O-methyldopa
m01172s	EX_CE2445[e]	HMDB0005087	0.000185333333333333	6-trans-LTB4
CE2516_s	EX_CE2516[e]	HMDB0002925	46.6641666666667	(8Z,11Z,14Z)-Eicosatrienoic Acid
eidi1114ac_s	EX_CE4843[e]	HMDB0005060	9.03575	Cis,Cis-11,14-Eicosadienoic Acid
m02479s	EX_HC00900[e]	HMDB0000202	0.17425	methylmalonate
m02135s	EX_hgentis[e]	HMDB0000130	0.043	Homogentisate
m02413s	EX_Lpipecol[e]	HMDB0000716	6.23	L-Pipecolate
m02343s	EX_lthstrl[e]	HMDB0001170	5.90333333333333	Lathosterol
m00167s	EX_mev_R[e]	HMDB0000227	0.0323333333333333	(R)-mevalonate
m02381s	EX_pcollg5hlys[e]	HMDB0000450	1.5	L-hydroxylysine
sebacid_s	EX_sebacid[e]	HMDB0000792	0.091	Sebacicacid
subeac_s	EX_subeac[e]	HMDB0000893	1.87	Suberic acid
m03124s	EX_urcan[e]	HMDB0000301	0.43	Urocanate
m01909s	EX_galt[e]	HMDB0000107	0.59	Galactitol
m01998s	EX_glyclt[e]	HMDB0000115	34.05	Glycolate
m02169s	EX_ind3ac[e]	HMDB0000197	0.983333333333333	Indoleacetate
m02720s	EX_pac[e]	HMDB0000209	54.996625	Phenylacetate
m00916s	EX_pser_L[e]	HMDB0000272	17	3-phosphoserine
m02622s	EX_normete_L[e]	HMDB0000819	0.00034	Normetanephrine
m00400s	EX_C05300[e]	HMDB0000335	0.00078	16alpha-hydroxyestrone
m02543s	EX_acnam[e]	HMDB0000230	1.285	N-acetylneuraminate
m00671s	EX_2obut[e]	HMDB0000005	7.11	2-oxobutyrate
m01683s	EX_glcn[e]	HMDB0000625	3.295	D-gluconic acid
m00995s	EX_4hbz[e]	HMDB0000500	4.809125	4-Hydroxybenzoate
m00729s	EX_34dhpha[e]	HMDB0001336	0.0101111111111111	3,4-dihydroxyphenylacetate
m02725s	EX_phpyr[e]	HMDB0000205	2.75	Phenylpyruvate
m03099s	EX_tym[e]	HMDB0000306	0.004995	Tyramine
m00654s	EX_2hyoxplac[e]	HMDB0000669	0.502875	2-hydroxyphenylacetate
m02336s	EX_lanost[e]	HMDB0001251	0.48	Lanosterol
m03136s	EX_3mox4hoxm[e]	HMDB0000291	0.035	Vanillylmandelate
m02007s	EX_glx[e]	HMDB0000119	3.05	Glyoxalate
m02190s	EX_CE4968[e]	HMDB0000678	0.17	Isovalerylglycine
m00971s	EX_andrstndn[e]	HMDB0000053	0.00368861538461538	4-androstene-3,17-dione
m01064s	EX_andrstandn[e]	HMDB0000899	0.00036	5alpha-androstane-3,17-dione
m01065s	EX_CE2209[e]	HMDB0000554	0.000475	5alpha-androstane-3alpha,17beta-diol
m00659s	EX_C05302[e]	HMDB0000405	0.01	2-methoxyestradiol-17beta
m00604s	EX_CE5072[e]	HMDB0000879	0.0052	21-hydroxyallopregnanolone
m00295s	EX_11docrtsl[e]	HMDB0000015	0.0039	11-deoxycortisol
m02763s	EX_prgnlone[e]	HMDB0000253	0.0142676923076923	Pregnenolone
m01314s	EX_CE2211[e]	HMDB0001449	0.00373333333333333	Allopregnanolone
m00409s	EX_17ahprgstrn[e]	HMDB0000374	0.0050651	17alpha-hydroxyprogesterone
m00408s	EX_17ahprgnlone[e]	HMDB0000363	0.00681525	17alpha-hydroxypregnenolone
m01072s	EX_C03681[e]	HMDB0003759	0.03605	5alpha-pregnane-3,20-dione
m02762s	EX_prgnlones[e]	HMDB0000774	0.13	Pregnenolone sulfate
m02473s	EX_mma[e]	HMDB0000164	1	Methylamine
m02601s	EX_mhista[e]	HMDB0000898	0.00034	N-methylhistamine
m00988s	EX_CE2006[e]	HMDB0004362	0.11	4-hydroxy-2-nonenal
m02875s	EX_C09642[e]	HMDB0005199	0.00131	Salsolinol
m02891s	EX_selmeth[e]	HMDB0003966	0.69	Selenomethionine
m02823s	EX_CE2705[e]	HMDB0000038	0.006	quinonoid dihydrobiopterin
m00248s	EX_13dampp[e]	HMDB0000002	0.04	1,3-Diaminopropane
m02503s	EX_N1aspmd[e]	HMDB0001276	0.007	N1-Acetylspermidine
m01110s	EX_CE1918[e]	HMDB0001855	0,0009	5-Hydroxytryptophol
m01113s	EX_CE6205[e]	HMDB0001896	0.00012475	5-Methoxytryptophol
m01417s	EX_1a25dhvitd3[e]	HMDB0001903	8E-05	Calcitriol
m00324s	EX_12harachd[e]	HMDB0006111	0.083438	12-hydroxy-arachidonate
m00428s	EX_18harachd[e]	HMDB0006245	0.000273	18-hydroxy-arachidonate
m01101s	EX_5g2oxpt[e]	HMDB0004225	0.1225	5-guanidino-2-oxopentanoate
