"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",0,0,0
"8639",0,NA,0
"1591",0,NA,0
"1594",1,0,0
"10993",0,0,0
"6818",0,0,0
"89874",0,NA,0
"3945",2,2,2
"3948",0,NA,0
"55293",0,1,0
"160287",0,NA,0
"92483",0,NA,0
"3939",2,0,1
"9194",1,1,1
"6566",1,1,1
"9123",1,1,1
"57835",0,NA,0
"8671",0,0,0
"1738",2,2,2
"4967",2,2,2
"1743",2,2,2
"8050",2,0,1
"128",2,2,2
"137872",1,NA,0
"130",0,NA,0
"127",0,0,0
"131",0,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",1,2,2
"117247",1,0,0
"220",0,NA,0
"221",1,1,1
"218",0,NA,0
"222",0,NA,0
"3242",0,NA,0
"18",1,1,1
"2531",1,0,0
"23498",0,1,0
"55268",1,1,1
"883",0,0,0
"51166",0,NA,0
"1644",1,NA,0
"4128",0,0,0
"4129",0,0,0
"8604",1,2,2
"10165",1,1,1
"2572",0,NA,0
"2571",0,NA,0
"51380",2,NA,1
"2805",1,2,2
"2806",2,2,2
"8659",0,1,0
"6817",0,0,0
"6799",1,NA,0
"6822",0,NA,0
"6573",1,0,0
"316",0,NA,0
"6570",0,NA,0
"6571",0,0,0
"2348",0,NA,0
"2352",0,0,0
"4125",2,0,1
"53947",0,NA,0
"51146",0,NA,0
"28",1,NA,0
"206358",0,0,0
"6538",0,NA,0
"6529",0,NA,0
"6539",0,0,0
"6540",0,NA,0
"3032",2,2,2
"10449",0,0,0
"38",0,0,0
"3030",2,2,2
"39",2,2,2
"30",2,2,2
"32",1,NA,0
"9197",0,1,0
"79611",0,NA,0
"84532",2,1,2
"64841",1,0,0
"55577",2,2,2
"5238",0,1,0
"9487",0,NA,0
"162417",0,NA,0
"43",0,NA,0
"6572",0,NA,0
"47",2,2,2
"54187",2,2,2
"26503",1,0,0
"54",1,0,0
"140838",1,1,1
"51205",0,1,0
"36",1,2,2
"34",2,2,2
"35",1,2,2
"84129",1,NA,0
"28976",1,2,2
"80724",0,1,0
"27034",1,1,1
"3712",1,2,2
"134526",0,NA,0
"51",1,1,1
"95",1,1,1
"50",2,2,2
"48",1,1,1
"8309",0,NA,0
"52",2,0,0
"55",0,0,0
"788",1,2,2
"55902",1,1,1
"65985",0,1,0
"438",0,NA,0
"1571",1,NA,0
"100",2,2,2
"3177",1,NA,0
"205",0,1,0
"204",1,2,2
"26289",1,0,0
"50808",2,2,2
"262",2,0,0
"113",1,1,1
"109",0,NA,0
"115",1,NA,0
"112",0,0,0
"107",0,NA,0
"114",0,NA,0
"55811",0,NA,0
"196883",0,NA,0
"111",0,NA,0
"108",0,NA,0
"2030",0,0,0
"9154",0,NA,0
"64078",0,0,0
"9153",0,NA,0
"55315",1,0,0
"11164",2,2,2
"952",1,2,2
"1375",1,NA,0
"1374",1,1,1
"126129",0,NA,0
"1376",0,1,0
"9061",1,0,0
"9060",1,1,1
"158",1,2,2
"10331",0,NA,0
"374907",0,0,0
"10678",2,0,1
"79369",1,NA,0
"11041",1,0,0
"93010",0,NA,0
"79814",2,1,2
"56894",0,1,0
"10555",0,0,0
"137964",2,1,2
"56895",0,0,0
"55326",1,0,0
"129642",1,1,1
"64850",0,NA,0
"64902",0,NA,0
"189",0,NA,0
"3074",2,0,1
"3073",1,1,1
"10606",2,2,2
"8402",2,2,2
"1468",1,0,0
"64849",0,NA,0
"1645",1,0,0
"1109",0,NA,0
"6718",0,0,0
"6510",0,0,0
"6509",0,2,1
"56301",0,NA,0
"6520",2,2,2
"211",1,0,0
"23464",1,1,1
"212",0,NA,0
"59272",0,NA,0
"6542",0,NA,0
"6541",1,0,0
"84889",0,NA,0
"54407",2,1,2
"81539",2,1,2
"340024",0,NA,0
"11254",0,NA,0
"57393",0,NA,0
"55089",0,NA,0
"2875",0,NA,0
"84706",0,2,1
"92745",1,0,0
"10991",0,NA,0
"284273",0,1,0
"10327",2,2,2
"8854",0,0,0
"224",1,1,1
"223",2,2,2
"216",0,1,0
"501",0,1,0
"217",0,1,0
"219",1,1,1
"239",0,0,0
"247",0,1,0
"246",0,0,0
"231",2,2,2
"8574",2,2,2
"23600",0,0,0
"115286",1,0,0
"271",1,1,1
"272",1,0,0
"270",0,NA,0
"290",0,1,0
"278",0,NA,0
"277",0,0,0
"279",0,0,0
"280",1,0,0
"6519",0,NA,0
"276",0,0,0
"11136",0,NA,0
"10998",1,NA,0
"113451",1,NA,0
"9057",2,0,1
"384",1,0,0
"445",0,0,0
"83884",1,NA,0
"10166",1,1,1
"410",1,1,1
"427",2,1,2
"9963",0,NA,0
"9962",1,NA,0
"80150",0,0,0
"440",2,1,2
"790",1,0,0
"6505",0,NA,0
"6512",0,NA,0
"6511",0,NA,0
"6507",0,0,0
"6506",0,0,0
"9296",2,1,2
"51606",2,0,1
"533",2,NA,1
"90423",0,0,0
"528",0,1,0
"525",0,NA,0
"10312",2,0,1
"127124",0,NA,0
"245973",0,NA,0
"50617",0,NA,0
"9114",1,1,1
"23545",1,1,1
"8992",2,NA,1
"535",0,1,0
"527",1,1,1
"526",2,2,2
"523",0,2,1
"529",2,2,2
"9550",2,2,2
"51382",2,1,2
"245972",0,1,0
"957",1,NA,0
"956",0,NA,0
"955",1,NA,0
"953",0,0,0
"954",1,NA,0
"377841",0,NA,0
"293",2,2,2
"291",0,0,0
"292",2,2,2
"4126",1,1,1
"8706",0,NA,0
"10317",0,NA,0
"84002",0,NA,0
"3141",0,0,0
"140679",0,NA,0
"8424",0,NA,0
"53630",0,NA,0
"635",0,0,0
"23743",0,NA,0
"10599",0,NA,0
"1244",1,NA,0
"8714",1,0,0
"28234",0,NA,0
"645",1,1,1
"644",2,2,2
"9488",2,0,1
"10380",1,2,2
"686",0,0,0
"8884",2,1,2
"80704",0,NA,0
"51733",0,NA,0
"7108",0,0,0
"50814",1,1,1
"3295",1,1,1
"6307",2,1,2
"493",0,1,0
"492",0,0,0
"491",0,NA,0
"490",2,1,2
"847",2,2,2
"6543",0,NA,0
"6547",0,NA,0
"6546",0,0,0
"166785",1,1,1
"2538",0,NA,0
"92579",0,1,0
"1373",0,0,0
